#/home/enes/bim/BIM.py trees/ir8070138.trees,trees/ir8070139.trees,trees/ir8070140.trees,trees/ir8070141.trees,trees/ir8070142.trees,trees/ir8070143.trees,trees/ir8070144.trees,trees/ir8070145.trees,trees/ir8070146.trees,trees/ir8070147.trees,trees/ir8070148.trees,trees/ir8070149.trees,trees/ir8070150.trees,trees/ir8070151.trees,trees/ir8070152.trees,trees/ir8070153.trees 250 --stats=all --eta=etas/BC.json --out=outs/139721362.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FulD,TajD,FerL,FayH,btree,Colless,path
0,10001.0,250,114,2.200045374974993,0.5977128640961918,-1.5674277454360503,1.612747316309421,0.15558167219459543,0.14433037776477867,-0.8105328985281774,0.04754339940406789,ir8070138.trees
0,10001.0,250,131,2.678818127257203,0.2584720279202661,-0.20846048284486515,1.1496291932383953,0.3200905433316004,0.1307859641106806,-0.6999309200550894,0.045619035280908576,ir8070139.trees
0,10001.0,250,87,5.307916050821513,1.473763133137732,-0.264214586927713,2.0199065671261702,-0.7109809807801526,0.056398557937896304,-0.5261184103204878,0.04124331427090853,ir8070140.trees
0,10001.0,250,82,2.4914463994656098,1.0805090420316357,-1.2062802341456293,1.4841920613427677,-0.5211077533148473,0.041646193885685315,-0.8994084972920374,0.04786317947311065,ir8070141.trees
0,10001.0,250,71,2.915404862479407,1.8765338172214237,-0.6701449632473337,2.505452611563055,-0.9520408671388264,0.06008817280571387,-1.5347474509010204,0.056187885181278104,ir8070142.trees
0,10001.0,250,118,1.6710173983984211,2.337610833601287,-2.2450175755104254,3.1642856930878795,-1.1336714208068261,0.08544230543626201,-0.6567698131734002,0.047413669012969444,ir8070143.trees
0,10001.0,250,108,1.6941789679613781,1.650509708145882,-1.1424944798539287,2.404519115080464,-0.7090583181893344,0.08596665853254891,-0.8264458389492407,0.046824394351599956,ir8070144.trees
0,10001.0,250,85,1.8575985349132393,1.7764510912408287,-1.271183863294312,2.7075392546088826,-0.707765859859782,0.1100362685798776,-0.6158141429344004,0.04452103831284391,ir8070145.trees
0,10001.0,250,80,3.526761237159828,0.9996793156105029,-1.6143465919002442,1.6559876898702177,-0.32721139823283596,0.08234085556456376,-1.0731202770007533,0.04922053806624347,ir8070146.trees
0,10001.0,250,84,2.356044913340922,0.570978726236129,-1.900087542587736,1.9406100094297196,0.36186326575317446,0.20100810513727013,-0.6750023294299666,0.04453728894070907,ir8070147.trees
0,10001.0,250,95,1.4256613859998273,1.5712392441902192,-1.4592746223732802,2.308692315610435,-0.6688960675116423,0.0844173515015728,-0.3467066794787981,0.04062955890884716,ir8070148.trees
0,10001.0,250,115,1.6034397673528495,1.3846913933125007,-0.4573776804711192,2.2116758054669003,-0.48507879011417615,0.10192982059070745,-0.3725212442309161,0.040553342401865526,ir8070149.trees
0,10001.0,250,90,5.373560639400142,2.916741099446245,-1.1672836318499673,3.463549391610153,-1.6993387802244775,0.029585392691985575,-2.6544716052211625,0.07669927019907587,ir8070150.trees
0,10001.0,250,97,3.7087295793801456,0.6961252246441115,-1.3035275694393582,1.739598301679814,0.10022147525983519,0.1475255093903169,-0.7579275919681762,0.04710778598264024,ir8070151.trees
0,10001.0,250,110,1.062818771156913,1.5491084576925727,-0.8425020590776202,1.667064860982978,-0.9917937492491212,-0.009312607892666797,-0.8371818228773455,0.04638311309755149,ir8070152.trees
0,10001.0,250,97,3.8236871224052065,1.4994013426192476,-1.114607225139374,2.2381477095438393,-0.6181884889379874,0.08600402683484132,-0.50362195759928,0.04569352679535344,ir8070153.trees
