#/home/enes/bim/BIM.py trees/r3040040.trees,trees/r3040041.trees,trees/r3040042.trees,trees/r3040043.trees,trees/r3040044.trees,trees/r3040045.trees,trees/r3040046.trees,trees/r3040047.trees,trees/r3040048.trees,trees/r3040049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/165565373.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,FerL,bsfs,TajD,ZngE,btree,Colless,path
0,100001.0,50,572,-0.288755847459613,0.03185367478569086,0.15481470888092855,0.4729699774138421,0.19489586046585186,-0.0348420094506728,0.3100777949696854,0.11385233918128652,r3040040.trees
0,100001.0,50,474,0.5831060451718154,-0.0765646070253467,-0.35136120652691605,-1.425776969337282,-0.5016343028585853,0.048677420690668126,-0.9440329074250806,0.14659174480603054,r3040041.trees
0,100001.0,50,461,-0.43276522016161534,-0.02695492197363166,-0.1379943054641929,-0.3376052918596302,-0.15224316601860205,0.04228319122532511,0.15564028765678353,0.11517762660619807,r3040042.trees
0,100001.0,50,358,2.0429030005414663,-0.08085736154809584,-0.19387134408721338,-2.78384628628795,-0.8270084659024364,-0.25647404156532433,-1.286570813808314,0.15671416495592314,r3040043.trees
0,100001.0,50,473,0.7166356485513689,-0.06025768380514818,-0.2190893844841393,-1.2943110638667195,-0.49216908597969217,-0.06240224833111924,-0.6340035086369534,0.13661124348216455,r3040044.trees
0,100001.0,50,500,0.23333386485816413,0.02749752223065385,0.07110670563008434,0.5586029387014282,0.27373224012185593,0.07926699478448936,0.33965842358814674,0.1258380756148612,r3040045.trees
0,100001.0,50,464,-0.29158315302434823,-0.019263012782697604,-0.11623848691895501,-0.2807940422590044,-0.07893334767829874,0.061106611930223986,-0.20059926414538864,0.14537710061193412,r3040046.trees
0,100001.0,50,467,-0.08873482892398536,0.05310080974675045,0.5513131172995539,0.1678403240346113,-0.17388860291162103,-0.573296236939674,-0.03728377772705378,0.12020793539090509,r3040047.trees
0,100001.0,50,322,0.15756484431024184,-0.044703631664703654,0.03852540649033707,-1.2407780694150445,-0.7043645227321461,-0.39637973825646633,-0.11676829483146552,0.12366640645329172,r3040048.trees
0,100001.0,50,418,0.0033556397585160153,-0.004782811803582799,0.03365672998447088,-0.32551698303100235,-0.12561908166657162,-0.0943808525122412,-0.06923935553228744,0.1282776747062461,r3040049.trees
