#/home/enes/bim/BIM.py trees/ir8000039.trees,trees/ir8000040.trees,trees/ir8000041.trees,trees/ir8000042.trees,trees/ir8000043.trees,trees/ir8000044.trees,trees/ir8000045.trees,trees/ir8000046.trees,trees/ir8000047.trees,trees/ir8000048.trees,trees/ir8000049.trees,trees/ir8000050.trees,trees/ir8000051.trees,trees/ir8000052.trees,trees/ir8000053.trees,trees/ir8000054.trees,trees/ir8000055.trees 250 --stats=all --eta=etas/BC.json --out=outs/872787647.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FerL,TajD,FulD,FayH,btree,Colless,path
0,10001.0,250,76,-0.32660224083054196,0.6001507216737944,0.5913938928258601,0.34009581490893304,-1.061963006848357,0.11028029294247298,-0.04343866423458876,0.036606101826661484,ir8000039.trees
0,10001.0,250,57,-1.1041497857517166,-0.2510293466002115,0.9616770210856603,-0.750093786879927,0.5168789745939701,0.0807568184331385,-0.8330814581593605,0.048056743101438,ir8000040.trees
0,10001.0,250,77,0.23493916105433596,0.14494366576299217,-0.15864648169249618,0.24091931515206205,0.32436032294059763,-0.003718444205953869,-0.3098392153381048,0.04250251626854814,ir8000041.trees
0,10001.0,250,58,-0.6064310975459504,-1.2241367771218135,0.196489247435059,-1.0206551889429616,-0.15568068336223279,-0.05233249479422226,-2.150980856633244,0.06383059118193202,ir8000042.trees
0,10001.0,250,48,0.07529130726964649,-0.6055387948657132,-0.16100509276166355,-0.12479892253975279,0.7795914774652167,-0.03405069709677618,-1.3591909780657179,0.06012940651494866,ir8000043.trees
0,10001.0,250,59,-0.40198901505658635,2.0815105096405593,0.5892317419789594,0.16623400682360562,-1.1091343211323579,0.09881400747697418,-1.7606237442753905,0.05644801427933958,ir8000044.trees
0,10001.0,250,38,-0.6537007682568375,-0.3818305901281651,0.46763250217940194,-0.6451822266595858,1.253269766366296,0.018812041608296613,-2.2085123338210035,0.07077233665846179,ir8000045.trees
0,10001.0,250,56,-0.06214009223292801,-1.6237203556879545,-0.49877331915781287,-1.0587582249791105,0.8945822841459394,-0.157132436360718,-2.933603098413901,0.09786817520979978,ir8000046.trees
0,10001.0,250,75,0.8551705722500832,0.9473657648774408,-0.3409552974226708,1.308616373430976,0.17037860705041072,0.053566403716040135,-0.4667566788644859,0.04016424119416735,ir8000047.trees
0,10001.0,250,76,1.7316742212273157,-0.8047680937440151,-2.5211488255289525,-0.6844847485921115,-1.061963006848357,-0.41055792609206276,-1.3825141532429719,0.06824533155664132,ir8000048.trees
0,10001.0,250,56,0.21367269874337927,-0.3048067292245944,-0.40743067167326935,-0.2616179987435249,-0.6911694984966583,-0.08037984578518254,-0.9372507838153256,0.05184509751163462,ir8000049.trees
0,10001.0,250,56,-0.8460290771129595,-0.50158167007899,0.8537141673814245,-0.3604670142835463,3.431785136374093,0.0961595404773739,-0.48322265714346035,0.044943213715075356,ir8000050.trees
0,10001.0,250,58,-0.04467922605245648,-0.4318136926729182,-0.06046825556412532,-0.21281503960073564,-0.15568068336223237,-0.025684410484620994,-0.7249875069660547,0.05076578716298888,ir8000051.trees
0,10001.0,250,64,-1.0894718864897515,-0.5588486616202991,0.9137727873634766,-0.7999062731650167,2.1028548517025722,0.06869009717745933,-0.6040404285987783,0.04649010789702589,ir8000052.trees
0,10001.0,250,50,-1.1633817676364664,-1.5603521086836528e-05,1.0642159257774217,-0.7021640666523756,0.6354106430530468,0.10137734984971625,-1.1321337743580198,0.05575759258231081,ir8000053.trees
0,10001.0,250,38,-1.0931757151466195,0.41000336625680245,1.0851945964828495,-0.5128561007986479,-1.0079856785780834,0.12489238638368869,-0.6528723643230808,0.04423428480948885,ir8000054.trees
0,10001.0,250,77,0.09241619807882248,0.8975645554860736,0.1222229169467175,0.43078408543395924,-1.5581087301848453,0.05080462573865257,-0.33387529529413573,0.0463235430200063,ir8000055.trees
