#/home/enes/bim/BIM.py trees/r8080085.trees,trees/r8080086.trees,trees/r8080087.trees,trees/r8080088.trees,trees/r8080089.trees,trees/r8080090.trees,trees/r8080091.trees,trees/r8080092.trees,trees/r8080093.trees,trees/r8080094.trees,trees/r8080095.trees,trees/r8080096.trees,trees/r8080097.trees,trees/r8080098.trees,trees/r8080099.trees,trees/r8080100.trees,trees/r8080101.trees 250 --stats=all --eta=etas/BC.json --out=outs/500636932.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FulD,TajD,FayH,bsfs,FerL,btree,Colless,path
0,10001.0,250,85,2.8294354048187267,-1.2711838632943118,3.423304230776136,0.03774697989618957,4.4018288915171695,-1.6171562208675965,0.15032654055906014,0.031725781104783794,r8080085.trees
0,10001.0,250,120,1.0581250048537094,-1.7973935862974548,2.2547215305106874,0.16385108279689878,2.327724419063673,-0.056060992188563204,0.33864703612593483,0.0324102863065164,r8080086.trees
0,10001.0,250,75,2.4644169565449086,-1.0357922522235594,2.997015311054616,0.03375552861763266,6.376431832454306,-1.4075973936315582,-0.16280756059047938,0.034089436926592,r8080087.trees
0,10001.0,250,79,1.8407070620925403,-1.36638162654564,2.7078157135618843,0.09857889900091285,3.3104124442542275,-0.7909107478878186,-0.020044214437326065,0.03584499287472471,r8080088.trees
0,10001.0,250,89,1.3832927962115298,-1.3512455721990102,2.409937145282084,0.13233872388224732,1.9412461485987371,-0.38300657465341087,0.8278333683582916,0.026323573865353892,r8080089.trees
0,10001.0,250,108,1.5106652872207593,-0.9720481760072849,2.0525865154657352,0.056032826324566284,2.5793578602611063,-0.7311080518395912,-0.25317125856537565,0.037754512674353334,r8080090.trees
0,10001.0,250,64,1.8414385136725506,-0.41742633149567604,2.2747872869044237,0.029196974567469017,4.957592970223164,-1.0402790431726836,0.003290234604151214,0.035849851016971114,r8080091.trees
0,10001.0,250,52,1.9297477631920747,-0.17786999266109974,2.3544567810282775,0.023432205607329556,5.510422181627459,-1.1183547145015709,0.07300937859561085,0.03528023383858012,r8080092.trees
0,10001.0,250,96,1.2050839460381022,-0.9036244642055502,2.274288613818893,0.14216637335500293,3.0529497459956696,-0.23438786631628847,0.412513180682535,0.029752072807358473,r8080093.trees
0,10001.0,250,71,1.4351820707790985,-1.4322345146311273,2.2909085897453765,0.10454244683853313,5.121217783559424,-0.5227153048857426,0.5793355145173968,0.027072235812319476,r8080094.trees
0,10001.0,250,65,1.9168140346244293,-1.5606289139442409,2.8330404765268065,0.1037171919904426,4.209311920557091,-0.8277428482362856,0.051422537752074025,0.031693980221963125,r8080095.trees
0,10001.0,250,79,1.6056642336138252,-1.3663816265456399,2.3602482947752934,0.08571131456530344,5.401002245489891,-0.6909089944127947,-0.2081273527916257,0.03652513278922141,r8080096.trees
0,10001.0,250,79,1.9815689662679374,-0.6773786388548788,2.733951709089602,0.07799855688346773,2.8533707161570034,-0.9510060612572951,-0.6790421464840332,0.042493846353154556,r8080097.trees
0,10001.0,250,85,1.3744025351474494,-0.842662461768864,2.72446671045388,0.18252358677393662,2.145842366169252,-0.20064589314128614,0.004577063828335231,0.03388704159529396,r8080098.trees
0,10001.0,250,77,2.675435309417391,-1.0874914669034845,3.063844202822268,0.007479223640059056,3.2707408251836974,-1.6306332598153888,0.09764789997964628,0.03320887235578258,r8080099.trees
0,10001.0,250,62,2.160420910737262,-0.9123750516608066,2.6617219262101726,0.0327409314380968,5.936096513177437,-1.2263459157883219,0.04795464946230163,0.036583056792928545,r8080100.trees
0,10001.0,250,122,1.9978137039150834,-2.273427580247482,2.9379230882432794,0.10871100945298809,2.160749168043605,-0.8377979041767691,0.47136954114556284,0.030788336884802838,r8080101.trees
