#/home/enes/bim/BIM.py trees/r8040034.trees,trees/r8040035.trees,trees/r8040036.trees,trees/r8040037.trees,trees/r8040038.trees,trees/r8040039.trees,trees/r8040040.trees,trees/r8040041.trees,trees/r8040042.trees,trees/r8040043.trees,trees/r8040044.trees,trees/r8040045.trees,trees/r8040046.trees,trees/r8040047.trees,trees/r8040048.trees,trees/r8040049.trees,trees/r8040050.trees 250 --stats=all --eta=etas/BC.json --out=outs/228071328.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FayH,TajD,ZngE,FerL,btree,Colless,path
0,10001.0,250,93,-1.8180873502076729,1.7020531222364423,0.20164139229636327,1.8282964563361208,0.4625104185318158,0.4372015848857726,0.3107794527711467,0.031163154177584425,r8040034.trees
0,10001.0,250,80,-0.4796088298671126,1.9848584379198342,0.046375858154402615,1.7396064699826417,1.279799573937592,-0.6281427977436753,0.11770469111636088,0.034027890960303224,r8040035.trees
0,10001.0,250,86,-1.927538159281183,0.8367351502546486,0.0734074913078538,1.463678316282801,0.8802685198833683,-0.2831703313652639,0.06706666177673842,0.035685185563987705,r8040036.trees
0,10001.0,250,91,-1.38876259984408,1.611790625128632,0.09752790277732157,2.17539625900499,1.3756074448896776,-0.502028959600955,0.33941733192012746,0.03146456794921621,r8040037.trees
0,10001.0,250,94,-1.2475074373534478,0.76813152272171,0.024936872731020868,1.8089233328188328,1.4700369216970903,-0.8201211796025369,0.13290946272468251,0.0332417441709825,r8040038.trees
0,10001.0,250,103,-1.0494439247701066,1.041059643418153,0.04827283586039758,2.0853381309366044,1.5841417288617035,-0.8054287412022777,0.2611790357141154,0.03412390711548002,r8040039.trees
0,10001.0,250,93,-0.8347223396831286,1.4827275674286338,0.11696714148101293,1.1012666643301252,0.3046259229379353,0.23112454152234682,0.4313248566119272,0.029579857893110902,r8040040.trees
0,10001.0,250,98,0.3622190221020453,1.2602810192361997,0.08192942799547641,1.2414832101567261,0.6325809047563065,-0.09629873317413444,-0.05225470475286309,0.03648267341592965,r8040041.trees
0,10001.0,250,87,-1.5216642680239814,2.8586107190153767,0.1037111091235803,1.935672588488878,1.1259514787156675,-0.3268228422581656,0.8056649089746607,0.02631588974493801,r8040042.trees
0,10001.0,250,86,-0.4442949488248582,2.2670395195664343,0.13226480215293318,1.7729962210919514,0.8166289964410359,-0.03390661238232527,0.42274018934715174,0.030314807617567035,r8040043.trees
0,10001.0,250,80,-0.7065563822737392,2.0389767894985353,0.08855568678275659,1.0571159365589422,0.4321524338553304,0.046253645058703996,0.33823206181522114,0.03202055533963812,r8040044.trees
0,10001.0,250,78,-1.577308777834953,2.2357687055950572,0.12922129089634263,1.481522817760775,0.5770194487891062,0.09962191615953418,0.2695318958273592,0.03208564809522721,r8040045.trees
0,10001.0,250,97,-1.4924479137393423,1.8948530223572289,0.042507887428537804,2.261491890882883,1.7732608798867207,-0.9441677693257978,0.9091026593169076,0.025929524549812153,r8040046.trees
0,10001.0,250,97,-0.9256868808393908,1.5206702761714126,0.13095643943856944,2.012602614801892,1.0364160358031989,-0.16995271844693216,0.7251278396884591,0.02603575592693354,r8040047.trees
0,10001.0,250,98,-1.8827031467595374,0.7796173738584716,0.05637469561152,1.1509109687575954,0.7003971244608233,-0.2302930721836527,0.9241564769499832,0.026120971340559365,r8040048.trees
0,10001.0,250,85,-1.271183863294312,1.7912872177643144,0.0953373684713767,2.2743299322089157,1.475489029250928,-0.5738110018881378,-0.33801097388477275,0.03993687359408307,r8040049.trees
0,10001.0,250,91,-1.589555829804346,-6.061210177347621e-06,-0.12109620154645637,1.1800101893915242,1.7531618082750875,-1.5187331637580879,-0.3775595786210593,0.04223568355736628,r8040050.trees
