start,end,N,SS,bsfs,FulD,FerL,ZngE,FayH,TajD,Colless,btree,path,iColless,ibtree
0,10001.0,250,57,4.370183821725328,-0.4190596778108773,-1.8632585344021542,3.1169433612991804,0.02052831828871711,3.681970405182743,0.03586928358595673,-0.24577985940823185,5090000,0.03148076175670424,0.17841888727589267
0,10001.0,250,38,3.678303601535376,0.8010186773774196,-1.494391928908965,2.4664149578823618,0.012226388082495659,2.9383754866331833,0.045939518442433325,-0.5864387475668508,5090001,0.05685645809042623,-2.201739336025353
0,10001.0,250,30,2.177140930334565,0.6043570842115799,-1.4221356551006683,2.38927456972004,0.02135577074896533,2.9362849358545353,0.027432309884700096,0.4578041793381887,5090002,0.039116141987304065,-0.41834923074057795
0,10001.0,250,40,3.8013388159658748,-1.5357006352431182,-1.519671200346076,2.587538072299893,0.02725909635267385,3.163233164742904,0.03834693613162327,-0.2935422877383002,5090003,0.04113227101956212,-0.5460443546766501
0,10001.0,250,27,3.4094202425607363,-1.4852033420933957,-1.9735150443212035,3.195104813445489,0.006195707981995574,3.8176987121107513,0.030185257157662914,0.5125964526042455,5090004,0.03209612644124886,0.1578321229868298
0,10001.0,250,43,3.5882491240991725,-0.019570530065580138,-1.2196717634271907,2.077992360738186,0.02169168231562596,2.5315631935933496,0.0334412920499201,0.07663396617073154,5090005,0.03675994299779764,-0.5476909519709717
0,10001.0,250,36,3.251956275757097,0.5217789922356246,-1.4115268705052617,2.3701342649393924,0.019653397461264942,2.878591449574222,0.04721651583291692,-0.9765260913563852,5090006,0.048127995854385285,-0.8919944044649212
0,10001.0,250,42,3.7802750163061662,-0.7784724774473057,-1.380110300373478,2.327003756947806,0.020107557361425717,2.812017455069977,0.04915360366195967,-1.0940963347278834,5090007,0.039221401735976165,-0.2359372941931488
0,10001.0,250,25,1.9092265213155744,-2.6821967318886117,-1.249608647059044,2.1743283196288767,0.03562671673682797,2.7897241859354764,0.05031415986526752,-1.0995561241731029,5090008,0.03180463790646457,0.03628184538730148
0,10001.0,250,30,1.356468639892279,1.162648658311136,-0.5095631620488656,1.0836552378688076,0.05314252172958344,1.5874704299086917,0.03820119186423112,-0.4916580949744468,5090009,0.050395128902707614,-1.3691398839139295
0,10001.0,250,74,4.810414030338854,-1.4975755772162531,-2.1926899986249757,3.6011305437115078,0.010834513518965732,4.134140173368122,0.03205969037440083,0.20708146858456186,5090010,0.055771472988729115,-1.8268053411563496
0,10001.0,250,48,1.9663492432980043,0.0482737356514248,-2.044290787841864,2.9118587610828017,-0.07034341540157056,2.9071915686774488,0.046903744008291226,-0.745348409457073,5090011,0.03763440860215054,-0.2889495217127091
0,10001.0,250,33,2.007933852301567,0.8162655202463414,-0.6413090654226069,1.2418377728736558,0.04159917607492485,1.7008906297076851,0.03159735717061795,0.3279302034607549,5090012,0.037521051949734416,-0.3781800668149936
0,10001.0,250,55,3.027207564456368,-1.6174449469784478,-1.788028928276795,2.9570187586416607,0.013699015552309244,3.461413650847497,0.035723539318564576,-0.4339730648604711,5090013,0.05045990413265967,-0.846936729012197
0,10001.0,250,33,3.1833315066027583,-1.2362480586115814,-1.4159050093782404,2.4060057838371978,0.025904715073396763,2.9695418540759886,0.03836852787494063,-0.4636127183337737,5090014,0.038055447596838966,0.004468971587692801
0,10001.0,250,61,4.4992351595620335,-0.8783255172342775,-1.9250545907757468,3.24527938345168,0.02530934905123199,3.849181523408127,0.03829099388757376,-0.30161435809904297,5090015,0.05871874595154813,-1.8295667247683949
0,10001.0,250,36,3.498198086264447,-0.4277613258665289,-1.758559499018683,2.8318313643138477,0.0010791888783834949,3.304443121875844,0.03442803471952325,-0.09689851227934193,5090016,0.034201321414691024,0.2608509094785053
0,10001.0,250,59,4.362670556548131,-0.8070051971883656,-1.573854636168894,2.734235392665617,0.0354649134550579,3.3360611452062168,0.033553569115170365,-0.2598590831982147,5090017,0.04534266096644643,-0.699297863606938
0,10001.0,250,38,2.7603783008615537,0.3487675883885434,-1.1079496682524306,1.9158982984332404,0.025795808202299632,2.3812602656207664,0.04067884440989765,-0.3027173503971739,5090018,0.03559398885866045,-0.2145436282931955
0,10001.0,250,44,3.1227299362035503,-2.4598696038422903,-1.4975728727138993,2.6222342688506233,0.03973582870852788,3.2677216250970096,0.049812151833139015,-0.935271082817564,5090019,0.06056484000518201,-1.4641595042286286
0,10001.0,250,63,4.618982109866471,-0.9454146926516992,-1.8465169683977944,3.073810706822158,0.017101751266978896,3.5982292519618655,0.03650084207798938,-0.41552042340506506,5090020,0.030509133307423237,0.2803276384164213
0,10001.0,250,41,4.028765982647267,-0.7264779108499139,-1.8010797238684866,2.9396987546377518,0.008038983014619888,3.4499857045017075,0.0374983806192512,-0.17787729007155714,5090021,0.030476745692447207,0.1046429626801397
0,10001.0,250,33,2.524485710140074,-0.7231196638971006,-1.1424186106011942,1.978028738959526,0.02811832029223002,2.4819668412669675,0.04459774582199767,-0.6266064248047193,5090022,0.0324200025910092,0.1187101629939858
0,10001.0,250,35,3.0415988169906853,-0.35887796589029763,-1.5174834699933155,2.4954704639896668,0.011109726705569376,2.9772466859943174,0.0418933799714989,-0.6861492047186171,5090023,0.040290193030185266,-0.4644551495634944
0,10001.0,250,32,3.2124415053671562,-0.6567095383381395,-1.2385748702797008,2.121178227547241,0.02613848592538855,2.64128891150554,0.030833009457183574,0.4072408350010833,5090024,0.035496826013732344,-0.2518366787876164
