#/home/enes/bim/BIM.py trees/r3040090.trees,trees/r3040091.trees,trees/r3040092.trees,trees/r3040093.trees,trees/r3040094.trees,trees/r3040095.trees,trees/r3040096.trees,trees/r3040097.trees,trees/r3040098.trees,trees/r3040099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/320367259.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,ZngE,FerL,FayH,TajD,btree,Colless,path
0,100001.0,50,492,-0.9145533876190721,0.341843980090586,0.05453424272707436,0.050103588310198635,0.019201944302918897,0.19035395687512674,0.3149542495825809,0.11476289544944185,r3040090.trees
0,100001.0,50,442,-0.17562913576913095,-0.06107959543362727,-0.05213420006685772,0.0396687176480797,0.0023530932522405337,-0.03358745040564732,-0.11905096823652708,0.145621861309969,r3040091.trees
0,100001.0,50,396,-0.6735731798044831,0.7988581922161806,0.23019213784322046,0.054568845845826906,0.0441006537993217,0.5386365979800793,0.23302666375096429,0.11248299319727893,r3040092.trees
0,100001.0,50,424,1.2143532195076512,0.22534857234062533,-0.13383042888125207,0.14885839781021706,0.01718764473769172,-0.0064623576582210135,0.005147912414622266,0.16061450090240176,r3040093.trees
0,100001.0,50,519,-0.7815262231129,0.11765188191108586,0.34864619682228604,-0.3100496666485485,-0.026294773603958498,0.14828329682897565,-0.0864787029658372,0.13939066617638043,r3040094.trees
0,100001.0,50,439,0.4531348156460417,-0.29823024015858773,-0.47479431378805725,0.373184035189744,0.024253441699951608,-0.28570112752691373,0.06352606615566178,0.11968766001024066,r3040095.trees
0,100001.0,50,435,0.31727453076281853,0.27003653640265834,0.1109601660522116,-0.021339926866329822,0.009936627746499277,0.17854846309555547,0.2464727341774628,0.12098771547453943,r3040096.trees
0,100001.0,50,416,-0.08760822243471099,-1.6084849423790775,0.40030879813404785,-0.7773072639896349,-0.13013902758307958,-0.5442428410794535,-0.4615437021468591,0.14409854851031317,r3040097.trees
0,100001.0,50,449,0.36975337976850675,0.18071441787438483,0.4149291545446892,-0.30794094343562706,-0.016883921221111996,0.28045095106771195,0.15900042336666978,0.11758050859828918,r3040098.trees
0,100001.0,50,416,-0.08760822243471142,-2.3982272751677467,-0.11525310488724964,-0.4204629132570559,-0.11525880566555825,-0.9368521246379969,-1.3097064030539805,0.15029109803430574,r3040099.trees
