#/home/enes/bim/BIM.py trees/ir3020000.trees,trees/ir3020001.trees,trees/ir3020002.trees,trees/ir3020003.trees,trees/ir3020004.trees,trees/ir3020005.trees,trees/ir3020006.trees,trees/ir3020007.trees,trees/ir3020008.trees,trees/ir3020009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/826353199.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FayH,FulD,bsfs,ZngE,Colless,btree,path
0,100001.0,50,363,-0.41439567710745845,-0.5101978839778657,-0.0848970049827579,0.7059882891185515,-1.4106220837321568,0.10006341627057651,0.22743884787957733,-1.9970311489457633,ir3020000.trees
0,100001.0,50,322,-0.5935508387468864,-0.35939787950658875,-0.09582796799469684,-0.02608754071857531,-0.8976191277435676,0.3349384007046778,0.2012707860922146,-2.0480752296106433,ir3020001.trees
0,100001.0,50,450,-0.49562422268022105,0.15131373476382232,-0.04811530879526124,0.13112732997515741,-0.3390591492277936,0.512735829472159,0.16552579365079367,-0.7971699058823625,ir3020002.trees
0,100001.0,50,372,-0.3819322158841422,0.11852249561182263,-0.03707116284640446,0.6492264401297371,-0.1307671807027599,0.39584155315620856,0.16141156462585035,-1.0039974996035164,ir3020003.trees
0,100001.0,50,440,-1.9801977401175201,-0.6795524792224251,-0.28194464758797166,0.37728462867603035,-2.448399932238461,1.384867115211388,0.23878810783572693,-2.071696072826274,ir3020004.trees
0,100001.0,50,421,-0.14806935831592616,0.08036358449336656,-0.011935899025942047,-0.30157993399286254,-0.2186123795546744,0.17130663608435578,0.14513506132379964,-0.7153300662175561,ir3020005.trees
0,100001.0,50,391,-1.1918481149836326,-0.2905962175147493,-0.16171411069042557,-0.10996437553950945,-1.0307756211001937,0.894638082912308,0.22777275467148886,-1.283909842414638,ir3020006.trees
0,100001.0,50,393,-0.6292213252600879,-0.5997146658869622,-0.11654694645730576,0.024533579857955304,-1.3299869188877371,0.2419748134630774,0.1933229813664596,-1.3019671281835776,ir3020007.trees
0,100001.0,50,332,-0.4368091174501515,-0.08627234238949749,-0.05801718987989197,0.8555915981923128,-0.35660718420110393,0.33825577608258345,0.19727891156462582,-1.7436853930991156,ir3020008.trees
0,100001.0,50,388,-0.38096568917447354,0.28013417409040325,-0.025634812473733157,-0.5813741338659127,0.11712552060404287,0.4784557929548771,0.1762007833436405,-1.2397828426199091,ir3020009.trees
