#/home/enes/bim/BIM.py trees/r3100020.trees,trees/r3100021.trees,trees/r3100022.trees,trees/r3100023.trees,trees/r3100024.trees,trees/r3100025.trees,trees/r3100026.trees,trees/r3100027.trees,trees/r3100028.trees,trees/r3100029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/399319360.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FulD,FerL,FayH,bsfs,btree,Colless,path
0,100001.0,50,428,-0.41742629674483894,-0.18117521837369485,1.206911723494469,-0.03931347072601305,-0.03380118035858962,-0.8258705855800147,0.2047079281876197,0.11532371569317383,r3100020.trees
0,100001.0,50,436,0.4731490873219735,0.4568977045968145,-0.9821780893664317,-0.24230944089752904,0.004329547644041285,0.5710113913355707,0.7946593051123193,0.10264893836322403,r3100021.trees
0,100001.0,50,386,0.6111270868917543,0.7973410228844152,0.16134406412959879,-0.5499492020289438,-0.022565419059713987,0.3172071540458486,-0.09703539183446205,0.1151205936920223,r3100022.trees
0,100001.0,50,495,0.5801648216231883,0.33835704239382,-0.9889074128316824,-0.043590265272139314,0.035312867752633946,0.9005400507851169,1.24689348573635,0.09575141032022563,r3100023.trees
0,100001.0,50,422,0.09429202477389617,-0.2197112926119627,0.4284038305969455,0.3061954384423568,0.04286889790338121,0.40696824700715767,-0.290683244716758,0.13467139729455002,r3100024.trees
0,100001.0,50,467,-0.11650630617215837,0.0971048463044711,0.60943803659679,-0.17945317199267338,-0.029363070313392383,-0.42939221226472435,-0.4114384153199902,0.13237360671968312,r3100025.trees
0,100001.0,50,488,0.3695306975935622,0.1611549063359709,-0.2570954562117703,0.03419810161829985,0.029821091194139043,0.5431819554518452,0.28756339373395823,0.12481553467948041,r3100026.trees
0,100001.0,50,405,-0.4114278316483125,-0.4251370460306406,0.2553584860181739,0.2426865156382349,4.1693553902278816e-05,-0.47119478873949877,0.13400835709850858,0.11075680272108844,r3100027.trees
0,100001.0,50,420,0.0651889253226684,-0.04024989536174252,0.6929619282143119,0.0843246874487878,0.014545369574568456,0.2062122256904965,0.22665121507294456,0.11942604266837625,r3100028.trees
0,100001.0,50,473,0.04558620813644898,-0.2614722498893943,0.05860611227501708,0.32509098486322613,0.041639979817015685,0.5319104109527004,0.5233577146374545,0.11629600558171982,r3100029.trees
