#/home/enes/bim/BIM.py trees/r8050007.trees,trees/r8050008.trees,trees/r8050009.trees,trees/r8050010.trees,trees/r8050011.trees,trees/r8050012.trees,trees/r8050013.trees 250 --stats=all --eta=etas/BC.json --out=outs/463849353.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,bsfs,ZngE,TajD,FulD,Colless,btree,path
0,2501.0,250,3,0.1407555044595316,0.14482155763552906,1.7886284734303187e-05,0.06113329419484333,0.4754748386292274,1.5999106058689658,0.030302662261951028,0.5262704902085525,r8050007.trees
0,2501.0,250,5,-0.49830856594312267,-1.1968828721842446,-1.1606564283173302,0.5222101274010345,-1.1221870234337297,2.670757655555177,0.03798257546314289,-0.2450644744002493,r8050008.trees
0,2501.0,250,6,-0.33853364061494107,-0.959985020663456,-0.775091187621225,0.5038842790284614,-0.6705653560051313,0.03295822379415026,0.04469895711879777,-0.4512026485142048,r8050009.trees
0,2501.0,250,7,0.15337146252945205,-0.07199817526683952,1.3752029032461655,0.6075224531225775,1.425089246199021,-2.055869951677464,0.033831177243536355,0.19817685651103387,r8050010.trees
0,2501.0,250,6,0.10874784419483524,-0.8982227144541778,2.263562169964376,1.749648010142454,2.713778329634553,-1.9642299758823032,0.033443451224251845,-0.08721864715368402,r8050011.trees
0,2501.0,250,5,0.12253817029971689,0.08743917029804715,0.9008734469542826,0.19894210033906,0.7084259906905687,-1.854344998188919,0.03639963078118927,0.046451819984003245,r8050012.trees
0,2501.0,250,15,0.016189793594363372,-1.5811793370728506,3.3560298619094593,2.5916309084493254,3.270712012519485,-0.46029203950398645,0.03118044023601738,0.337881561397897,r8050013.trees
