#/home/enes/bim/BIM.py trees/ir8030186.trees,trees/ir8030187.trees,trees/ir8030188.trees,trees/ir8030189.trees,trees/ir8030190.trees,trees/ir8030191.trees,trees/ir8030192.trees,trees/ir8030193.trees,trees/ir8030194.trees,trees/ir8030195.trees,trees/ir8030196.trees,trees/ir8030197.trees,trees/ir8030198.trees,trees/ir8030199.trees,trees/ir8030200.trees,trees/ir8030201.trees 250 --stats=all --eta=etas/BC.json --out=outs/814908156.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,FulD,FerL,bsfs,TajD,Colless,btree,path
0,10001.0,250,43,2.1891414022976443,0.024629053540415145,-0.4239195416448748,-1.2790365653333795,5.596032235606977,2.6778823234702207,0.05369866563026299,-1.1037864658194716,ir8030186.trees
0,10001.0,250,46,2.117511065856412,0.039919380666714493,-1.3459897975374755,-1.182155414884175,6.009659910230259,2.682910729701704,0.05544759683896877,-1.495445989709709,ir8030187.trees
0,10001.0,250,37,2.2793778889393086,0.01893784623479221,-0.493300465438926,-1.3568084536703975,5.534308885279812,2.7651380903668645,0.027302759424795958,0.6390191123193281,ir8030188.trees
0,10001.0,250,34,1.7372007839011256,0.044637173433689135,-0.2863857792890653,-0.9391358781706012,4.928758370085138,2.2962772831389175,0.05305091333074233,-1.328097575465812,ir8030189.trees
0,10001.0,250,32,2.522315906198794,0.02536198219322322,-1.7113926896551759,-1.4908389448897104,5.634237177051121,3.1068404557929226,0.04440342013214147,-0.9425882388040676,ir8030190.trees
0,10001.0,250,62,3.675854193080289,0.010622080240504797,-0.6239052371832599,-2.2424953387180184,6.594759781957845,4.2431204002559495,0.05041132271019562,-1.59691528938004,ir8030191.trees
0,10001.0,250,42,1.9005873780454037,0.04358298971095831,-1.191568346080499,-1.0377410386164394,4.504033719947812,2.4630526462676463,0.043302241222956346,-0.46080793695437283,ir8030192.trees
0,10001.0,250,45,2.597671387492123,0.022350372211535623,-1.3097288870990782,-1.5394892458534206,6.012558805273227,3.1295544781488474,0.03752105194973442,-0.32974008443978126,ir8030193.trees
0,10001.0,250,45,2.3000708417313502,0.00020616187064359626,-1.697655022662375,-1.42826069104642,3.536759550902008,2.650258495201952,0.04106749578961005,-0.9016045263240848,ir8030194.trees
0,10001.0,250,62,1.2395351409150854,0.1279037709378546,0.5299740207269268,-0.3262276933929875,1.3367240441699828,2.2185674144272354,0.04925346547480244,-0.8278360784996682,ir8030195.trees
0,10001.0,250,37,1.7514624230311022,0.042729655139704135,-0.0300650904916571,-0.9515148739467841,4.757669753994023,2.294922558283844,0.04145614716932245,-0.3163841089576878,ir8030196.trees
0,10001.0,250,45,3.4810039165002333,0.01940751256783911,-1.309728887099078,-2.0980590936484176,6.182022740406446,4.128740031947205,0.038427905169063345,-0.4739900762652975,ir8030197.trees
0,10001.0,250,65,1.6695166127614223,0.11636420133569898,-1.2846340729109804,-0.6304884126410583,1.9845867913001287,2.6330206972758097,0.04072202789653236,-0.1509668060896149,ir8030198.trees
0,10001.0,250,47,1.7176931994335543,0.016677554987746698,1.6014837718433668,-1.0110325390337036,3.3418211253415198,2.0775417605614335,0.0462009327633113,-0.5708394918540086,ir8030199.trees
0,10001.0,250,41,2.124735711785825,0.03071690968459167,0.5402167657455895,-1.2200160394712183,4.834345285223125,2.6457041089355045,0.0577147298872911,-1.682499089214955,ir8030200.trees
0,10001.0,250,54,1.3607429433867104,0.14605971577726845,-2.2474599631771697,-0.3470755614669675,2.5699629263172823,2.4700158726139123,0.03827406399792719,-0.42311798392142436,ir8030201.trees
