#/home/enes/bim/BIM.py trees/r3090010.trees,trees/r3090011.trees,trees/r3090012.trees,trees/r3090013.trees,trees/r3090014.trees,trees/r3090015.trees,trees/r3090016.trees,trees/r3090017.trees,trees/r3090018.trees,trees/r3090019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/520943944.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,FulD,bsfs,ZngE,FerL,btree,Colless,path
0,100001.0,50,400,-0.05325888690259141,-0.3157506136117746,0.37370124619411293,-0.6243576865734894,0.06760202813820149,-0.26308631513988867,-0.40345185424699753,0.15073203194321202,r3090010.trees
0,100001.0,50,408,-0.11019601880110538,-0.5329469920341937,0.5559519982402572,-1.2659825292675733,0.2643157944705838,-0.6154731429998029,-0.6290955891833109,0.14093421459492894,r3090011.trees
0,100001.0,50,488,-0.172270424257929,-0.09829395684614504,-0.5304849831490004,-1.0415665400923413,1.1757335415571226,-1.398814459567349,-1.195742725862178,0.1591350826044703,r3090012.trees
0,100001.0,50,338,-0.060103960539857886,-0.42971484839177376,0.4321178672167485,-1.355562410753844,-8.694119591688321e-05,-0.2525698874545475,-1.3024896181816363,0.16548563869992441,r3090013.trees
0,100001.0,50,392,-0.08978305874350637,0.3369180879996034,-0.49575480199893274,0.17979773846388064,1.01102488822407,-0.9551321522679983,0.06642638666207784,0.16895826127061012,r3090014.trees
0,100001.0,50,466,0.002499881920663708,0.1489422351716663,0.872230112540732,0.038434176046773696,0.13549217203784927,-0.06670262470834752,0.04672427448000026,0.11674263614075074,r3090015.trees
0,100001.0,50,417,-0.03486391616211693,-0.25432297028730627,0.011257713411008749,-0.38230213750925945,-0.004842979583320315,-0.14431161854355717,-0.2724243857902816,0.14289202860631442,r3090016.trees
0,100001.0,50,367,-0.030968946951088042,-0.2502687470880209,0.017340234430113555,-0.3339660748683575,-0.029644998897974995,-0.11344881074097547,-0.2252737268024909,0.12947132495382255,r3090017.trees
0,100001.0,50,415,-0.0438450910265937,-0.07117555959000474,0.49110880170507076,-0.36494574243451045,0.25072862057346446,-0.3279624648742907,-0.25164794641851207,0.133219954648526,r3090018.trees
0,100001.0,50,452,-0.08746705406870471,-0.18283658494427935,0.4110190376415316,-0.6421596814583523,0.4587825089554153,-0.6310744824543314,-0.43989419736701013,0.1463950865320221,r3090019.trees
