#/home/enes/bim/BIM.py trees/ir8110234.trees,trees/ir8110235.trees,trees/ir8110236.trees,trees/ir8110237.trees,trees/ir8110238.trees,trees/ir8110239.trees,trees/ir8110240.trees,trees/ir8110241.trees,trees/ir8110242.trees,trees/ir8110243.trees,trees/ir8110244.trees,trees/ir8110245.trees,trees/ir8110246.trees,trees/ir8110247.trees,trees/ir8110248.trees,trees/ir8110249.trees 250 --stats=all --eta=etas/BC.json --out=outs/195197340.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FayH,FerL,TajD,ZngE,Colless,btree,path
0,10001.0,250,117,-1.4485166451657336,4.9490998868575575,0.035017316425620296,-1.5501356961266053,3.2523638881287376,2.7136280991311503,0.04032258064516129,-0.18780778240268564,ir8110234.trees
0,10001.0,250,76,-0.5854940088060738,6.548492831419527,0.02741278869645746,-1.6558875107152444,3.3669483635324355,2.829534790849273,0.0511724316621324,-1.2101420787020853,ir8110235.trees
0,10001.0,250,105,-2.4886130598416925,1.6355758732955905,0.0787568682604241,-1.2913593093269662,3.3611176958262354,2.5486318834141666,0.04015524463445178,-0.3153429891196608,ir8110236.trees
0,10001.0,250,89,-2.171605603394136,6.116493992162128,0.046894235245180306,-1.7666612198220886,3.810631064247879,3.1252077083668217,0.04085697629226584,-0.8394043215121314,ir8110237.trees
0,10001.0,250,87,-2.3599640554214933,4.3835848983371895,-0.00944378906937815,-2.3843870470140187,4.202812280182789,3.7975047898368715,0.054087317009975384,-1.1003873293912756,ir8110238.trees
0,10001.0,250,86,-1.0799706104489977,5.298251260393558,0.047284929826161594,-1.513621982641285,3.358274310439013,2.7174809525935624,0.04492971887550201,-1.1225746078750054,ir8110239.trees
0,10001.0,250,87,-2.1503891085721154,5.644035513346371,0.019072709686592085,-1.9796159976483505,3.8378185727494007,3.3080198537644407,0.0415047285917865,-0.5326020176039242,ir8110240.trees
0,10001.0,250,76,-1.3001975058694988,6.2253366692604,0.027336529525955253,-1.6692943651223349,3.3903776262313507,2.850745389180455,0.04292978365073196,-0.4208547074534854,ir8110241.trees
0,10001.0,250,94,-2.0262103364429054,2.602401959546916,0.13623291846748717,-0.4196460336137907,2.530809066162679,1.468641124122541,0.040588159087964766,-0.40074976287707775,ir8110242.trees
0,10001.0,250,91,-2.1919355196851416,5.035490678250176,0.034787795137805985,-1.6471523990146506,3.4358810016708965,2.8628120610440164,0.046753321529846986,-0.8746840563647453,ir8110243.trees
0,10001.0,250,75,-2.4831972833523253,5.9722012844411285,0.028570358699763543,-2.38652713949951,4.713409038356635,4.015270195625194,0.05647320464654316,-1.3663794602943842,ir8110244.trees
0,10001.0,250,76,-1.0619630068483568,5.668403881646809,0.04602002629899076,-1.5823537100145795,3.4721236326424614,2.816808431850564,0.04319068388248334,-0.7357414093947603,ir8110245.trees
0,10001.0,250,101,-0.8279988571838165,4.338123000267548,0.03158677327826321,-1.9303508478676696,3.900783047441081,3.3047257635787095,0.059366498251068794,-1.7055736856387027,ir8110246.trees
0,10001.0,250,97,-0.9256868808393904,3.7438760931531183,0.07613269481542304,-0.8491595421456383,2.5274431778177617,1.8152888286752928,0.04680010364036793,-0.9713468470636895,ir8110247.trees
0,10001.0,250,106,-1.6268784237102358,6.222874869799791,0.07919933147474296,-1.4768352575254329,3.7016915030569266,2.8514933217912453,0.04318194436733108,-0.6541580503621924,ir8110248.trees
0,10001.0,250,90,-1.3702024794119319,3.401509300406467,0.10305028938609655,-1.1648428437411524,3.447798325402613,2.4779188590580383,0.05729369089260265,-1.7529598512158142,ir8110249.trees
