#/home/enes/bim/BIM.py trees/r3090060.trees,trees/r3090061.trees,trees/r3090062.trees,trees/r3090063.trees,trees/r3090064.trees,trees/r3090065.trees,trees/r3090066.trees,trees/r3090067.trees,trees/r3090068.trees,trees/r3090069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/282600060.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,ZngE,FayH,FerL,TajD,Colless,btree,path
0,100001.0,50,424,0.44580034967606763,-2.461909070313208,0.5113685696056662,-0.1604631503847429,-0.9687631954833125,-0.6541000450005314,0.16302910052910055,-1.6328901392330615,r3090060.trees
0,100001.0,50,435,0.1810505364602953,-0.22340996525667942,0.23161843385741923,-0.03641618809283446,-0.2858241625976733,-0.036685447902430376,0.1513336913712855,-0.6419175131061972,r3090061.trees
0,100001.0,50,347,0.33571827447408176,0.03346229047902836,0.2724911884628222,-0.018368882235366053,-0.2327389217577979,0.13304576489611902,0.14988983014589483,-0.6178910564489156,r3090062.trees
0,100001.0,50,382,1.7087062082898243,-2.9168035786998696,-0.010845174536196447,-0.12044656978023212,-0.5011858001633991,-0.8723640222049877,0.1581425253028041,-0.760585706496334,r3090063.trees
0,100001.0,50,440,0.7813394932006554,-1.1766820168342527,0.6335043730498954,-0.11317080255143945,-0.8391119470038255,-0.19765520814448484,0.14128768791467197,-0.9639263808119775,r3090064.trees
0,100001.0,50,459,1.1293995652965207,-1.30083117029784,0.5021430609535976,-0.10837090665834019,-0.7441869457407432,-0.29080560991721705,0.15981419163410052,-0.5713211823627533,r3090065.trees
0,100001.0,50,384,0.6804530835351166,-0.6377464873710371,0.3116933851713602,-0.06835711999237246,-0.46579638588017086,-0.18710619730001768,0.1307506977149834,-0.7349410858865104,r3090066.trees
0,100001.0,50,396,0.8593531763963784,-1.3979478688424065,0.14433434925623825,-0.08800515307584621,-0.45327781557056585,-0.490079834787468,0.1654541446208113,-0.9847474729995358,r3090067.trees
0,100001.0,50,341,-0.034315797232184114,-0.5802956725652337,0.03578597326418539,-0.03794973010864241,-0.1799533894454967,-0.23656222753484799,0.14571647372399252,-0.4747393150451237,r3090068.trees
0,100001.0,50,387,1.2617426428014475,-1.7275077656216733,-0.2680832930902522,-0.0777666594040076,-0.17472096744923787,-0.8162747655595048,0.16325992422285357,-1.0391964312631434,r3090069.trees
