#/home/enes/bim/BIM.py trees/r3090070.trees,trees/r3090071.trees,trees/r3090072.trees,trees/r3090073.trees,trees/r3090074.trees,trees/r3090075.trees,trees/r3090076.trees,trees/r3090077.trees,trees/r3090078.trees,trees/r3090079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/249428619.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,ZngE,FerL,FulD,bsfs,btree,Colless,path
0,100001.0,50,406,-0.1080277843324343,-0.15380555205127106,0.6397451868500058,-0.8204499108047304,0.3195734942082926,-0.8720366666330159,-0.28084838281764585,0.1552051671732522,r3090070.trees
0,100001.0,50,359,-0.04072989394406674,-0.2389785585506132,0.05394417103921653,-0.2021635704275832,0.2970800952155484,-0.48094848334361295,-0.17171011689835106,0.14552656505640235,r3090071.trees
0,100001.0,50,410,-0.1590874806666458,-0.138841861416749,1.0328371381229213,-1.2600772171284575,0.39272206845981006,-1.1089759119982656,-0.21087039179297604,0.1416354516490141,r3090072.trees
0,100001.0,50,366,-0.06052005567243026,0.5267047626745668,0.9897041603529044,-0.8194363510970156,-0.33751241589944897,0.07858498040038508,0.26297221076959637,0.11775213441081128,r3090073.trees
0,100001.0,50,426,0.02476451883367067,0.02940226349863403,-0.15284680310578325,0.1916830389660814,0.602119262281287,-0.005988873758677119,0.21115669683792124,0.12559523809523798,r3090074.trees
0,100001.0,50,343,-0.1735829180988287,-0.9844591207181039,0.26432525686082287,-0.8806218335020553,-0.09640919105889169,-2.5541355404998747,-1.2190995196924264,0.14505302120848335,r3090075.trees
0,100001.0,50,385,-0.0998566012416486,-0.27118970638549805,0.45755762058164184,-0.681730220396236,0.7470507400621013,-1.3159228429354082,-1.2344860264828992,0.1618381618381618,r3090076.trees
0,100001.0,50,449,-0.10639502606461973,-0.9507641926249416,-0.1949072100688661,-0.338178198985463,1.6567589698682035,-2.906394773601827,-0.8725116399223277,0.15038034918400867,r3090077.trees
0,100001.0,50,441,-0.011654343852906,-0.6503837013688615,-0.5858946570707901,0.28494395494300245,0.8728970172592279,-1.221365122965562,-0.9526620870674298,0.1605236264909553,r3090078.trees
0,100001.0,50,400,-0.044596296864218093,-0.25600980335422524,0.06526218709157451,-0.225232755124317,-0.03348510596596468,-0.6682487836245967,-0.6413139835322916,0.12739984882842031,r3090079.trees
