#/home/enes/bim/BIM.py trees/ir8060005.trees,trees/ir8060006.trees,trees/ir8060007.trees,trees/ir8060008.trees,trees/ir8060009.trees,trees/ir8060010.trees,trees/ir8060011.trees,trees/ir8060012.trees,trees/ir8060013.trees,trees/ir8060014.trees,trees/ir8060015.trees,trees/ir8060016.trees,trees/ir8060017.trees,trees/ir8060018.trees,trees/ir8060019.trees,trees/ir8060020.trees,trees/ir8060021.trees 250 --stats=all --eta=etas/BC.json --out=outs/951682584.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,FayH,bsfs,ZngE,TajD,Colless,btree,path
0,10001.0,250,46,-1.6289759936894326,-1.3459897975374755,0.007551353577639343,3.9662229410571017,2.6629798582494995,3.1104650772495965,0.058459645031739865,-1.5710679059358028,ir8060005.trees
0,10001.0,250,47,-1.6257850203845048,-1.380840408366428,0.010178299042626163,5.882221551002588,2.672482614234755,3.13470980781532,0.04974737660318695,-1.328307464307512,ir8060006.trees
0,10001.0,250,75,-2.3407475225303758,-2.000728939642737,0.016504634941182098,6.722201844747856,3.8727222234838172,4.47514330627117,0.05217644772638942,-1.569111746488593,ir8060007.trees
0,10001.0,250,38,-2.2842958473797093,-1.0079856785780832,-0.014461577116015834,4.592260517449861,3.597163664648599,4.0898467171264015,0.043059334110636095,-0.7662384894898383,ir8060008.trees
0,10001.0,250,54,-1.1049480343643359,-1.2633834294791113,0.04243654141976997,5.203179173334646,2.0134484196668136,2.566110221575186,0.03993392926544889,-0.25401286293436276,ir8060009.trees
0,10001.0,250,63,-2.4018826688423296,-1.7979779388422406,0.01619499286787134,6.466443991616489,3.964494884538018,4.6036832243367245,0.06934188366368702,-2.0760797821684522,ir8060010.trees
0,10001.0,250,42,-1.94536190156073,-1.1915683460804996,0.008616905374976124,6.183204097626047,3.1755292786020832,3.7221290373923543,0.037329965021375824,-0.576785422620756,ir8060011.trees
0,10001.0,250,58,-2.448479534142237,-1.997531369973725,0.010522191796781558,6.544682726772273,4.005562591151113,4.628702770056354,0.039593859308200544,-0.5826191714648592,ir8060012.trees
0,10001.0,250,50,-2.3098202553020504,-1.12552383117,-0.04876070632491998,3.5063507603551125,3.455554730102807,3.6570440755413767,0.048451872004145614,-1.056326042990361,ir8060013.trees
0,10001.0,250,53,-1.767096507712288,-1.5644675274987263,0.013949952746331611,6.167392552802571,2.9236753742792763,3.429880463122874,0.031027335147039772,0.139786320112509,ir8060014.trees
0,10001.0,250,51,-1.5156411428236098,0.22141660071262,0.01785431972401822,6.151478805373696,2.5388213883583477,3.0187792924814554,0.0616174374919031,-2.242082465452361,ir8060015.trees
0,10001.0,250,49,-1.9491490035919297,-0.7290367633705623,0.006687591799297886,6.354553992157909,3.1753614025719488,3.684367097442441,0.03522153128643607,-0.4360215069756114,ir8060016.trees
0,10001.0,250,56,-1.5762851299311293,-0.3740191419681383,0.01966627109645133,4.73251519679914,2.6490884765544167,3.1452951950357533,0.031577924601632335,-0.015799588625927716,ir8060017.trees
0,10001.0,250,51,-1.8111092168131215,0.22141660071262018,0.034447580153881885,4.021246130484329,3.1051795687852843,3.7708675858259793,0.05632206244332167,-1.673206012261758,ir8060018.trees
0,10001.0,250,46,-1.8766204742508958,-0.5855755769478824,-0.013054748436316809,5.682491201804691,2.950976763235631,3.3144759671783808,0.026881720430107527,0.7590941642333306,ir8060019.trees
0,10001.0,250,49,-1.320263821926707,-0.7290367633705622,0.05522177854018108,4.56529678227545,2.4255007712469454,3.1257981209194288,0.030120481927710843,0.43016718705827356,ir8060020.trees
0,10001.0,250,51,-1.6374383841104256,-0.47021886427824466,0.014562741227411493,4.344664269862777,2.7170968755591174,3.2024043419578248,0.03442803471952325,0.0915039564837683,ir8060021.trees
