#/home/enes/bim/BIM.py trees/ir8070154.trees,trees/ir8070155.trees,trees/ir8070156.trees,trees/ir8070157.trees,trees/ir8070158.trees,trees/ir8070159.trees,trees/ir8070160.trees,trees/ir8070161.trees,trees/ir8070162.trees,trees/ir8070163.trees,trees/ir8070164.trees,trees/ir8070165.trees,trees/ir8070166.trees,trees/ir8070167.trees,trees/ir8070168.trees,trees/ir8070169.trees 250 --stats=all --eta=etas/BC.json --out=outs/379948323.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,ZngE,FerL,TajD,bsfs,btree,Colless,path
0,10001.0,250,101,0.1420688625358184,0.26253889200448494,0.8426683346675365,-0.008516199576414933,1.8688440608530725,1.9000177438903543,-0.7977265385812854,0.045828475191086925,ir8070154.trees
0,10001.0,250,103,0.10060088485766044,-1.2278183397272016,1.5860649785260592,-0.6174908467961768,2.429140846685716,2.292737491403216,-0.4583232991024459,0.044000599170877064,ir8070155.trees
0,10001.0,250,98,0.14124586141446566,-0.573165214923614,0.6614531567097147,0.09947012339556438,1.6601566867735698,1.5544623301486742,-0.17630846468767603,0.0384829641145226,ir8070156.trees
0,10001.0,250,96,0.15962487277859164,-0.712823889072622,0.6205918330872504,0.19004685671232038,1.7335000150373157,2.5674826327425664,-0.6393873966054999,0.046914412869695096,ir8070157.trees
0,10001.0,250,92,0.044849770994638015,-1.6056500119630046,1.1383709373401167,-0.5437151073344281,1.567283211595151,0.8912904170564655,-1.0132344920917637,0.05060362417411582,ir8070158.trees
0,10001.0,250,88,0.08920298741836824,-1.1245708080926962,1.3494288569279005,-0.5166040885012724,2.0925059867579505,1.3238407799134024,-0.7613039062968046,0.04972192919142006,ir8070159.trees
0,10001.0,250,100,0.0993184409502423,0.11163370075576909,0.845108875139115,-0.16459914562967357,1.5926587403018277,1.6046517240960487,0.021428976927009125,0.03611913090148614,ir8070160.trees
0,10001.0,250,117,0.10809941808316625,-0.8172312642163116,1.301793760963514,-0.41088794484253904,2.1596824169022657,1.8259484168130085,-0.6582398166563904,0.04633588115904478,ir8070161.trees
0,10001.0,250,104,0.14211571660580408,-1.4222003839254316,0.9372655488240244,-0.06575420925002275,1.9753533552272087,1.3656707471834288,-0.45065149692615525,0.04245116667386392,ir8070162.trees
0,10001.0,250,96,0.12806542260104903,-1.476026189604333,1.4247818011402373,-0.4210338505423955,2.4285045196379795,1.6011324686953095,-0.9293309654722834,0.04906723668869025,ir8070163.trees
0,10001.0,250,115,0.1585578479322477,-1.420152276870945,0.5449437544511697,0.24030732870262209,1.6474976251058904,2.290521029201731,-0.5176212922665441,0.044716500410243123,ir8070164.trees
0,10001.0,250,106,0.11417939154183683,-1.106284314495033,1.0907627256657533,-0.2611498866486235,1.9643874217694124,2.5220666692469758,-0.8929381910625095,0.04729401476875243,ir8070165.trees
0,10001.0,250,117,0.12191728728803587,-0.02812453802953388,1.177738990419159,-0.28382855832856063,2.112232066742228,2.9592724141808637,-0.18095982038867256,0.037906845598713636,ir8070166.trees
0,10001.0,250,89,0.07916820404127804,0.6996545057888047,1.248960546348732,-0.48997277579681875,1.9145648819469971,3.5741296915724647,-0.07126006280739157,0.037563155849203264,ir8070167.trees
0,10001.0,250,101,0.12134104968906333,-1.3732677317779673,1.4270070774083214,-0.44481110537346213,2.3869356252211333,3.0060733224374014,-0.38364142443009275,0.0425767586474932,ir8070168.trees
0,10001.0,250,80,0.0657626914446575,-0.47960882986711245,1.1640273284440261,-0.48773996291752186,1.7341888946753927,4.263582678928215,-0.6848844842645655,0.04578914737290175,ir8070169.trees
