#/home/enes/bim/BIM.py trees/r8090170.trees,trees/r8090171.trees,trees/r8090172.trees,trees/r8090173.trees,trees/r8090174.trees,trees/r8090175.trees,trees/r8090176.trees,trees/r8090177.trees,trees/r8090178.trees,trees/r8090179.trees,trees/r8090180.trees,trees/r8090181.trees,trees/r8090182.trees,trees/r8090183.trees,trees/r8090184.trees,trees/r8090185.trees,trees/r8090186.trees 250 --stats=all --eta=etas/BC.json --out=outs/562016587.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,FerL,FulD,ZngE,FayH,Colless,btree,path
0,10001.0,250,61,2.9204993759130575,6.088272190012145,-1.4332425723181335,-1.1712087483045166,2.4402393681456394,0.023165295395264626,0.03637668955391458,-0.3655124673427887,r8090170.trees
0,10001.0,250,42,3.5218920134543947,5.424444586357994,-1.6514956063023736,-1.1915683460804996,2.8524865673123845,0.0368732464914095,0.03957766550071253,-0.30925603316153694,r8090171.trees
0,10001.0,250,75,4.06886233314255,5.841684468436704,-2.119126175462846,-1.2770264240783538,3.5137761249591444,0.016299353412062914,0.03695426868765385,-0.23774249264439296,r8090172.trees
0,10001.0,250,59,3.9043745209346947,4.786060936970438,-1.9663434086233504,-1.7133925690203435,3.300290851707252,0.02342800127476858,0.04161808524420262,-0.45184253638616845,r8090173.trees
0,10001.0,250,49,4.165194062250022,5.795110488567266,-2.1240913281984195,-1.4466287309395944,3.525798783040418,0.01936545578709604,0.030530725050740597,0.310323840678225,r8090174.trees
0,10001.0,250,57,3.1526726651143036,4.348994932195012,-1.5348801653871613,-0.41905967781087733,2.620085522115064,0.026409472915560728,0.037984783709618525,-0.1118227388819732,r8090175.trees
0,10001.0,250,86,4.896204349166575,6.793699883651518,-2.581393376355423,-2.9869975953214145,4.264527462941692,0.0164105159457211,0.03316851635934418,-0.21665778544888184,r8090176.trees
0,10001.0,250,78,4.065379264256967,3.556545140418491,-2.104939875253797,-1.5773087778349528,3.5034698497915544,0.018331500411741298,0.039669430409811295,0.01812055907247365,r8090177.trees
0,10001.0,250,62,4.225687091949691,4.663454464027164,-2.043339724041412,-1.4893146806158999,3.5075860291592926,0.0380388073167953,0.03238761497603316,-0.00013927615089582966,r8090178.trees
0,10001.0,250,77,4.259272532490359,5.490043357306658,-2.1524893834413907,-1.322800098544165,3.626985679871554,0.02658652327900232,0.030161702528589428,0.39998931171493374,r8090179.trees
0,10001.0,250,54,3.995395098936332,5.504491266848111,-2.038855169595867,-0.6073324070137393,3.3915103351345217,0.019308290081800274,0.04796605777950513,-0.9955461535395466,r8090180.trees
0,10001.0,250,76,3.713144231507577,6.6760950532216405,-1.911370277199687,-2.253135501954065,3.1892665385461116,0.01815444877767651,0.05155136675735199,-1.100473016703179,r8090181.trees
0,10001.0,250,81,4.049799061903906,6.857425100202391,-2.117375990353045,-1.4079250326216999,3.509109117782933,0.01564139964260274,0.026003206373882624,0.7285356215123454,r8090182.trees
0,10001.0,250,71,3.8699581402125953,3.873682201825971,-2.0607273909468122,-1.432234514631127,3.3747830996227726,0.008646367783638104,0.03517942738696722,-0.06957800874933831,r8090183.trees
0,10001.0,250,41,4.0000465960315,5.690317727702102,-2.139693361308544,-1.9931725874454165,3.449783536854425,0.001483436644686725,0.0303674374919031,0.20932115469016277,r8090184.trees
0,10001.0,250,73,3.905610116423313,6.715403736596644,-1.95476576865369,-1.723823457228976,3.3069437985433208,0.02672767106829632,0.032494031425240134,0.12172687533547057,r8090185.trees
0,10001.0,250,85,4.120923304703694,6.918247622614636,-2.1648582250247683,-0.8426624617688637,3.5822234631802345,0.014820273034212211,0.04220430107526881,-0.720422433712245,r8090186.trees
