#/home/enes/bim/BIM.py trees/r8050204.trees,trees/r8050205.trees,trees/r8050206.trees,trees/r8050207.trees,trees/r8050208.trees,trees/r8050209.trees,trees/r8050210.trees,trees/r8050211.trees,trees/r8050212.trees,trees/r8050213.trees,trees/r8050214.trees,trees/r8050215.trees,trees/r8050216.trees,trees/r8050217.trees,trees/r8050218.trees,trees/r8050219.trees,trees/r8050220.trees 250 --stats=all --eta=etas/BC.json --out=outs/910798971.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,ZngE,FerL,FulD,TajD,Colless,btree,path
0,10001.0,250,76,0.09838386234413202,2.023268597661268,0.11712347625777621,0.27457760519214064,-1.300197505869499,0.7640652007813847,0.03957166779423548,-0.18345344986165826,r8050204.trees
0,10001.0,250,79,0.07876868662524987,3.9050182427139677,2.042172343645724,-0.9858100958784966,0.011624348835882694,2.8071649636424025,0.03239085373753078,0.26743944599588493,r8050205.trees
0,10001.0,250,71,0.033564648491855975,1.6422974283309741,1.6869962573995663,-0.9275956656325076,-0.6701449632473337,2.1215635177061545,0.03512760720300557,0.11865567974195672,r8050206.trees
0,10001.0,250,87,0.11068994443806567,2.6599042553897405,1.1439417367030156,-0.3130512054438206,-0.8929394274758479,2.0010532385742588,0.04302973853143385,-0.30332849653004795,r8050207.trees
0,10001.0,250,76,0.08804597854292949,2.354420906299375,1.2862516562725033,-0.48605222875494297,-0.585494008806074,2.016080299347946,0.03446750712527529,0.20905293898915303,r8050208.trees
0,10001.0,250,88,0.048022254205517735,6.753828797570109,2.873711519438511,-1.607207492953655,-2.368419960567104,3.536656480931757,0.030002498473155288,0.1610963473726183,r8050209.trees
0,10001.0,250,58,0.05519848578020262,5.424007518941815,1.2325215607728277,-0.5750063060295393,-0.4626557977974814,1.751845418093414,0.036586009509963394,-0.1813931974854288,r8050210.trees
0,10001.0,250,56,0.021225439779061026,5.671887805317138,2.700454421432596,-1.6028216626752583,-1.9597709246107353,3.21368758677935,0.02992474808068177,0.005045261307100432,r8050211.trees
0,10001.0,250,67,0.07574886184114882,3.6041424565387343,1.5469216853063634,-0.6946910302328346,-1.068324413454441,2.2348198592344755,0.025892278792589717,0.8151200952708093,r8050212.trees
0,10001.0,250,80,0.058334768626700846,1.3371758071797175,1.4878657773770771,-0.7146016177038949,-0.47960882986711273,2.0509019512644437,0.03975874171171489,-0.2562561708296531,r8050213.trees
0,10001.0,250,69,0.04502421203813161,4.914658857717272,1.9244376746961758,-1.0351477933081144,-0.6028566239973348,2.464920389981817,0.03510987924533448,0.07718240520268178,r8050214.trees
0,10001.0,250,88,0.18051374730968023,1.8043121730325842,0.4660124817210215,0.356397992752556,-0.7099544239345614,1.692429483188043,0.027133508017501848,0.7518018372252644,r8050215.trees
0,10001.0,250,90,0.00997773198765456,0.6279611287923775,1.1432889656919205,-0.6718917140367935,-0.9643647842880028,1.3471237401117415,0.03862513743975072,-0.4445277651889059,r8050216.trees
0,10001.0,250,87,0.1392854881245725,2.846362576723046,1.236141808888175,-0.2680650958607889,-1.7312392148733595,2.289704432035655,0.028044858254898976,0.6168395331450867,r8050217.trees
0,10001.0,250,84,0.14301695866255676,1.5823138533644296,0.8047810968245485,0.010732905366723826,-1.4667212390850626,1.8287075200722571,0.03439669186632063,0.06973621157164007,r8050218.trees
0,10001.0,250,77,0.04974624503487061,3.9539295985227256,2.4868019760674467,-1.364498143380649,-0.8521828352628039,3.1229416349037207,0.03564698677407579,-0.008086473401619311,r8050219.trees
0,10001.0,250,62,0.05748678017244822,4.248807031329094,1.5934081886762097,-0.7891839378584036,-0.6239052371832599,2.1743863507930365,0.03011328467993839,0.3966555837664771,r8050220.trees
