#/home/enes/bim/BIM.py trees/r3020060.trees,trees/r3020061.trees,trees/r3020062.trees,trees/r3020063.trees,trees/r3020064.trees,trees/r3020065.trees,trees/r3020066.trees,trees/r3020067.trees,trees/r3020068.trees,trees/r3020069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/858887322.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FerL,TajD,FayH,FulD,btree,Colless,path
0,100001.0,50,369,-0.24627050908070053,-1.3704739733586995,-0.1312723110723813,-0.7005745787412191,-0.06455826655210563,0.7213153103194239,-1.150442855242737,0.21317107924250775,r3020060.trees
0,100001.0,50,460,0.6608876364290982,-2.7568937792620347,-1.25522128327794,-0.8504423786659422,-0.2079018045253342,0.6043516198943722,-1.339024055517256,0.17290391156462573,r3020061.trees
0,100001.0,50,436,-0.10203720997678255,-1.7999834951755118,-0.27327216520881253,-0.6611451408455883,-0.07852049018835518,1.4982410761317881,-1.2515724978874836,0.2066504612316131,r3020062.trees
0,100001.0,50,321,0.093918531698096,-0.3540123001406074,-0.2091023761811416,-0.17338361477673375,-0.03703423717476401,0.030123080988192705,-0.7560471004518472,0.15983225588371983,r3020063.trees
0,100001.0,50,352,0.2921689690085923,-1.2377043768231895,-0.6245188169684257,-0.49484074590717203,-0.10883753963622926,0.3263058971706675,-0.9462520451168931,0.18229413858566684,r3020064.trees
0,100001.0,50,446,0.5141528248599001,-2.063464364417814,-0.8484304891948959,-0.4444151029558085,-0.13147596755308047,1.6899905809447129,-1.6087097886014388,0.17126669945086478,r3020065.trees
0,100001.0,50,426,0.2650359052347863,0.04598641742749866,-0.2869830939704651,0.026052875291449885,-0.032184361864501576,-1.066897912146032,-0.2391598674167699,0.13994169096209913,r3020066.trees
0,100001.0,50,334,0.9247772828131172,-1.0028020039158656,-0.9223749713492131,0.22650252273390004,-0.09390727226671326,0.2109607237355402,-0.3649974935614033,0.11832629603565571,r3020067.trees
0,100001.0,50,415,0.4929472630920912,-0.22991447076786056,-0.5583226445154433,0.006840994969251932,-0.06570253618201882,-0.5795067248269228,-0.7671475811512907,0.16079312519709868,r3020068.trees
0,100001.0,50,362,1.080916583686037,0.13256088360055965,-1.0044336302047951,0.38930582166797706,-0.09212041313785357,-0.79538053715068,0.015402899813544618,0.1745164052015364,r3020069.trees
