start,end,N,SS,FulD,FerL,TajD,bsfs,FayH,ZngE,btree,Colless,path,iColless,ibtree
0,10001.0,250,42,0.047719259819079984,-1.6397161104644542,3.0527212839384625,3.7200105644957584,0.0003554256744205976,2.639996250552938,-0.2575622833644736,0.040087770436585055,5030000,0.030638683767327375,0.13226471385735575
0,10001.0,250,31,-1.12889477934214,-1.444837550413441,3.0432801347010248,2.7300923286570877,0.027059802287966884,2.455677177677559,0.15694348409052253,0.031926091462624685,5030001,0.05149630781189273,-1.00248025430647
0,10001.0,250,32,0.9253151886374152,-1.2459207943708357,2.4072085513674493,2.596144981855116,0.005252819364647804,2.0272180505657955,-1.4044259644968624,0.04217677160253919,5030002,0.02442026169192901,1.016572591666379
0,10001.0,250,25,0.5904455113797495,-0.9760610658095268,1.9020889789420152,1.7205078767770527,0.0036624910695668257,1.581905118762545,-0.7336329261457589,0.03611219069827698,5030003,0.032808653970721594,-0.034011849171318935
0,10001.0,250,25,-0.06408293727392275,-0.898708563003592,2.0600169676774067,1.476090166537407,0.030305462176836162,1.5863261874257262,-0.8400791593137598,0.043037742367318735,5030004,0.037407695297318314,-0.16357850186294526
0,10001.0,250,31,0.4982199799958684,-0.18444349227387732,0.8665970189506788,0.985912549692182,0.043900681637374865,0.5170777545131833,-0.8576829343197321,0.04364231118020469,5030005,0.06182795698924731,-1.6446173627358085
0,10001.0,250,24,0.04475129125705919,-0.6320488576253415,1.6159511379684226,1.140045165964262,0.03590204373752734,1.1840541209278743,0.12695792622230706,0.03376408861251457,5030006,0.04464632724446172,-1.0625442981467454
0,10001.0,250,27,-0.2606668370847597,-0.8598461732367693,1.9726713640902689,2.2186150252791528,0.02937702065066688,1.5227545588182918,-0.6734356042671061,0.04422528824977329,5030007,0.043043140303148084,-0.4937619185770158
0,10001.0,250,34,-0.2863857792890649,-0.8514436364731479,1.82271360334079,0.7841715228738455,0.01880194627914113,1.4640680968846524,-0.4864945419025784,0.04227191022153129,5030008,0.05494558880684027,-1.6752381407632262
0,10001.0,250,41,-1.5709410285802492,-1.951164029845696,3.6692205389698183,3.8182049830850966,0.0031223232371700663,3.1551656022982426,0.07825323331562868,0.033013775532236465,5030009,0.03578831454851665,-0.25079494181142864
0,10001.0,250,43,0.38477848151371596,-0.7978857901806722,1.6845413283734272,0.5878674069922254,0.016506841176769045,1.3717035143730196,-0.5629259642768908,0.04052050495890372,5030010,0.048937686228786116,-0.7093887333887996
0,10001.0,250,69,-0.8638082801744199,-1.6674395795167956,1.9874438350921404,0.4847413825467154,-0.08279128384400568,2.2236036287422807,-0.26886000769930274,0.03731593038821954,5030011,0.04362611737271667,-0.6997320693025552
0,10001.0,250,60,-1.1406530963101975,-0.9110580668492214,2.7107010972156527,1.4262447605623567,0.08224413358271475,1.9260750432444156,-0.17233237590313466,0.038104029019303015,5030012,0.031837025521440604,0.4137863693986769
0,10001.0,250,37,-1.883006590280732,-0.9952639058994274,3.1321693379676536,1.129786596212382,0.10526446354967356,2.146599150544214,-0.6550964686315323,0.04571107008679881,5030013,0.03209612644124886,-0.08644362366040394
0,10001.0,250,38,-1.4602367675669592,-1.8314647082814155,3.5004890811271157,1.7001119868815568,0.006676787842618245,2.9793963905508627,-0.5635607102274807,0.03854420615011365,5030014,0.05130198212203654,-1.73940926572345
0,10001.0,250,23,0.16167109946190492,-0.5797801377651464,1.5798675392012091,1.082410935113871,0.04156420264938697,1.1251281945362075,0.022774239967522973,0.033521181500194334,5030015,0.04126182147946625,-0.492254750929886
0,10001.0,250,28,-0.9428900137969624,-1.7526721543962835,2.9976622102401964,2.9265297702083903,-0.02769476669947768,2.6747569056748093,-0.6073333541668646,0.0426787796346677,5030016,0.032970592045601765,0.31058491970165136
0,10001.0,250,50,-1.1255238311699998,-1.714370739382434,3.4946929890440135,4.24292386772742,0.026471862925446583,2.9051818532682585,0.1678740884412263,0.032576542730060026,5030017,0.03439564710454722,0.08257112415218155
0,10001.0,250,50,-0.4211500414807817,-0.9743246636434048,2.8015665495066195,1.6719221809651843,0.08052040018893399,2.006815363726663,-0.32790386388364745,0.041256423543636914,5030018,0.03398540398151747,-0.013679800992493496
0,10001.0,250,24,-1.9891132620281249,-2.0104653808637254,3.9876495784980848,3.0942456165921097,0.01298503159049099,3.2829536970367097,0.06118238151740015,0.03872170710491736,5030019,0.029375566783262082,0.4174703922059221
0,10001.0,250,44,-0.0840701866612487,-1.6690620507735665,3.2612080545395976,3.8160247073576863,0.013348658036333469,2.7574057314755915,-0.9019985173985792,0.03736721077859826,5030020,0.03734292006736624,-0.16395268672082125
0,10001.0,250,42,0.047719259819079804,-0.32791575851178684,1.7852170734858173,0.9184750333078896,0.09598226993132374,1.0362686571725197,0.110156699922522,0.03587468152178607,5030021,0.03737530768234227,-0.05821177060108451
