#/home/enes/bim/BIM.py trees/r3040080.trees,trees/r3040081.trees,trees/r3040082.trees,trees/r3040083.trees,trees/r3040084.trees,trees/r3040085.trees,trees/r3040086.trees,trees/r3040087.trees,trees/r3040088.trees,trees/r3040089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/222193648.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,TajD,FerL,bsfs,ZngE,btree,Colless,path
0,100001.0,50,451,-0.05011992505064933,0.41922755773955445,-0.09673761111945682,-0.36633673262432515,-0.4021155403611521,0.2711792978809607,-0.01143225100138289,0.12523009203681487,r3040080.trees
0,100001.0,50,556,0.01192560344160429,-0.9491526184426585,0.4169630139656644,-0.14516763366081756,0.5748859209845871,0.34324260891866526,0.03737484596214463,0.13251938329917112,r3040081.trees
0,100001.0,50,402,0.010954922967484343,-0.7863719553745231,0.21590217824791036,-0.03478742960985769,0.3158095432975989,0.14194992659198716,0.06905579456312724,0.11956440034577359,r3040082.trees
0,100001.0,50,408,0.058702784146130796,-0.38773478144577167,0.43473935724510643,0.23902302545680257,0.8756143325530447,0.014953086545691765,1.098945884047346,0.10349656166814543,r3040083.trees
0,100001.0,50,420,-0.027619317019702973,-0.7176345381355085,0.5822732871303311,-0.5761232097334587,0.5351138797580335,0.8057689579204182,0.2731678899681905,0.12905844155844148,r3040084.trees
0,100001.0,50,438,-0.09525409448504071,-0.5530416915732472,-0.12050745287830239,-0.7332434287175642,-0.34604244783820903,0.5805526044802478,-0.1861847817019296,0.1366636206721495,r3040085.trees
0,100001.0,50,428,0.004181752005147651,-0.8004494567883981,-0.0549994252364841,0.06770633972485061,0.13694721664149326,-0.08776621377290597,0.46300395308631465,0.10458283842637577,r3040086.trees
0,100001.0,50,370,-0.053885742229964534,-0.6494323364862814,0.2711349939208643,-0.613296563610402,0.052966795495082084,0.677298656533616,-0.34631219766381416,0.14328231292517016,r3040087.trees
0,100001.0,50,443,0.029743574646807314,-0.216112919106411,0.152568635216926,0.1612481234656752,0.45433931178924375,-0.0625229492366992,0.236276320720505,0.1272631448412698,r3040088.trees
0,100001.0,50,480,-0.04319874061682346,0.5346750571393478,0.18851429621824772,-0.47641507617973444,-0.5708958920735563,0.5152357073601578,0.11995332480764002,0.14744897959183684,r3040089.trees
