#/home/enes/bim/BIM.py trees/ir8100218.trees,trees/ir8100219.trees,trees/ir8100220.trees,trees/ir8100221.trees,trees/ir8100222.trees,trees/ir8100223.trees,trees/ir8100224.trees,trees/ir8100225.trees,trees/ir8100226.trees,trees/ir8100227.trees,trees/ir8100228.trees,trees/ir8100229.trees,trees/ir8100230.trees,trees/ir8100231.trees,trees/ir8100232.trees,trees/ir8100233.trees 250 --stats=all --eta=etas/BC.json --out=outs/698656053.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,bsfs,FerL,FayH,TajD,Colless,btree,path
0,10001.0,250,106,-1.8004097934486367,1.6162980542505332,4.020492849617717,-0.5126790913250245,0.13447939031888845,2.683902839929078,0.05277381929150293,-1.0697040081541163,ir8100218.trees
0,10001.0,250,135,-1.3923012923168308,1.1461800217025788,2.354904576926094,-0.20269128751809598,0.13758439941739445,2.1807802167558634,0.04351898910779595,-0.5945266759340341,ir8100219.trees
0,10001.0,250,100,-1.5398287485519544,1.9370092453374559,2.0639986279860336,-0.76897149737043,0.11903745551909592,2.9423214012830505,0.054400397288077044,-1.4182275481028597,ir8100220.trees
0,10001.0,250,103,-1.9413159995555833,1.895067091265872,2.285292736963631,-0.8568887196827452,0.08724852506588705,2.6872493414917455,0.042462654588577634,-0.411228639691249,ir8100221.trees
0,10001.0,250,102,-1.7499836365072694,1.9083604439825612,1.9311160789514579,-0.7459500121628272,0.12031250219794071,2.918182543504019,0.04025208995374287,-0.2849890142657013,ir8100222.trees
0,10001.0,250,72,-1.955994246682039,1.8129436972990105,4.146193535361813,-0.7802770506502509,0.09768820357587575,2.6736288604669545,0.052374821868117635,-1.3949241042954408,ir8100223.trees
0,10001.0,250,113,-1.55401651621843,2.2281772346864273,3.277169415453889,-1.1066985717163298,0.07454596490810234,2.972601298896872,0.03750701731657814,-0.06418745305627803,ir8100224.trees
0,10001.0,250,87,-1.3120893211746034,1.5779567106477903,2.205069194013201,-0.7772593029688671,0.055899326797664836,2.1336662049420814,0.04904024700954356,-0.6111829582908448,ir8100225.trees
0,10001.0,250,121,-1.655327106510494,1.7976549943502411,2.12843868034415,-0.7888915497476701,0.08828383876956998,2.5810596555424263,0.04055361229865699,-0.3383745302167572,ir8100226.trees
0,10001.0,250,99,-2.450685174028582,1.8566224341382909,2.4404849500881074,-0.5727355389759513,0.1597843828643451,3.1181651734983244,0.04489463229261131,-0.5893876997659603,ir8100227.trees
0,10001.0,250,92,-1.8043617471990918,0.9454394805565407,3.4286072807931083,-0.18507370091446923,0.11159052505203348,1.7843689990082483,0.04159141309069294,-0.3433117373215287,ir8100228.trees
0,10001.0,250,102,-1.9300330952967484,1.6793458788458815,2.731900362945709,-0.5280939905893677,0.1414069893292479,2.7998734180048244,0.05584892163323701,-1.462003593898882,ir8100229.trees
0,10001.0,250,114,-1.0819784535613153,1.7569023290975188,3.393900220100078,-0.8291065236291335,0.07069631254640434,2.421751485611991,0.044306257287213366,-0.3708663674684333,ir8100230.trees
0,10001.0,250,126,-1.2715277214560743,1.3004725139846793,1.0878585801609206,-0.5554314065826683,0.06785652928700744,1.8927903637992782,0.0390397494606758,-0.07013848822024983,ir8100231.trees
0,10001.0,250,99,-0.783264018592459,1.3763868746965375,3.6730063997628495,-0.5887545509196856,0.07290660264457874,2.014789216698423,0.05759540709527414,-1.452354197142478,ir8100232.trees
0,10001.0,250,94,-0.8581559878087193,1.3290613666675977,1.9893478410870036,-0.20737859021039026,0.17129618603649477,2.602362167894273,0.048702876020209875,-0.8776056052445028,ir8100233.trees
