#/home/enes/bim/BIM.py trees/r3090020.trees,trees/r3090021.trees,trees/r3090022.trees,trees/r3090023.trees,trees/r3090024.trees,trees/r3090025.trees,trees/r3090026.trees,trees/r3090027.trees,trees/r3090028.trees,trees/r3090029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/155941977.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,ZngE,bsfs,FerL,TajD,Colless,btree,path
0,100001.0,50,380,-0.3295103520863516,-0.2149119801179558,1.1618660363841973,-1.2944739482946568,-1.568080631982808,-0.4117073683776349,0.14508110936682372,-1.3372246784859736,r3090020.trees
0,100001.0,50,423,0.34958175179605144,-0.18318865458000555,0.49106785499230987,-1.8509518665467832,-1.0530501943079806,-0.8364564367482457,0.19163154392191648,-1.2916724698460242,r3090021.trees
0,100001.0,50,353,-0.06111743072440026,-0.12425982704935311,0.39197247178198724,-1.1972856245087815,-0.7463651620366601,-0.5083406144746819,0.1553565482136912,-0.28894480765409086,r3090022.trees
0,100001.0,50,478,-0.0694900260365597,-0.17587803916550615,1.1625991280167411,-0.7302188057790543,-1.4063945534020768,-0.13646885828354027,0.15674756389042097,-1.0515072418552658,r3090023.trees
0,100001.0,50,320,-0.005713323005573144,-0.06641419518930748,0.4513168978222776,-0.35168885016802814,-0.5364350860369795,-0.03614728839567865,0.13639348144321015,0.004272762105000965,r3090024.trees
0,100001.0,50,480,0.6890760665073744,-0.13450628876962734,0.3613970686788362,-1.4944210040676416,-0.774673938931208,-0.61462303577609,0.18980137926730326,-1.1811942749103008,r3090025.trees
0,100001.0,50,426,1.2975430849593372,-0.026397518475071484,-0.030414500837581387,-0.6810137790634602,-0.09404809350142246,-0.21848084847881138,0.15683896509423445,-0.7205266766901938,r3090026.trees
0,100001.0,50,377,1.4215049044058405,-0.014853728585601881,-0.16932750448666783,-0.9860673466091229,0.03404937572825409,-0.2703944344143985,0.13495520159283222,0.13959022438391366,r3090027.trees
0,100001.0,50,410,0.39272206845981045,-0.008376926987572674,-0.15394958254410185,-0.35115929668205714,0.052486285497925625,-0.20904674920441726,0.14010086793338025,-0.5728787594497299,r3090028.trees
0,100001.0,50,451,1.4705756510586747,-0.03608874196954432,-0.21053988201644144,-1.2829958891322797,-0.032351683532432195,-0.46221517406995816,0.15649336657740026,-0.9227803893715149,r3090029.trees
