#/home/enes/bim/BIM.py trees/r8060051.trees,trees/r8060052.trees,trees/r8060053.trees,trees/r8060054.trees,trees/r8060055.trees,trees/r8060056.trees,trees/r8060057.trees,trees/r8060058.trees,trees/r8060059.trees,trees/r8060060.trees,trees/r8060061.trees,trees/r8060062.trees,trees/r8060063.trees,trees/r8060064.trees,trees/r8060065.trees,trees/r8060066.trees,trees/r8060067.trees 250 --stats=all --eta=etas/BC.json --out=outs/690068376.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,bsfs,TajD,FerL,FayH,Colless,btree,path
0,10001.0,250,45,0.6299017907174052,2.7681153364278384,3.5002136728518276,3.1603891531491235,-1.7346367332704902,-0.004483010089092615,0.03618506283197306,-0.3078661470555887,r8060051.trees
0,10001.0,250,55,-0.32746097099164645,2.565573522636971,6.035222481220184,3.050618512727428,-1.5255559451374905,0.01943939821386718,0.026855810338126694,0.7420486521701518,r8060052.trees
0,10001.0,250,39,-1.498837681254215,3.3750152066587056,5.208811851573611,4.036204537488983,-2.0334376993265417,0.020066346108769416,0.035633573721408934,-0.07990053890579177,r8060053.trees
0,10001.0,250,71,0.09194458813645952,2.531792238319845,6.259098440750796,3.0156996217200778,-1.4843503410818717,0.024063341744959672,0.03706114781707475,-0.14394072256476023,r8060054.trees
0,10001.0,250,61,-1.1712087483045164,3.52983722947888,3.5344301727074834,4.019811294620869,-2.18488726589963,0.001159751630828396,0.042640094427890775,-0.41401180483859445,r8060055.trees
0,10001.0,250,55,-1.2949489529817473,3.252020965485775,5.380364302931229,3.712053910920757,-2.0178751279187717,-1.650483801480389e-05,0.024510484333647962,0.6747205443717509,r8060056.trees
0,10001.0,250,56,-2.911221994196293,3.7344732248498445,6.483127269968969,4.486650148719747,-2.1934756659349386,0.036100751805040035,0.02727037180981993,0.5994136918725189,r8060057.trees
0,10001.0,250,53,-1.5644675274987263,2.6059606290834703,5.207775942431217,3.252878437901701,-1.4688207666468567,0.0437071106065979,0.03198970999204189,0.08437833598647393,r8060058.trees
0,10001.0,250,46,-2.4866111284218646,2.976193082105384,5.820167712176693,3.7376571694897907,-1.6794691131647461,0.05073244455930284,0.03440212462754243,-0.2621424565812143,r8060059.trees
0,10001.0,250,58,-2.3045064844089733,3.7988292434531234,6.249145462339798,4.471284945108533,-2.2777384948069157,0.02290289739888244,0.03053689412025984,-0.13695891174041858,r8060060.trees
0,10001.0,250,38,-2.3647389455447105,3.4814300487416814,5.18070181004702,4.041635661278527,-2.166148390750616,-0.00023503060652891385,0.04981215183313901,-1.854927764310618,r8060061.trees
0,10001.0,250,62,-0.9123750516608067,3.1608516307766354,6.323287761097776,3.747749376512643,-1.8742175591434396,0.02477510260447117,0.0440471563674051,-0.8133898401849482,r8060062.trees
0,10001.0,250,50,-0.7733369363253907,2.169705990951238,5.095082967468023,2.5500513591899616,-1.3128198656485985,0.01014682060514101,0.028093017230211164,0.24105983946291992,r8060063.trees
0,10001.0,250,53,-0.5632217466162425,3.23787298207439,6.402574327717536,3.782855120312589,-1.9654813369961324,0.012952793264832601,0.029364770911603402,0.3048627894690139,r8060064.trees
0,10001.0,250,52,-1.8762480989242567,3.7562346487376455,6.2946164153742465,4.384347380361031,-2.284587631413148,0.013829472569978806,0.03607980308330094,-0.3509488163154093,r8060065.trees
0,10001.0,250,48,0.0482737356514248,2.7187470904219424,6.2485284008978725,3.223391038893004,-1.633440261985091,0.016364482499740873,0.026120611478170748,0.8364089147499433,r8060066.trees
0,10001.0,250,75,-2.724431455207119,3.7756865557008323,6.1904112850327015,4.4042805260858415,-2.259439552514644,0.02252059128278069,0.02885736494364555,0.38256144043028983,r8060067.trees
