#/home/enes/bim/BIM.py trees/r3030010.trees,trees/r3030011.trees,trees/r3030012.trees,trees/r3030013.trees,trees/r3030014.trees,trees/r3030015.trees,trees/r3030016.trees,trees/r3030017.trees,trees/r3030018.trees,trees/r3030019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/653243431.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FerL,FulD,TajD,FayH,Colless,btree,path
0,100001.0,50,252,1.1342079873205142,-3.5759999233614392,-2.2005373334342475,1.2872745141961375,-1.5442828923561118,-0.37185204185480436,0.33424798490824886,-2.917425295620173,r3030010.trees
0,100001.0,50,421,0.6229955978325473,-1.2585561377215242,-0.9486237761829457,0.5779614039754623,-0.40382212707587406,-0.14061579968062096,0.19700558794946546,-1.19963326546123,r3030011.trees
0,100001.0,50,308,0.8843594979182176,-3.004275754336905,-1.5928764832327533,1.2736319599687065,-0.9929225800601613,-0.2593613761463416,0.20464625850340123,-2.2092573233186275,r3030012.trees
0,100001.0,50,364,0.8108958049493858,-3.0578800604383156,-1.3931964802583987,1.548727113379983,-0.7950742208226217,-0.22108632853019508,0.2559045493197279,-2.1413498276357816,r3030013.trees
0,100001.0,50,345,0.9799324451939402,-3.204696045272239,-1.796212951496622,0.6997068922421509,-1.1525169871603564,-0.2941983800063563,0.20116179001721163,-2.0824213493448807,r3030014.trees
0,100001.0,50,311,1.0190830972815854,-3.0095236467700217,-1.8780339625054712,0.4218536240729299,-1.21645644544474,-0.30894370117896497,0.1850010412328197,-2.0879257918082605,r3030015.trees
0,100001.0,50,330,0.7563779323708819,-1.3306630866541052,-1.1128759292969788,0.6118039376472746,-0.424463714004131,-0.16214838191200862,0.19462750377928956,-1.2890714273398636,r3030016.trees
0,100001.0,50,432,1.0103077292215326,-2.4289159559608926,-1.5981201518333452,-0.0005814323052180644,-0.7562174112956168,-0.24210689117277015,0.2083429416964527,-1.7324098560353247,r3030017.trees
0,100001.0,50,320,1.8714494867412712,-2.299278227068177,-2.494753663353137,0.04048445593232023,-0.6099425590406151,-0.3397881555178907,0.17943409247757083,-2.1482151506215463,r3030018.trees
0,100001.0,50,358,1.1732579821811522,-1.6186292587793576,-1.6500057338824714,-0.023541216465399323,-0.5287657413580984,-0.23304280399509533,0.1572037598823312,-1.1154263237147966,r3030019.trees
