#/home/enes/bim/BIM.py trees/ir8050154.trees,trees/ir8050155.trees,trees/ir8050156.trees,trees/ir8050157.trees,trees/ir8050158.trees,trees/ir8050159.trees,trees/ir8050160.trees,trees/ir8050161.trees,trees/ir8050162.trees,trees/ir8050163.trees,trees/ir8050164.trees,trees/ir8050165.trees,trees/ir8050166.trees,trees/ir8050167.trees,trees/ir8050168.trees,trees/ir8050169.trees 250 --stats=all --eta=etas/BC.json --out=outs/533941557.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,FulD,FayH,ZngE,FerL,Colless,btree,path
0,10001.0,250,90,2.1996958349622084,2.744658688898399,-0.5585270891640742,0.050837579845218785,1.6671148519831405,-0.8498735657125156,0.05602247700479337,-1.0954048703147545,ir8050154.trees
0,10001.0,250,54,2.85118942089548,1.8309834279174189,-2.903510985642542,0.05807282649123831,2.1772013836805493,-1.1533233602846478,0.04803083300945718,-0.8366288533436311,ir8050155.trees
0,10001.0,250,88,2.0456027164408166,2.1948907855798065,-1.5391871922508324,0.08813162209309637,1.3138251742999159,-0.49839351257090947,0.04672237336442544,-0.7909405887664239,ir8050156.trees
0,10001.0,250,89,2.159196902173103,1.4861381941201668,-1.35124557219901,0.13546161767529297,1.141788368862566,-0.22236281537055433,0.044450921967439654,-0.4919940103652151,ir8050157.trees
0,10001.0,250,83,2.069745158253995,1.5158521234654336,-1.0092480510360404,0.0541422117424965,1.529740205656859,-0.7546288887470111,0.041072122591749485,-0.42974376944169307,ir8050158.trees
0,10001.0,250,62,0.7122962115832251,0.8095001397718251,-0.046965608228166464,0.04084132807427353,0.39921412836417364,-0.1062859164895998,0.05545685044324765,-1.2643652158311307,ir8050159.trees
0,10001.0,250,84,1.8526627562225013,1.57966739509062,-0.816671783831052,0.17702685256900744,0.6305905889358253,0.23961143357153764,0.053274387874076956,-1.1965402602788815,ir8050160.trees
0,10001.0,250,79,3.362285539459952,4.374286677860251,-1.36638162654564,0.0765981126208818,2.5474734766470033,-1.3064186307039487,0.0446301334369737,-0.6214653168332762,ir8050161.trees
0,10001.0,250,75,1.8826258192699452,1.538051319952336,-2.2419631114975314,0.09062092726045876,1.153147357388986,-0.3949520960582293,0.0390054843028026,-0.4618902902882765,ir8050162.trees
0,10001.0,250,63,1.8066549007863293,5.845859485772519,-1.51379019011206,0.03118097453693246,1.4170979247953672,-0.7705794430492326,0.04899598393574296,-1.135423257791179,ir8050163.trees
0,10001.0,250,87,2.237972245155534,1.5456409186383726,-0.8929394274758475,0.1069831532218472,1.3763159023729297,-0.4701221057570813,0.05867988081357689,-1.7490563090941156,ir8050164.trees
0,10001.0,250,87,2.238531111680466,2.1320827879274176,-1.731239214873359,0.1709034603392305,1.008265207715098,-0.014162142194696397,0.042560564840005186,-0.44633786810664516,ir8050165.trees
0,10001.0,250,85,1.9726715171688087,0.4738597927800585,-1.4854445640570357,-0.08826153983736985,2.2635041991939513,-1.715687132140434,0.04732910135164313,-0.6847884135686534,ir8050166.trees
0,10001.0,250,72,2.2956581970451393,3.7957081291452384,-1.9559942466820388,0.10831988900664971,1.418149153533722,-0.49835156275524883,0.043473895582329315,-0.7082304289673289,ir8050167.trees
0,10001.0,250,81,1.8274892675826997,1.1881008592101479,-0.735051385061484,0.07960395088186555,1.167820682565567,-0.440689574905019,0.041672064602496006,-0.30500471948749,ir8050168.trees
0,10001.0,250,90,2.0228418726228212,1.499734857144215,-0.964364784288003,0.07621716650896068,1.3627000858860236,-0.5706431096900288,0.05621017795522265,-1.2370663347813486,ir8050169.trees
