#/home/enes/bim/BIM.py trees/ir8030005.trees,trees/ir8030006.trees,trees/ir8030007.trees,trees/ir8030008.trees,trees/ir8030009.trees,trees/ir8030010.trees,trees/ir8030011.trees,trees/ir8030012.trees,trees/ir8030013.trees,trees/ir8030014.trees,trees/ir8030015.trees,trees/ir8030016.trees,trees/ir8030017.trees,trees/ir8030018.trees,trees/ir8030019.trees,trees/ir8030020.trees,trees/ir8030021.trees 250 --stats=all --eta=etas/BC.json --out=outs/342771449.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,FulD,TajD,bsfs,ZngE,btree,Colless,path
0,10001.0,250,38,0.029585077164705077,-1.1948754415726108,-0.5557345895892075,2.589477393499018,5.678246005656935,2.0754230122508837,-1.1344025649994673,0.04927775618603446,ir8030005.trees
0,10001.0,250,46,0.02897584836152823,-0.8419138343444702,0.935252864231303,1.917475942932797,5.715854364951966,1.5109922383049732,-1.0878688081692485,0.04947208187589067,ir8030006.trees
0,10001.0,250,35,0.032880828874718916,-1.174399105966573,-0.8457761464846305,2.5955810856685178,5.468794677949134,2.0562184580013434,-1.1480227886113636,0.05070820918080926,ir8030007.trees
0,10001.0,250,35,0.05608561234092685,0.0299019691316282,1.1018165758927019,0.6171241027188928,3.9188310797288466,0.2405317309580083,-1.323831815036448,0.05363389040031092,ir8030008.trees
0,10001.0,250,34,0.016289293264110296,-1.3224632950531354,0.21328097326921475,2.6765858893431154,5.74955681848182,2.2078822697030978,-0.8061680331325575,0.03994472513710757,ir8030009.trees
0,10001.0,250,61,0.01737843212964396,-1.6527787759063175,-0.5854422861640384,3.2496860127814973,6.091757922605538,2.7620484231073084,-1.3991780412599475,0.049885023966835085,ir8030010.trees
0,10001.0,250,44,0.02841758922728727,-1.2779937740197165,-0.4800367561914219,2.7210142400692283,6.013563788084101,2.2084440771415355,-0.9806682678825616,0.042201062313771215,ir8030011.trees
0,10001.0,250,53,0.03100446387836123,-1.3970152606892983,-1.5644675274987265,2.961603038791748,5.6743938870243555,2.42072472598038,-0.9756502651883892,0.045504599041326595,ir8030012.trees
0,10001.0,250,60,0.008520734133679759,-1.933627695782804,-0.5457847914978807,3.6542338995280863,6.29535953937056,3.1652550243643947,-1.360153890824241,0.04323746599300428,ir8030013.trees
0,10001.0,250,55,0.03546889689387051,-1.527882004447761,-1.6174449469784478,3.256155959567992,5.564493154141363,2.657478056307637,-0.4778877506156554,0.044921621971758,ir8030014.trees
0,10001.0,250,38,0.015257803252420078,-1.153817215964977,-0.10348350060033158,2.339209995691969,4.606653604852284,1.9346659118235516,-2.0682810372489366,0.06108304184479855,ir8030015.trees
0,10001.0,250,50,0.03670953973228118,-1.5848393857361356,-1.4777107260146094,3.3830568154042733,5.428964588521341,2.752163385269415,-1.697035588903009,0.05876732737401218,ir8030016.trees
0,10001.0,250,61,0.043026785503733504,-1.6797286454047153,-1.7569752104449943,3.6237296572808377,6.215680633933301,2.9483044677796575,-0.6432510463375867,0.04673532841041586,ir8030017.trees
0,10001.0,250,58,0.014483266674785087,-1.7097851234383665,-1.0766060266679789,3.3222166830199367,4.748675473327458,2.836599159141531,0.35066826371234033,0.029990931467806712,ir8030018.trees
0,10001.0,250,33,0.01864408995562348,-1.4476969808030369,-0.2099912691826202,2.942768504260202,3.359322612747345,2.42009556309243,-0.5064895407931085,0.03829835470915922,ir8030019.trees
0,10001.0,250,36,0.006627131703875862,-1.0113089774744712,0.5217789922356248,1.9726460909762598,5.404960685482368,1.6595791545545933,0.006290297632949547,0.03677613680528566,ir8030020.trees
0,10001.0,250,66,0.018631548161656453,-0.8890388154470058,-0.7668319605999477,1.862695180778261,1.5010197274448716,1.5389283017314515,-0.9699035319962409,0.05455153949129853,ir8030021.trees
