#/home/enes/bim/BIM.py trees/ir3000020.trees,trees/ir3000021.trees,trees/ir3000022.trees,trees/ir3000023.trees,trees/ir3000024.trees,trees/ir3000025.trees,trees/ir3000026.trees,trees/ir3000027.trees,trees/ir3000028.trees,trees/ir3000029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/417107029.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FulD,FayH,bsfs,ZngE,btree,Colless,path
0,100001.0,50,482,-0.2289778171704433,-0.1941134910306929,-0.49604269621346286,-0.04062351404489254,-0.5022008471644247,0.10038382913198879,-0.1367016321165361,0.12823837868480725,ir3000020.trees
0,100001.0,50,399,0.5959273317679759,-0.2762388286857234,0.08600680665399517,0.05138650024918495,0.09958711646604235,-0.6649267320762569,0.052470565029620164,0.11853995329475071,ir3000021.trees
0,100001.0,50,348,0.16474765010535738,-0.0981346297529668,-0.18478120148620572,0.012725123877731549,0.06062539524521511,-0.1949286130728585,0.0804397489706539,0.1377247327502429,ir3000022.trees
0,100001.0,50,472,-0.11630198561754133,-0.15806974947454006,-0.3739019702627032,-0.024788020796278922,-0.33356587665911647,0.02023795552489314,-0.31390757026348703,0.12914372098045562,ir3000023.trees
0,100001.0,50,475,-0.015227234147571487,0.3548184770739268,-0.5171732212857616,0.022953676053361363,0.7716916900842079,0.1968375770068536,0.3408579321465244,0.11946319881335998,ir3000024.trees
0,100001.0,50,479,-0.5434183912871899,-0.15051510168275292,-0.7260543197521627,-0.0747777051963481,-0.4567515847589636,0.39864832009704415,-0.3802082887593008,0.13423725654645416,ir3000025.trees
0,100001.0,50,420,-0.08043957556493518,0.030240678176776975,-0.4707801565242906,-0.00742143511184448,-0.10374877322111445,0.08613253439042555,-0.17714531684246054,0.1281397174254317,ir3000026.trees
0,100001.0,50,365,-0.1344413004503684,-0.06488872941017243,1.1706265480954714,-0.02050630677614018,-0.40892930963040725,0.0843524177294234,-0.8605828641589522,0.17354091169177946,ir3000027.trees
0,100001.0,50,408,-0.1567224937375097,-0.07265895051386519,-0.38773478144577234,-0.023656592934241657,-0.1753035240716517,0.09985879384527176,0.19916155306492556,0.12597595856524427,ir3000028.trees
0,100001.0,50,425,-0.26317652072576775,0.05753143992675265,-0.46915408546559917,-0.027166881874890834,-0.058011478013891886,0.2604252304988914,-0.4293426839914639,0.1455899153554551,ir3000029.trees
