#/home/enes/bim/BIM.py trees/ir3030090.trees,trees/ir3030091.trees,trees/ir3030092.trees,trees/ir3030093.trees,trees/ir3030094.trees,trees/ir3030095.trees,trees/ir3030096.trees,trees/ir3030097.trees,trees/ir3030098.trees,trees/ir3030099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/649012721.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,FerL,FulD,TajD,bsfs,Colless,btree,path
0,100001.0,50,463,0.5636824048377713,-0.2684347002607952,-1.4556249683599158,2.147496737286889,-1.378298586388218,-3.8732507726903296,0.26810669920141966,-2.0040472809743686,ir3030090.trees
0,100001.0,50,279,-0.4567305805964385,-0.12362999006288189,-0.2567160922245806,1.3225479211705082,-1.326558519697029,-0.8132623525165359,0.23258174237436913,-1.9414433901467028,ir3030091.trees
0,100001.0,50,357,0.40374417620370373,-0.149395433241115,-0.8589392376633767,0.5658182663079248,-0.6768199337640916,-1.4076590802350748,0.19362332561890733,-1.2852619654409265,ir3030092.trees
0,100001.0,50,460,1.3535704130803212,-0.2812642307108504,-1.960179459905885,0.5721362391348427,-0.7061437711332599,-2.6702958994890316,0.22368460658599734,-1.5299455028793776,ir3030093.trees
0,100001.0,50,354,1.0601303659648098,-0.23698685194449892,-1.6018615780364722,-0.7389153171714673,-0.6663839606101283,-1.36441742086634,0.2616815476190476,-2.600037357758681,ir3030094.trees
0,100001.0,50,309,1.44719352206749,-0.376503241473303,-2.4056858375457377,1.115426861339885,-1.282732132619157,-3.454307650513187,0.2478231292517007,-2.3872550296269193,ir3030095.trees
0,100001.0,50,328,0.5474924782074153,-0.2017500600156421,-1.1599336596732865,1.807617236710911,-0.9101561737497277,-2.907726201243853,0.2738095238095237,-2.4356373697726847,ir3030096.trees
0,100001.0,50,354,1.3415063957801816,-0.20937321303773157,-1.646255538124199,0.055142690338016644,-0.1959877497598271,-1.5380171090096006,0.16712726757369614,-1.268075552813971,ir3030097.trees
0,100001.0,50,375,0.951421289904762,-0.271776110881789,-1.6872875367478675,1.170303265914765,-1.0221847408094735,-3.173160289778631,0.2818027210884354,-2.938530284659497,ir3030098.trees
0,100001.0,50,406,0.42299452114115926,-0.19031921964472906,-1.0438091654339625,0.9031466313041778,-0.9528243636382687,-2.396458424644919,0.3100292003593891,-2.5044043267055334,ir3030099.trees
