#/home/enes/bim/BIM.py trees/r3100000.trees,trees/r3100001.trees,trees/r3100002.trees,trees/r3100003.trees,trees/r3100004.trees,trees/r3100005.trees,trees/r3100006.trees,trees/r3100007.trees,trees/r3100008.trees,trees/r3100009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/593396161.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,bsfs,FerL,FulD,FayH,btree,Colless,path
0,100001.0,50,517,-0.07848690088173942,-0.24473174245331966,-0.38381299330775437,-0.05492556297823331,-0.4849740934070722,-0.02355578829987353,-0.31137820173410197,0.12888198757763958,r3100000.trees
0,100001.0,50,434,0.23422439019195518,0.032676376465585896,-0.07529061373448673,-0.2479188984371568,0.1890519306591473,-0.02708530369220048,-0.006383410789118822,0.12461796312727982,r3100001.trees
0,100001.0,50,443,-0.1372995496471883,0.17746774492833617,0.4769710239369482,0.26121807551470033,-0.6843363089646173,0.043319511716505894,0.10378572456650706,0.11941609977324252,r3100002.trees
0,100001.0,50,482,-0.03659596148781017,-0.11229863448370288,-0.10939364646887847,-0.02450205728472427,-0.28077347409304626,-0.01073206130656585,0.18337295878853802,0.11202475914223557,r3100003.trees
0,100001.0,50,431,-0.7435612897861955,-0.7355642981656052,-1.3347038106225388,0.4147000574453125,1.2100132621231694,-0.002225173303203257,-0.4311935211589093,0.13953421174294955,r3100004.trees
0,100001.0,50,420,-0.3866864380941564,0.011758985699295583,0.3971347501162312,0.4480476497780316,-0.04760121661934437,0.05391998251357443,0.7320486344838465,0.1091478696741855,r3100005.trees
0,100001.0,50,527,0.2333666141753437,0.5689821022530503,0.9550652650103908,0.06972000368607552,-0.5664989152733415,0.04790812936002813,0.7952180998402777,0.10872741166951369,r3100006.trees
0,100001.0,50,463,-0.25021017108336774,0.17874325572654023,0.8310342175537585,0.3907713269500612,-0.6051732643373448,0.05871621625776788,0.6626946164776932,0.10436698717948724,r3100007.trees
0,100001.0,50,426,-0.03481326618853455,0.21228453654004925,0.35420552219742035,0.1648042747048112,-0.23238932493237235,0.034348482748493926,0.6172449452902257,0.11020701384001874,r3100008.trees
0,100001.0,50,482,0.11661366214381347,0.2740060640572848,0.33482647084836586,0.02862699090630752,0.6725616524402265,0.022500901381651114,0.09518762716148745,0.12663216945545985,r3100009.trees
