#/home/enes/bim/BIM.py trees/r3120000.trees,trees/r3120001.trees,trees/r3120002.trees,trees/r3120003.trees,trees/r3120004.trees,trees/r3120005.trees,trees/r3120006.trees,trees/r3120007.trees,trees/r3120008.trees,trees/r3120009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/762249062.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,ZngE,bsfs,FerL,FayH,TajD,btree,Colless,path
0,100001.0,50,344,-0.6646678628328169,0.279949344086429,-0.17808067949554823,-0.38414115628779977,-0.05336870578092604,-0.10989999472688482,-0.0010323293513104417,0.13292387018501664,r3120000.trees
0,100001.0,50,424,0.09645813611625666,0.5017936986235545,-0.9427489268750899,-0.7253935738373919,-0.10408162253575322,-0.2596142621292773,-0.8176477594702249,0.1491880288700846,r3120001.trees
0,100001.0,50,435,-0.6022374307792098,0.2201271702569234,0.941943725872976,0.037252293860673476,0.038566536441100314,0.48925037336596233,0.9092371612633039,0.10766347355268624,r3120002.trees
0,100001.0,50,354,0.013350163626991119,-0.21573406922926686,-0.0037574789646648357,0.15448952013587836,0.007461598350066365,-0.15590104046557818,0.3556879718413805,0.11402150145772601,r3120003.trees
0,100001.0,50,456,0.5410249326547252,0.3748998859008808,-0.8347872634380125,-0.4627638861211708,-0.05893724391458067,-0.05964104325244218,-0.5370513895663116,0.13757227891156462,r3120004.trees
0,100001.0,50,449,-0.1252487702698383,-0.15383375628781606,-0.5211167611798453,0.017411291044147577,-0.016650780215386175,-0.26810571729859073,0.20345457316352775,0.1167664892043773,r3120005.trees
0,100001.0,50,453,-0.185940469021766,-0.2467399113666755,-0.34933557231280343,0.07220248365522769,-0.016220337557796224,-0.35488629658332366,-0.17594448094554374,0.132843030829353,r3120006.trees
0,100001.0,50,483,0.08125663701869315,0.12227730267516945,-0.6285669942151355,-0.19281891816075822,-0.029116448093671945,-0.09047880632825726,0.11771958905666977,0.1296768707482993,r3120007.trees
0,100001.0,50,488,0.2896835976626881,0.4766875792366071,0.04104028033862643,-0.3694373291776578,-0.02308885877374524,0.29528777299945186,0.37230622941339675,0.11436871399277404,r3120008.trees
0,100001.0,50,388,0.6014088738940687,0.35469607497038136,-1.5763073356705082,-0.6953237971649165,-0.11699745822052547,-0.49360369236841045,-0.20508965408616509,0.12866300366300365,r3120009.trees
