#/home/enes/bim/BIM.py trees/ir8100154.trees,trees/ir8100155.trees,trees/ir8100156.trees,trees/ir8100157.trees,trees/ir8100158.trees,trees/ir8100159.trees,trees/ir8100160.trees,trees/ir8100161.trees,trees/ir8100162.trees,trees/ir8100163.trees,trees/ir8100164.trees,trees/ir8100165.trees,trees/ir8100166.trees,trees/ir8100167.trees,trees/ir8100168.trees,trees/ir8100169.trees 250 --stats=all --eta=etas/BC.json --out=outs/847853717.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,FulD,FerL,bsfs,ZngE,btree,Colless,path
0,10001.0,250,132,2.4730496367571093,0.07056178034584337,-1.4942931793842613,-0.858057195760642,2.490965344618193,1.8074749306320543,-0.3424331542111231,0.04112274525045152,ir8100154.trees
0,10001.0,250,126,2.3403718326395153,0.05660661214414723,-1.1245889270753011,-0.8866174654404101,2.9654374940702684,1.7696485807272766,-0.8024464875345162,0.0451127089001166,ir8100155.trees
0,10001.0,250,110,1.9355427223281798,0.10830528469772178,-0.67503295341468,-0.2866580709354154,1.7823572380669022,1.0993283458907375,-0.9353377576861577,0.05027945884922176,ir8100156.trees
0,10001.0,250,97,2.3844524799536964,0.14437056156695918,-1.4924479137393418,-0.2789558359918485,2.0520259010643036,1.2906173389598874,-0.3844740518332764,0.04237163708597833,ir8100157.trees
0,10001.0,250,116,2.5184060712462446,0.1646791174033428,-0.6387974538909882,-0.1979909996518535,2.874056653463592,1.2904171738489745,-0.6207015892513319,0.041456147169322444,ir8100158.trees
0,10001.0,250,127,3.2758981462175023,0.02154531529915284,-1.4315844517871235,-1.6636034194460825,3.3560128620191825,2.8191653072363043,-1.6616059040427194,0.057786702365015624,ir8100159.trees
0,10001.0,250,103,2.5985406645721985,0.0595080584040933,-1.2278183397272016,-1.0083056059964266,2.340625226577267,1.9777668268331667,-0.7795748962539312,0.04700065771771951,ir8100160.trees
0,10001.0,250,147,2.4927574384312785,0.10775390285070215,-1.6576025174780626,-0.5941565628701316,2.122346697650737,1.6055396229351342,0.042797831927376594,0.03500229204659831,ir8100161.trees
0,10001.0,250,97,2.0173855619925227,0.17830676155815922,-1.4924479137393423,0.16821966469454064,2.5668786992887154,0.7652679791027307,-0.6274758213266924,0.04400004710925814,ir8100162.trees
0,10001.0,250,139,2.0818168249199527,0.08522113974008104,-1.7083798112815134,-0.5320977562208239,0.8605713831323619,1.3687541027166539,-0.47075083305618837,0.04068244303378389,ir8100163.trees
0,10001.0,250,105,2.7237228463085557,0.10756447694460128,-0.9125672286020404,-0.7298541745515108,3.2773618706774634,1.8093703066312088,-0.9335882225317059,0.05236267651250163,ir8100164.trees
0,10001.0,250,127,2.280296066927292,0.15534505197702256,-0.9941195957883873,-0.12998331789495257,2.7723965647923485,1.130766488198003,-0.3146642774708853,0.040050884541751236,ir8100165.trees
0,10001.0,250,121,2.0154769772164642,0.16260360209242655,-1.1969515394033134,0.06811117762728114,1.8944063022593354,0.8504082934648297,-1.0518709679088787,0.05047933670164529,ir8100166.trees
0,10001.0,250,113,2.907622762609507,0.044341141466386555,-1.8804034995064487,-1.2903408051178278,3.4085229105815964,2.347526415200645,-0.82714670682974,0.046844948030334746,ir8100167.trees
0,10001.0,250,100,2.342318048080572,0.11969391207526738,-1.906820403953671,-0.4323216466778798,1.5854968252384343,1.3966602389628997,-0.5729690031172493,0.042194584790776,ir8100168.trees
0,10001.0,250,112,2.6250401862477517,0.14761425309368748,-1.2111868260520402,-0.38280430282282396,2.176049617394132,1.4866707621373774,-0.32400617283609157,0.04078410415856977,ir8100169.trees
