#/home/enes/bim/BIM.py trees/ir8070056.trees,trees/ir8070057.trees,trees/ir8070058.trees,trees/ir8070059.trees,trees/ir8070060.trees,trees/ir8070061.trees,trees/ir8070062.trees,trees/ir8070063.trees,trees/ir8070064.trees,trees/ir8070065.trees,trees/ir8070066.trees,trees/ir8070067.trees,trees/ir8070068.trees,trees/ir8070069.trees,trees/ir8070070.trees,trees/ir8070071.trees,trees/ir8070072.trees 250 --stats=all --eta=etas/BC.json --out=outs/244783252.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FulD,FayH,ZngE,TajD,btree,Colless,path
0,10001.0,250,98,-0.8844954490785072,3.5789079598439204,-1.1343957571390098,0.09480737430696974,1.981519373928331,2.834752857931819,-1.1131376943496132,0.05525327114911258,ir8070056.trees
0,10001.0,250,79,-1.7869358403359747,0.9432736712313606,-0.447710976291292,-0.05382656802384238,2.5777751653358965,2.556651963030876,-0.6514559417791002,0.04643574297188755,ir8070057.trees
0,10001.0,250,93,-1.2031658180934421,4.401776244753261,-1.621414348102764,0.05224713875001706,2.2471690919412137,2.8576308191598856,-0.7882945088947604,0.04766068883830251,ir8070058.trees
0,10001.0,250,109,0.20907520167289023,1.5996081476311592,-1.160121242996815,0.1618130110712759,0.6112233197978301,1.7411823193417524,-0.629117667770539,0.04460422334499289,ir8070059.trees
0,10001.0,250,77,-0.4388221602504728,2.33782164927066,-0.8521828352628038,0.06704959356314553,1.09091530927786,1.6607319078593619,-0.11965047603701352,0.0381164125191468,ir8070060.trees
0,10001.0,250,101,-0.5235728870922693,1.6245188650188769,-1.555024023309351,0.12145205637443071,1.5549739976063035,2.5307289400056723,-0.834584843032333,0.048551348250143414,ir8070061.trees
0,10001.0,250,85,-0.9146887382316767,2.4104712736941067,-1.2711838632943115,0.11583022877040801,2.1440383425262044,3.158033994506527,-1.1434327681091438,0.05220294668409709,ir8070062.trees
0,10001.0,250,100,-0.13096546893782982,1.4798821066138772,0.47862535615748547,0.07417054874605312,0.6441254032558962,1.2039305670934268,-0.8881672529032045,0.04783650731960099,ir8070063.trees
0,10001.0,250,99,-0.2986115962010171,3.0804475866808154,-1.5243400876751803,0.1320575872006163,1.2520045345087147,2.2611300449633904,-1.0033763040549426,0.04983644254437103,ir8070064.trees
0,10001.0,250,78,-1.1643143099657791,5.649524226744199,-2.274670401583643,0.0485241502160341,2.1570706703949005,2.742614027413601,-1.3091320451680055,0.05545407436196399,ir8070065.trees
0,10001.0,250,84,-0.3785879718634714,3.1375324458819476,-1.2500380873337256,0.13193675372895922,1.3699325224190728,2.392369144640892,-0.6456718905245981,0.04402556462408776,ir8070066.trees
0,10001.0,250,106,-0.38770818058127726,1.6156230702010903,-1.1062843144950336,0.13210520125002137,1.4003417315779279,2.4272492471728517,-0.4244648767174181,0.04209695926563396,ir8070067.trees
0,10001.0,250,125,-0.19800942858690118,0.30902790016272164,-0.8128532098963961,0.08157731414121808,0.803239513853474,1.430281413544348,-0.9161035400287123,0.04502101844530513,ir8070068.trees
0,10001.0,250,107,-0.8662506582395602,3.5550825827850354,-0.6086267283454264,0.0707496532897939,1.8151426745043193,2.488984027183827,0.028568391205978046,0.034356781966575975,ir8070069.trees
0,10001.0,250,76,-0.4534200544345176,1.164126340130466,-1.0619630068483568,0.07316590789869054,1.1488069790864466,1.7654997040401823,-0.6061472245412549,0.049589037152193004,ir8070070.trees
0,10001.0,250,102,0.14115184478768417,2.847168134354925,-0.12953850740195846,0.14221892941716613,0.6022011021437017,1.6012270467177836,-0.48688286991708124,0.04263829511594767,ir8070071.trees
0,10001.0,250,104,-0.5693878101313998,1.2123904691985312,-1.0687398252641314,0.0494772849246988,1.2098254622278453,1.674727342724035,-1.1469218722778702,0.054580328482388335,ir8070072.trees
