#/home/enes/bim/BIM.py trees/r3080000.trees,trees/r3080001.trees,trees/r3080002.trees,trees/r3080003.trees,trees/r3080004.trees,trees/r3080005.trees,trees/r3080006.trees,trees/r3080007.trees,trees/r3080008.trees,trees/r3080009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/976999789.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,ZngE,FayH,TajD,bsfs,FerL,Colless,btree,path
0,100001.0,50,399,0.9766257796417627,-0.03239592406076584,-0.06072257499384829,-0.4660254907866881,-1.1017309362438417,-0.23749690028499754,0.13881401617250663,-1.0846846983002125,r3080000.trees
0,100001.0,50,463,-0.7332044272035878,-0.26169247298432985,0.04671188239113195,0.08162247360943282,0.38671559585376325,0.3465993142110678,0.1118070990772547,0.5455707027840806,r3080001.trees
0,100001.0,50,511,-0.1617830418333545,0.6280544992092698,-0.07819112428253507,0.04623346229731247,-0.4478978141665663,-0.6889044352766669,0.14329303149831366,-0.7462907237980719,r3080002.trees
0,100001.0,50,307,1.0958940076744208,0.19057107982996135,-0.07101371029816193,-0.32195336564085353,-1.0396250952153558,-0.4066767959241476,0.17302450781637163,-0.6845875531100662,r3080003.trees
0,100001.0,50,398,0.42930594469027794,-0.70819488928822,-0.006202936364362217,-0.7303870132333006,-1.4200284723344234,0.3778436746101174,0.14961827122153207,-0.7563861351728846,r3080004.trees
0,100001.0,50,457,1.5054111254178244,-0.6322339175476436,-0.02979937662772001,-0.8250291940860606,-2.096200324140127,0.23466947102296007,0.14454185430040556,-0.7606679330580228,r3080005.trees
0,100001.0,50,414,0.6075572551554419,0.33870776434095556,-0.0831873653746447,-0.26766580066960716,-0.7725558309023098,-0.5440866759238693,0.15229166666666666,-0.4256402763539361,r3080006.trees
0,100001.0,50,412,-0.12838726470881381,0.3197029494232139,-0.09742797289712939,-0.3879866788641265,-0.934707742608675,-0.5932839369255442,0.15424858967977442,-0.4486980076381672,r3080007.trees
0,100001.0,50,472,-0.18549735947968754,0.28931138771813525,-0.03327961695361892,0.041254638749778375,-0.16391493837466814,-0.3056282702164811,0.1297983479105927,0.3057946722946221,r3080008.trees
0,100001.0,50,446,-0.13715614356831193,-0.33868330209390146,-0.03436622036990683,-0.5738543803747423,-0.8259633248597887,0.04803163162435114,0.17714069754886083,-0.7667989823338156,r3080009.trees
