#/home/enes/bim/BIM.py trees/r3010010.trees,trees/r3010011.trees,trees/r3010012.trees,trees/r3010013.trees,trees/r3010014.trees,trees/r3010015.trees,trees/r3010016.trees,trees/r3010017.trees,trees/r3010018.trees,trees/r3010019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/546854848.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,bsfs,TajD,FulD,ZngE,Colless,btree,path
0,100001.0,50,503,0.012263766257087095,0.07355283412612235,0.1343719111731999,0.05117972839263274,0.7723271061354198,-0.038019490851290215,0.12749787414965985,0.24754425566887037,r3010010.trees
0,100001.0,50,455,-0.05974226073470984,-0.437971621752819,-0.5409448440837981,-0.11320134590349636,-0.5252788217903013,0.3254762011738597,0.11746348285507091,-0.016167392191775546,r3010011.trees
0,100001.0,50,404,-0.09991125917915965,-0.5909356028156468,-1.2543122224585372,-0.4271526551405424,0.33743856346965456,0.29744446058350904,0.1502821799110705,-0.727835633790429,r3010012.trees
0,100001.0,50,455,-0.10359530653364159,-0.891241173829812,-0.3048015778645466,0.027224023621284506,-0.590413648624022,0.7954675288392529,0.13095238095238107,0.10066348348693537,r3010013.trees
0,100001.0,50,508,-0.004865153851830544,-0.4038459455255573,0.4947363338687237,0.6146522842119793,-1.0480597917208656,0.6721943313886642,0.12814322157434402,0.25060367244028,r3010014.trees
0,100001.0,50,355,-0.08600401861278874,-0.4227372737031121,-1.054571845675038,-0.5114692690759678,-0.03762570685757057,0.10676939873256132,0.13580640589569162,-0.6368362221422259,r3010015.trees
0,100001.0,50,434,-0.014752581384777967,0.03651137920795815,-0.8701575591111933,-0.2732757947826873,1.3837422168403606,-0.17320056449339674,0.13550447352854192,-0.5022163059365622,r3010016.trees
0,100001.0,50,359,0.02773659675377886,0.19282195564500226,0.2998416716637304,0.06900367433556333,-1.1454300899488408,-0.13339073381141545,0.11542560061999482,0.4900119077674262,r3010017.trees
0,100001.0,50,459,-0.04162396238360524,-0.3573148451672368,-0.5925516278013494,0.00953878069157104,0.7096922626951742,0.3182121757135009,0.125632717541993,-0.2240993117105396,r3010018.trees
0,100001.0,50,425,-0.04199384928598951,-0.4288466878223352,-0.20116173844817078,0.1263260380468212,-0.4343015698754072,0.44119196207016514,0.09998281227384577,0.6029400475359468,r3010019.trees
