#/home/enes/bim/BIM.py trees/ir8030218.trees,trees/ir8030219.trees,trees/ir8030220.trees,trees/ir8030221.trees,trees/ir8030222.trees,trees/ir8030223.trees,trees/ir8030224.trees,trees/ir8030225.trees,trees/ir8030226.trees,trees/ir8030227.trees,trees/ir8030228.trees,trees/ir8030229.trees,trees/ir8030230.trees,trees/ir8030231.trees,trees/ir8030232.trees,trees/ir8030233.trees 250 --stats=all --eta=etas/BC.json --out=outs/943580948.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,ZngE,FayH,FulD,FerL,btree,Colless,path
0,10001.0,250,33,4.855127575472159,2.939916417118497,2.316183441085094,0.038572070938170305,-0.7231196638971009,-1.3198185129610798,-0.5218752389948241,0.037558837500539795,ir8030218.trees
0,10001.0,250,38,5.271016078599859,3.472416820759999,2.9449890993352934,0.008638573925686439,-0.10348350060033198,-1.80369826609642,-0.15017951097858287,0.03552921362870838,ir8030219.trees
0,10001.0,250,70,1.973510853990817,2.820879811802204,1.6638454490068453,0.1469796899302877,-0.6369527735835623,-0.5163834872404934,-1.051834235688657,0.0480470268169452,ir8030220.trees
0,10001.0,250,54,2.2346362352021427,2.4994196051870587,1.2984706894659943,0.16209951788283922,0.04871861545163341,-0.25381709291763194,-0.5238931566154349,0.041601891436714604,ir8030221.trees
0,10001.0,250,54,5.9385088303091855,2.7786391359372202,2.262537435349679,0.03094639387370383,-1.9194344519444837,-1.2986439843273938,-0.33517873077791355,0.039253789350952195,ir8030222.trees
0,10001.0,250,32,5.43790533832558,2.5110842525839105,1.9892725944771354,0.030249388036852027,0.3979736129788978,-1.1434649584870118,-2.0285796116433987,0.060014250550589454,ir8030223.trees
0,10001.0,250,55,6.264608224913657,3.407099626734062,2.8140561507095128,0.031042299338292955,-1.6174449469784478,-1.64014111866643,-0.354838120896964,0.03831454851664723,ir8030224.trees
0,10001.0,250,42,4.927763282306541,0.8170796232866763,0.5064786106574131,0.0378571687852322,0.4608151284522731,-0.19009565720812696,-0.2592931348379772,0.041342790516906334,ir8030225.trees
0,10001.0,250,53,6.143243380122275,2.7636700174336775,2.330451532695963,0.01586888508186234,-0.22947315298874746,-1.392411000377007,-0.81008064733619,0.045796087576110894,ir8030226.trees
0,10001.0,250,36,4.094770037893413,2.62805008853281,2.142560162765459,0.022060039326204522,0.9965491512867024,-1.2621827129384853,-1.5678000008916788,0.054637906464567954,ir8030227.trees
0,10001.0,250,55,6.253236192204722,2.777805034111103,2.347725739121316,0.015593770956411724,-0.6499569649883469,-1.4035082326591366,-0.7130984846902884,0.04242777561860344,ir8030228.trees
0,10001.0,250,31,5.6118365731645685,2.468653775355053,1.969635982587543,0.026393478980374748,-1.1288947793421404,-1.1441630721211862,-0.02110641783745404,0.03293820443062573,ir8030229.trees
0,10001.0,250,26,4.790251499538478,0.860507769642675,0.554328736678242,0.0351966896244092,-0.16565173675077818,-0.23908707311696986,-0.6851679834668754,0.043755667832620804,ir8030230.trees
0,10001.0,250,65,3.29111787850568,4.037317917669558,3.5931582183993567,-0.0058548902990059526,-2.1126185960107624,-2.247729507092361,-2.141538436413633,0.05867016452908408,ir8030231.trees
0,10001.0,250,41,5.979952734131352,3.290182081580207,2.6612041896343954,0.03462092408782415,-0.3042463519847459,-1.5406974124640505,-0.3207396449119211,0.03627412877315715,ir8030232.trees
0,10001.0,250,40,5.587618135024247,1.8055694930497983,1.400356282288399,0.03012344175959534,0.19143033971055987,-0.7721642186950602,-0.6107628327436988,0.04764218162974478,ir8030233.trees
