#/home/enes/bim/BIM.py trees/ir8050186.trees,trees/ir8050187.trees,trees/ir8050188.trees,trees/ir8050189.trees,trees/ir8050190.trees,trees/ir8050191.trees,trees/ir8050192.trees,trees/ir8050193.trees,trees/ir8050194.trees,trees/ir8050195.trees,trees/ir8050196.trees,trees/ir8050197.trees,trees/ir8050198.trees,trees/ir8050199.trees,trees/ir8050200.trees,trees/ir8050201.trees 250 --stats=all --eta=etas/BC.json --out=outs/931017712.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,TajD,ZngE,FayH,FerL,btree,Colless,path
0,10001.0,250,82,-1.2062802341456293,1.8640934171899015,2.732886090173224,1.946399611458846,0.08421079408267498,-0.9060675167794819,-0.9664117228394102,0.049668206877689976,ir8050186.trees
0,10001.0,250,88,-1.3318790001717646,5.997751479480821,1.3231844533895094,0.994133774036133,0.03200523977453336,-0.5010123388392335,-2.0403413806419,0.057693138143973755,ir8050187.trees
0,10001.0,250,82,-0.984583801270448,5.438091980640942,2.5978524845684805,2.1316083804222528,0.030996213006521528,-1.2097462351667285,-0.8439538045420181,0.04401476875242907,ir8050188.trees
0,10001.0,250,55,0.6400270109984542,3.4223105661026763,1.8086696027058864,1.3129487674219618,0.0493725724375636,-0.6461816195481837,-2.647508142510026,0.0754955305091333,ir8050189.trees
0,10001.0,250,83,-1.0092480510360406,2.026320067210758,1.9544717082985044,0.954426914927831,0.13647763078389538,-0.10570150102534925,-0.7060793562334744,0.04289739603575592,ir8050190.trees
0,10001.0,250,83,0.524879547098009,2.3492214258490707,1.5177267930862834,0.6773372483726259,0.11709330135923035,-0.0030619604465233876,-0.24725543754971357,0.03957766550071253,ir8050191.trees
0,10001.0,250,81,-0.959342600914889,1.913354800230861,1.5317131083954534,0.7748044016453187,0.10232398908807538,-0.11671949605088319,-0.6504855219313987,0.045254331107420886,ir8050192.trees
0,10001.0,250,74,-1.0089546103087745,2.077736620539298,1.8846469817181146,1.061106452913879,0.10711872505115781,-0.2803068587310936,-1.12386243230819,0.04894925323413469,ir8050193.trees
0,10001.0,250,71,-0.41611511278607005,2.277690920376668,1.2414327220742882,0.4035562094629884,0.12277433923708994,0.18041083060795235,-1.7643925043470239,0.06326380791985144,ir8050194.trees
0,10001.0,250,83,-0.13260370924515522,1.4315683393419179,1.7323462271247272,0.9465995232172323,0.10344052208398248,-0.21831267031040522,-0.5881938032713363,0.04160313711421368,ir8050195.trees
0,10001.0,250,81,-1.8565074643285104,1.5286052949850502,2.3848340228517735,1.3014942445078923,0.14271044952565587,-0.29955908085134714,0.5207831438355591,0.031513149371680274,ir8050196.trees
0,10001.0,250,91,-0.3847964500427541,0.7097455081964852,1.7342962719035235,1.1807174782659706,0.06323119670615776,-0.5042543185727395,-1.003396861572959,0.049797203703150064,ir8050197.trees
0,10001.0,250,84,0.05006082317429558,1.1191643298717997,1.6910258271506131,0.8535544390333912,0.11322409335491006,-0.12549144121035524,-0.6148920617816619,0.04402286565617308,ir8050198.trees
0,10001.0,250,58,1.0722197743787614,2.1482524565548142,1.241078278290276,0.5462967312412765,0.09816019126982752,-0.0018483649319667316,-0.852258454957312,0.04549463362133398,ir8050199.trees
0,10001.0,250,82,1.010684094606181,1.6763815914898448,0.976060275804373,0.11093322160354496,0.1319259758283979,0.3998748619742948,-0.8089587659005177,0.046029278403938334,ir8050200.trees
0,10001.0,250,67,-1.604848554541067,3.8679866367786535,2.830331489824666,2.2507662684900622,0.04408628129514681,-1.2413150549803702,-1.5990628712787127,0.05316426998315843,ir8050201.trees
