#/home/enes/bim/BIM.py trees/r8070017.trees,trees/r8070018.trees,trees/r8070019.trees,trees/r8070020.trees,trees/r8070021.trees,trees/r8070022.trees,trees/r8070023.trees,trees/r8070024.trees,trees/r8070025.trees,trees/r8070026.trees,trees/r8070027.trees,trees/r8070028.trees,trees/r8070029.trees,trees/r8070030.trees,trees/r8070031.trees,trees/r8070032.trees,trees/r8070033.trees 250 --stats=all --eta=etas/BC.json --out=outs/735145548.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,FerL,FulD,bsfs,ZngE,btree,Colless,path
0,10001.0,250,110,0.1454686211178134,1.2837179896201658,0.3445242369080171,-0.6750329534146793,1.9174566235961015,0.2968386289896078,0.5869482209225353,0.02888751893000255,r8070017.trees
0,10001.0,250,96,0.0534984494532027,2.9647261648942878,-1.2536857312738847,-0.9036244642055498,4.738213255440491,2.337109654259073,0.21173519225512238,0.02918004155211047,r8070018.trees
0,10001.0,250,89,0.09233884596272951,1.4876218469168203,-0.16028178252780031,-0.3257955332051028,1.650003603839301,0.7923777080172563,0.06955375095663938,0.03065583015172644,r8070019.trees
0,10001.0,250,88,0.10813181240709738,2.660547084315004,-0.6946144883530365,-0.7099544239345615,1.8078861625904363,1.746261569552317,-0.25539888459656984,0.03372914408056675,r8070020.trees
0,10001.0,250,84,0.13503757342935732,2.265338864480036,-0.28655112690359213,-1.0333549355823886,1.5304647639175541,1.2390960964937652,0.405392557617628,0.0297073210015301,r8070021.trees
0,10001.0,250,105,0.10798806760427299,2.220130841801286,-0.44789577792479446,-1.262799635544185,3.768374285463514,1.355990123254948,0.23970048173591474,0.031941058466515126,r8070022.trees
0,10001.0,250,87,0.07401309666906233,2.0346256300599124,-0.5933615511037811,1.4123849878673114,2.352991843494923,1.3853110313666037,-0.06778684585151139,0.03355202684779054,r8070023.trees
0,10001.0,250,76,-0.009870796381876606,1.8932240119973165,-1.109523509854323,-2.253135501954065,2.09349599143823,1.735067916960305,-0.04762832582255388,0.03703199896359634,r8070024.trees
0,10001.0,250,95,0.11292712942044161,1.5220039501837481,-0.02934913031672056,-0.6884000218441947,1.67012472520973,0.7032277678656296,0.17608183495400292,0.032007960156036346,r8070025.trees
0,10001.0,250,94,0.1084305569653218,2.3203778987974926,-0.5030605055137208,-1.0528317125810835,2.5569088239165234,1.4421209702061017,0.2098966227922154,0.03195218148579984,r8070026.trees
0,10001.0,250,74,0.12988931808175425,2.6115265964892016,-0.5189519546897016,-1.4975755772162533,2.626204010903747,1.575717767681913,0.14831466129126225,0.03554501246528204,r8070027.trees
0,10001.0,250,83,0.09266006074891059,1.700582832539838,-0.2774794765645965,-1.0092480510360404,2.5208331430124837,0.9802573075728078,0.41340035155032034,0.029759310948584174,r8070028.trees
0,10001.0,250,130,0.11796400872017711,1.774002376903066,-0.12158251423217073,-1.0420593282033164,1.759613675000006,0.8966785075026761,0.5002079835506712,0.030481372494586635,r8070029.trees
0,10001.0,250,109,0.14454857825704204,1.172904323373392,0.3987771469395666,-0.4843429298198635,2.217907220628472,0.20319309772696345,0.6802749904169342,0.029366974150717418,r8070030.trees
0,10001.0,250,102,0.09968248734400154,2.643269435728558,-0.7428253431489591,-1.7499836365072694,1.4671382600807112,1.782855286817262,0.45212201595832613,0.031617059636395044,r8070031.trees
0,10001.0,250,97,0.1345458452068694,2.219580405665489,-0.25853222111525465,-1.3035275694393582,2.052312284386466,1.2004606101069821,1.1380064669219814,0.02328345640627024,r8070032.trees
0,10001.0,250,114,0.08523921878492617,1.470847953820222,-0.1957148336261822,-1.5674277454360503,1.0742923552523849,0.8181221285682749,0.10316142430506768,0.03247815308153435,r8070033.trees
