#/home/enes/bim/BIM.py trees/r3110000.trees,trees/r3110001.trees,trees/r3110002.trees,trees/r3110003.trees,trees/r3110004.trees,trees/r3110005.trees,trees/r3110006.trees,trees/r3110007.trees,trees/r3110008.trees,trees/r3110009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/962218343.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,bsfs,TajD,FulD,FayH,ZngE,Colless,btree,path
0,100001.0,50,522,-0.1885244058483589,0.2347950422415209,0.2939307744935883,-0.3982902521638399,-0.0017786903942788614,0.31746032654056133,0.10307017543859642,0.7926775814175052,r3110000.trees
0,100001.0,50,369,0.11879649041025019,0.4302780104674724,0.20397276635459993,0.07962983622054058,0.028366095001414335,0.0010893373924712,0.13373933388384257,0.25276036263670243,r3110001.trees
0,100001.0,50,356,-0.4546363302882726,-1.102584653960605,-0.33875934748513215,0.8675492462769682,-0.07771627618373499,0.22374805065488654,0.1684840602907828,-0.6056575829667031,r3110002.trees
0,100001.0,50,408,-0.4141010680069044,-1.3905853032271458,-0.38367559498370024,0.44706506212263764,-0.07589478677888793,0.16487667781341825,0.14385595508044488,-0.7834583396886378,r3110003.trees
0,100001.0,50,417,-0.10874737852781773,0.3118147431988143,0.19455477480191946,-0.3083958933328693,0.0006964684761770118,0.1958044905821825,0.13169642857142863,0.009237837071034599,r3110004.trees
0,100001.0,50,421,0.017510657723913543,-0.031124718462394084,-0.039254037470325805,0.19096321526939913,-0.0006657793139470353,-0.03562476018452018,0.11114094760711303,0.29558131443441105,r3110005.trees
0,100001.0,50,338,-0.1842483673449613,0.3952905542288677,0.2954919497265881,-0.3117343502296821,-0.001249250925753613,0.3136560398518538,0.11874936541780896,0.2954725283298682,r3110006.trees
0,100001.0,50,482,-0.726877551123467,-0.39986445891157274,0.045004799429594934,-0.2500207280758439,-0.082830217290362,0.6606376647001724,0.13873319280763938,-0.2550423563169063,r3110007.trees
0,100001.0,50,460,-0.10264575441369414,0.12089550274295027,0.17334927273688594,0.08890552774190763,-5.138452904727835e-05,0.17961245893246866,0.11779402482642536,0.4487894462123174,r3110008.trees
0,100001.0,50,396,0.42509650201637866,-0.3149604359538749,-0.38111921574043806,0.8967416241085953,0.02380292491856641,-0.569309287989687,0.14627100840336135,-0.05728943821479084,r3110009.trees
