#/home/enes/bim/BIM.py trees/r3040020.trees,trees/r3040021.trees,trees/r3040022.trees,trees/r3040023.trees,trees/r3040024.trees,trees/r3040025.trees,trees/r3040026.trees,trees/r3040027.trees,trees/r3040028.trees,trees/r3040029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/979386772.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,TajD,ZngE,FerL,bsfs,FayH,btree,Colless,path
0,100001.0,50,446,0.12861065272449182,-0.23977466981034967,-0.4697271441155619,0.3944381386777288,-0.1321884997771171,0.029967283592000717,-0.1535384160914597,0.13963679531218437,r3040020.trees
0,100001.0,50,396,0.8219647286841627,-0.224667637803442,-0.2069736664299458,0.10383473503154031,-0.3598518446946253,-0.0033772691751172705,0.2596641803311527,0.12106953892668185,r3040021.trees
0,100001.0,50,365,0.44087427473750845,-0.6188054549971216,-0.3039021161717151,-0.017339201700309604,-1.0368907836226284,-0.04531560662579352,-0.25495910624220347,0.1474537037037037,r3040022.trees
0,100001.0,50,434,-0.5960302574027917,0.031227422649109538,0.11617192982376126,-0.11411186020087528,0.1526960471321952,-0.011336767446002897,0.08971368957469283,0.13011704681872746,r3040023.trees
0,100001.0,50,317,-0.021305297251433583,0.13541455782766582,-0.06601842972856095,0.15493220139069977,0.273162917089616,0.027932200964973185,0.5218836281896729,0.13056787932564334,r3040024.trees
0,100001.0,50,494,-0.11395135699062833,-0.18869356437308715,0.15773963578712616,-0.29120398067953096,-0.4691351979504692,-0.04759160194254898,-0.21382297116167442,0.1403841012387487,r3040025.trees
0,100001.0,50,373,-0.5913450325122284,0.2638252007546771,-0.3109772453435465,0.5101283685868631,0.9463222922701159,0.07901410728325152,1.0076455582186357,0.0939220926465825,r3040026.trees
0,100001.0,50,365,-0.20779441269179105,0.023641308287448683,0.3036522313834732,-0.33259760425576407,-0.11254153078646484,-0.0378570852983707,-0.2557919887990072,0.13694193524404297,r3040027.trees
0,100001.0,50,454,0.6231810880405778,-0.005667617893141825,0.19527056915186794,-0.22606352222980491,-0.35253026788800995,-0.027155272293289543,-0.2984467536632751,0.14977094441380168,r3040028.trees
0,100001.0,50,379,0.5765540910879934,-0.38478622650142424,0.36297797285614913,-0.6406771364165174,-1.3274846872910255,-0.10294549566583068,-0.5207299571782604,0.14543162092423192,r3040029.trees
