#/home/enes/bim/BIM.py trees/r8120221.trees,trees/r8120222.trees,trees/r8120223.trees,trees/r8120224.trees,trees/r8120225.trees,trees/r8120226.trees,trees/r8120227.trees,trees/r8120228.trees,trees/r8120229.trees,trees/r8120230.trees,trees/r8120231.trees,trees/r8120232.trees,trees/r8120233.trees,trees/r8120234.trees,trees/r8120235.trees,trees/r8120236.trees,trees/r8120237.trees 250 --stats=all --eta=etas/BC.json --out=outs/480189932.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FulD,bsfs,ZngE,FerL,FayH,Colless,btree,path
0,10001.0,250,70,4.389192315228596,-1.9241734927779688,4.543359027927706,3.8845133460861763,-2.4091529682992383,-0.0006005933504267152,0.03623850239668351,-0.012577288131087985,r8120221.trees
0,10001.0,250,79,3.697862277068525,-2.2850522767999886,6.610061003043962,3.0863521565738132,-1.7893337401332625,0.034456429786340594,0.023848080494019087,0.7734190285016075,r8120222.trees
0,10001.0,250,76,4.861606734499615,-1.3001975058694986,6.941196714615081,4.269310205569877,-2.618519836793495,0.007335178962679002,0.04116106001065192,-0.5164914500649944,r8120223.trees
0,10001.0,250,96,4.731640637918041,-1.857627339870188,7.077293455920999,4.143970518650464,-2.5131675342579833,0.01415182270349392,0.02607922730347915,0.6655988135565367,r8120224.trees
0,10001.0,250,62,4.737944605716391,-1.4893146806158997,6.348285105619476,4.1021335416801445,-2.501045047019508,0.012289550837334287,0.031942285270112704,0.2016930542736741,r8120225.trees
0,10001.0,250,90,4.621819952715416,-1.978959022097825,4.73327497747762,4.065380109469016,-2.4820567534355717,0.009519355422434898,0.03502180766075053,0.09119913562138114,r8120226.trees
0,10001.0,250,99,5.059695188221671,-2.265416156757902,3.588171519349658,4.681498363430713,-2.9942695937463,-0.027186070171802072,0.031074117257560707,0.35236251603354846,r8120227.trees
0,10001.0,250,83,3.9273017086087725,-1.6667313073792045,3.0998536417500087,3.406748737858504,-2.0561047766365315,0.014948266637787352,0.03159816686099236,0.351488552721768,r8120228.trees
0,10001.0,250,85,4.811314306798292,-2.3424873671079314,6.876169653114453,4.187976621027592,-2.5344923172430773,0.016327852532520008,0.03228297806611059,0.06220067684568188,r8120229.trees
0,10001.0,250,76,4.117595610231308,-1.5384320048906404,6.661079582021144,3.5226971443122856,-2.102273962295821,0.02258224686495965,0.028414734205639766,0.39322222649952493,r8120230.trees
0,10001.0,250,73,5.113651705336795,-1.476357042930451,6.862662543350727,4.511791059649832,-2.7848722996368287,0.0029234165755295033,0.05777950511724317,-1.1171042560228301,r8120231.trees
0,10001.0,250,62,3.815777278143653,-0.6239052371832593,5.304774488266134,3.2403965809938335,-1.9357312443898904,0.021250011255033556,0.03114069179945589,0.40509677992239307,r8120232.trees
0,10001.0,250,75,4.946512940451567,-1.7594947677879422,5.679429291581408,4.418869875784516,-2.7585514222574155,-0.006054597570609184,0.030643310569466807,0.18978284839343126,r8120233.trees
0,10001.0,250,73,4.221071158033676,-1.228890628631926,5.479848812504329,3.6616212610896492,-2.2211593504955003,0.013453175938833297,0.046148302888975264,-0.7226956081255735,r8120234.trees
0,10001.0,250,69,3.7959960121922185,-0.08095331164316459,6.6113329993442855,3.2692951523275853,-1.97295322135959,0.0151656633011417,0.03204754501878482,-0.36333355387971933,r8120235.trees
0,10001.0,250,75,4.2492706164602705,-2.000728939642736,6.4444087495026885,3.682944501536562,-2.229651737048578,0.014671591639988508,0.030789825970548863,0.07865378207990091,r8120236.trees
0,10001.0,250,69,4.608371005828681,-1.646663248705676,4.249110876329518,4.062131241068967,-2.5106682512590206,0.0018963645485667211,0.03482073455110766,0.07786211307211274,r8120237.trees
