#/home/enes/bim/BIM.py trees/ir3120020.trees,trees/ir3120021.trees,trees/ir3120022.trees,trees/ir3120023.trees,trees/ir3120024.trees,trees/ir3120025.trees,trees/ir3120026.trees,trees/ir3120027.trees,trees/ir3120028.trees,trees/ir3120029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/467842099.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,ZngE,TajD,FerL,FayH,btree,Colless,path
0,100001.0,50,355,-0.32935521188505174,-1.3153104014823407,0.35229349802461773,-0.44975529565091243,-0.6666282903614135,-0.11067582083238836,-0.6059362494901487,0.13218923933209645,ir3120020.trees
0,100001.0,50,407,-0.08952053953574504,-0.10968355265057522,-0.24272701586937137,-0.12789480244796014,0.2015797508986817,0.014969025200770397,-0.2451204517078479,0.12510629251700686,ir3120021.trees
0,100001.0,50,373,0.043505985290640654,-0.3918843965287839,0.3205454518231502,-0.009678982629374985,-0.37146408087379884,-0.04478613048624363,-0.5143812506229128,0.14070793152425806,ir3120022.trees
0,100001.0,50,449,0.07275208974549975,-0.5296718993137489,0.25968542245699194,-0.2566297490854571,-0.44748651303458137,-0.07088990709585817,-0.2803384803681377,0.1434304782519068,ir3120023.trees
0,100001.0,50,385,0.5548025746389779,-0.09019983621093448,-0.17164375844415963,-0.05345492703199513,0.16437294413030173,0.015772833965780934,-0.2323834676131363,0.12771931689342406,ir3120024.trees
0,100001.0,50,442,-0.778984782516347,0.127041213680019,0.5834680589724168,0.3658859775699813,-0.44986088115410905,-0.027732884758549257,-0.3506854034051227,0.1288056206088993,ir3120025.trees
0,100001.0,50,439,-0.15432006883748361,0.6390043666313037,0.41277610603407744,0.4128031171932579,-0.22752717978980494,0.0018691995981884614,0.03849731319529666,0.12946189711839795,ir3120026.trees
0,100001.0,50,477,-0.8706363678783787,0.22286181088571866,-0.14621104232074011,-0.0009876122821639577,0.16616696200975944,0.019586946926681278,0.03333146602923234,0.13747165532879826,ir3120027.trees
0,100001.0,50,379,0.029794575048379738,-2.2743322766435523,0.5751485476876477,-0.8552225774448962,-1.159696373416631,-0.1974339903459556,-1.664047859113087,0.2093161940100716,ir3120028.trees
0,100001.0,50,404,0.5573550327811102,-0.6102840992757333,0.11980200174083092,-0.21776823986958063,-0.2649427379553614,-0.04662859803391503,-0.7239969061784307,0.14265508183471412,ir3120029.trees
