#/home/enes/bim/BIM.py trees/ir8040154.trees,trees/ir8040155.trees,trees/ir8040156.trees,trees/ir8040157.trees,trees/ir8040158.trees,trees/ir8040159.trees,trees/ir8040160.trees,trees/ir8040161.trees,trees/ir8040162.trees,trees/ir8040163.trees,trees/ir8040164.trees,trees/ir8040165.trees,trees/ir8040166.trees,trees/ir8040167.trees,trees/ir8040168.trees,trees/ir8040169.trees 250 --stats=all --eta=etas/BC.json --out=outs/341978287.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,FerL,FulD,FayH,ZngE,Colless,btree,path
0,10001.0,250,97,1.1363460523965205,1.132908708857117,0.4000597365079147,-1.303527569439358,0.14285275569922087,0.18433326762197824,0.03853785259885041,-0.04780556413074375,ir8040154.trees
0,10001.0,250,63,1.567791103371702,0.6245372025333423,-1.4557415571072685,-1.51379019011206,-0.08653353725579077,1.8644505874178927,0.05850282851837457,-1.505376590795971,ir8040155.trees
0,10001.0,250,87,1.7271211080466036,1.542172693003032,-0.5633646246626159,-0.8929394274758476,0.05446611739925039,1.224148303563276,0.0375780823152357,-0.046510393753298344,ir8040156.trees
0,10001.0,250,67,2.2990389977924903,2.4801878710957292,-0.5168894293061626,-1.604848554541067,0.10628865584296643,1.4318335845425427,0.04476373234874984,-0.7702964307450271,ir8040157.trees
0,10001.0,250,97,2.0726504530720846,2.103897028015752,-0.2097363231112616,-1.87028860233931,0.13004090788935627,1.0953907381355505,0.044493835557282896,-0.6113339096418854,ir8040158.trees
0,10001.0,250,61,1.2422337648413087,1.865009200692975,-0.31983309720709974,0.29320740704667797,0.05182305556524734,0.8042904424401768,0.051644365480354594,-1.2246083437377109,ir8040159.trees
0,10001.0,250,77,2.1346529421295415,1.8329869167296322,-0.16284203427961716,-0.6168742036221234,0.14297312133822274,1.0783397537211972,0.03903048526874902,-0.21570094011245525,ir8040160.trees
0,10001.0,250,82,1.1894301824134947,1.0778639208284861,-0.5353511469462456,-0.984583801270448,0.01680065391592798,0.9609939817176427,0.044217543385322494,-0.4597204509758972,ir8040161.trees
0,10001.0,250,76,1.2602741754654518,1.6852495165798727,0.2896240560930428,-1.3001975058694983,0.1391396227793937,0.3249873399033553,0.04976798690362624,-0.7918000141397233,ir8040162.trees
0,10001.0,250,61,0.014401390873823082,-0.37622080121286566,-0.22349629704016122,0.2932074070466783,-0.031230029812717507,0.18654122761022018,0.040242382741411106,-0.6206949584051291,ir8040163.trees
0,10001.0,250,81,1.9444377701396445,0.9961726417447803,-0.5775694609844952,-0.7350513850614838,0.06938272759440885,1.3303101021721055,0.05513586604482445,-1.362131298304533,ir8040164.trees
0,10001.0,250,106,2.097642787813349,4.645555826621944,-0.750178175715041,-0.5856902052798311,0.05685091238755535,1.5457689662100582,0.0579824675044263,-1.6222805937869085,ir8040165.trees
0,10001.0,250,103,0.8788623008584456,4.514939820780095,0.19937167333073103,-1.2278183397272016,0.0948849653885552,0.2320972148196584,0.04919476292265838,-1.0096986402803543,ir8040166.trees
0,10001.0,250,89,1.3548684850815738,1.5833539853162777,0.13632234645740124,-1.35124557219901,0.12357591642910502,0.4936169118743135,0.03950303317055036,-0.19717833216515745,ir8040167.trees
0,10001.0,250,86,1.7814787043517497,2.126275536159244,-0.7852471021952189,-1.5037543848650903,0.02756411103578552,1.4272653761377025,0.04039116618275759,-0.2717606258873329,ir8040168.trees
0,10001.0,250,92,1.5707754306850832,0.9500306079424243,-0.274796614654865,-0.8108030710186571,0.0826280386571096,0.9226579063237935,0.040405863083671084,-0.3489144389699614,ir8040169.trees
