#/home/enes/bim/BIM.py trees/r8010085.trees,trees/r8010086.trees,trees/r8010087.trees,trees/r8010088.trees,trees/r8010089.trees,trees/r8010090.trees,trees/r8010091.trees,trees/r8010092.trees,trees/r8010093.trees,trees/r8010094.trees,trees/r8010095.trees,trees/r8010096.trees,trees/r8010097.trees,trees/r8010098.trees,trees/r8010099.trees,trees/r8010100.trees,trees/r8010101.trees 250 --stats=all --eta=etas/BC.json --out=outs/502166401.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,FayH,TajD,ZngE,bsfs,Colless,btree,path
0,10001.0,250,65,-0.45664954981119843,-0.33990252193191667,0.07218334976544856,1.539655496185878,0.9530383114745294,2.937205084633533,0.03522500138804065,-0.1988823702491332,r8010085.trees
0,10001.0,250,77,-0.38156557198144375,-0.18870491587111807,0.07685255083728582,1.3315719877628613,0.7429916055435188,1.898561308635737,0.03584080482106402,-0.01060566547644968,r8010086.trees
0,10001.0,250,80,-0.7065563822737387,-0.3285991030018777,0.03498728179244109,1.048271362066758,0.7308934029960702,0.0955779140020644,0.03305803860603705,-0.053132961673462986,r8010087.trees
0,10001.0,250,62,0.8184438352044725,0.47228671583006276,0.11561714548753234,0.5998926160817412,-0.11680824099354609,2.1208269948889744,0.0339348596732973,0.20363452876826085,r8010088.trees
0,10001.0,250,84,-1.9000875425877366,-0.34563523072339714,0.07412661410263602,1.585465453495817,0.9843908649586988,1.7306409164162642,0.02570928876797513,0.8554814837973045,r8010089.trees
0,10001.0,250,75,-0.7945580803687654,0.2292473216309718,0.09748457556347884,0.8338597727252598,0.18450812500661523,2.1673551200688883,0.027959084916516164,0.7853647048775511,r8010090.trees
0,10001.0,250,88,-1.3318790001717644,-0.1581701487440439,0.0948189158316457,1.5152867144640307,0.8027639799107135,2.03959667089204,0.02936405118682615,0.5267414253604932,r8010091.trees
0,10001.0,250,87,0.5740852004697988,0.08397283420984279,0.0711217163152219,0.7685572844827704,0.2744126006478539,0.8940885815990282,0.034143189798067373,0.10847663896873531,r8010092.trees
0,10001.0,250,76,-0.34725950978493236,-0.41946359063832156,0.06357631720804073,1.5804766503907668,1.03936029169755,1.148057047361209,0.031468122687445296,0.2368725386317415,r8010093.trees
0,10001.0,250,75,-0.3120897366591777,0.07584432738294176,0.10210461750706698,1.1725641757526128,0.45844067388070775,2.0521245216357245,0.02773837284622361,0.8182405366196323,r8010094.trees
0,10001.0,250,78,-0.18258553033757247,0.6109591672902684,0.14220610368799275,0.7183347377687544,-0.17447843164951776,2.084875826303185,0.031722816563367215,0.21717667574894356,r8010095.trees
0,10001.0,250,54,0.376744126684319,-0.27554305290196157,0.018060749918033636,0.733667499822227,0.5431313132054515,1.6435749714621049,0.03470009068532194,0.0020246750204890107,r8010096.trees
0,10001.0,250,64,-1.5375513018060092,0.797297429761839,0.1838715243575969,0.8762865197557614,-0.2568832033188574,1.518298881450924,0.028151006483692058,0.5631075242335841,r8010097.trees
0,10001.0,250,76,0.12920948825735099,-0.12615239017614288,0.1088766475854171,1.6284526773743657,0.8238606126527455,2.143754630978403,0.027850572798104864,0.5762003971793317,r8010098.trees
0,10001.0,250,84,-1.4667212390850624,0.1905695951748017,0.16109178538037391,1.7357756841612986,0.6182037083748496,3.46589463942281,0.028687329965021376,0.41770249122498765,r8010099.trees
0,10001.0,250,75,-0.07085556480438296,0.5655219704273896,0.09766329124765322,0.22368651497064515,-0.35734591367536706,2.8821942392185282,0.03528029167360687,-0.03252046454985246,r8010100.trees
0,10001.0,250,82,-0.7628873683952673,-0.47851087145271004,-0.04280965572716944,0.3168757592785418,0.5272572065383825,-0.20742023443278565,0.03486094917303623,0.05808709986847149,r8010101.trees
