#/home/enes/bim/BIM.py trees/r8060102.trees,trees/r8060103.trees,trees/r8060104.trees,trees/r8060105.trees,trees/r8060106.trees,trees/r8060107.trees,trees/r8060108.trees,trees/r8060109.trees,trees/r8060110.trees,trees/r8060111.trees,trees/r8060112.trees,trees/r8060113.trees,trees/r8060114.trees,trees/r8060115.trees,trees/r8060116.trees,trees/r8060117.trees,trees/r8060118.trees 250 --stats=all --eta=etas/BC.json --out=outs/481317363.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FayH,FulD,FerL,TajD,btree,Colless,path
0,10001.0,250,55,3.5107152084106135,4.436511183097011,-0.0022578618404287903,-0.972452958985047,-2.186038515052075,3.9932807790029563,-0.8619033162676626,0.044417300538559766,r8060102.trees
0,10001.0,250,56,2.818819424847529,5.981602608849879,0.02336483963461698,-1.008319855025177,-1.6689413025327067,3.362149617128604,0.11301074790350296,0.036036619596666236,r8060103.trees
0,10001.0,250,54,3.8908415563876737,5.175453174981374,0.016154131931899792,-1.5914089407117977,-2.359454770408103,4.546045859945058,-0.3406268016761765,0.037828734292006734,r8060104.trees
0,10001.0,250,55,2.913903051487521,6.267729554247729,0.0003928151447529152,0.9625230049951549,-1.806682459597899,3.3286644564672336,-0.08898408955849761,0.03138359891177614,r8060105.trees
0,10001.0,250,72,3.506193433538396,6.229103720297784,0.020103321871349847,-1.955994246682039,-2.101733480898906,4.089949575937137,0.04161781334791423,0.033744656043528956,r8060106.trees
0,10001.0,250,59,3.346129617693675,6.219722510399801,0.02388930347891871,-1.4112634450763506,-1.99318707424612,3.959461517830509,-0.15135894893864055,0.03756963337219848,r8060107.trees
0,10001.0,250,49,2.3438576539335028,3.4453354052634824,0.0044435579454014705,-0.011444795801529836,-1.4404005764578234,2.716511328814393,0.4437583345613185,0.03139979271926416,r8060108.trees
0,10001.0,250,40,2.8270703376237742,5.7988935393144585,0.021680681212007998,-1.5357006352431182,-1.6868462373350608,3.40669620579059,-0.007259355504028635,0.0344064429762059,r8060109.trees
0,10001.0,250,52,3.0432848069907457,6.074606910545141,0.01623976205552698,-0.5175456139137314,-1.833896193101701,3.583640542407438,-0.955437575089722,0.050098242432093966,r8060110.trees
0,10001.0,250,50,3.2593455654913868,4.46761521416954,-0.0005669426985680475,-2.1820845157038278,-2.0254506984208493,3.7322564864661043,-0.2297341656280234,0.035349282434397084,r8060111.trees
0,10001.0,250,39,2.983391432242456,6.101592498671146,0.01148850875004984,-1.0570590881538546,-1.8178455785118037,3.5298872371491896,0.2612327401499821,0.029213628708381918,r8060112.trees
0,10001.0,250,57,4.045803702251786,6.012165813709576,-0.007279003506748419,-2.60291653342219,-2.5347610399745433,4.565626797764901,-0.08929428622994932,0.033079321895878436,r8060113.trees
0,10001.0,250,54,3.177017016074275,3.909763006206747,0.005205369739921076,0.7047696379170046,-1.953771844882532,3.6619630949401953,-0.3174331439642416,0.03556160124368441,r8060114.trees
0,10001.0,250,55,2.022088687720314,6.176070484754064,0.02571123665950276,0.640027010998454,-1.1669316677005184,2.469607657679558,0.0641140996715374,0.030034114954441426,r8060115.trees
0,10001.0,250,47,2.361166556748415,3.7235730214642,0.01850740502467645,0.11032168173846947,-1.404562147667215,2.8284646392860653,0.06452102867014801,0.029556937427127866,r8060116.trees
0,10001.0,250,61,3.1004135709287426,5.73531644562482,0.003443570226921257,-0.29255905509379965,-1.9107121268941232,3.546126187188108,0.37660937462507105,0.029680010364036797,r8060117.trees
0,10001.0,250,45,3.4661238892121946,6.230324434916503,0.03516474730840092,-2.473507293788968,-2.036400663030973,4.208768103158513,0.3129024007162407,0.03130083056239294,r8060118.trees
