#/home/enes/bim/BIM.py trees/r3020090.trees,trees/r3020091.trees,trees/r3020092.trees,trees/r3020093.trees,trees/r3020094.trees,trees/r3020095.trees,trees/r3020096.trees,trees/r3020097.trees,trees/r3020098.trees,trees/r3020099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/620795915.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,ZngE,FerL,FayH,FulD,btree,Colless,path
0,100001.0,50,364,0.15824880624905535,0.11125845985767516,0.19571507742595384,-0.15787166033231265,-0.010977299028423598,-0.48389258899884546,-0.33337085832568825,0.16088673231530362,r3020090.trees
0,100001.0,50,315,-1.1579286207371262,-0.3743726967176294,0.6362088395125424,-0.9462471082993337,-0.13892964686115367,0.3278960583370284,-1.0665644861252095,0.17925777453838682,r3020091.trees
0,100001.0,50,405,-0.8603329462913624,-0.3536436637431061,0.08338266600721751,-0.3034273499998313,-0.06068079834936595,0.3284841117246585,-0.35133467253415324,0.1495799977449543,r3020092.trees
0,100001.0,50,402,0.2632201468496087,0.2976584968906787,0.4361047940378095,-0.32223016888572076,-0.017423704167609272,-0.8968737836246793,0.41777324648098585,0.11161882335351721,r3020093.trees
0,100001.0,50,438,-1.4934808302784572,-0.4897008972185582,-0.34896012814028227,0.1094177564928672,-0.021224971438066956,1.9837654057837928,-1.7888309419668436,0.1809951253228565,r3020094.trees
0,100001.0,50,383,-0.020550115871338637,0.08532688700150298,0.31810103408673684,-0.31272198556940317,-0.031155051651185824,0.7681062935881454,-0.8601586314860361,0.19779628718957465,r3020095.trees
0,100001.0,50,378,-0.1318853377452506,0.22921397113694555,1.2749051377184284,-1.3197945529310506,-0.14066515694912227,-0.8620321805328562,-0.11500885908178758,0.14401724975704563,r3020096.trees
0,100001.0,50,340,-0.21709720817329287,-0.00628193924646705,0.13549867513878514,-0.15834473090533097,-0.01927416342426871,0.714761805328407,-1.1863793635762376,0.16448630734345018,r3020097.trees
0,100001.0,50,423,-0.6358443226217053,-0.23589097012056554,0.0717470303641157,-0.22083926900365564,-0.04263970208802447,0.1394838850795617,-0.646037434519763,0.17566812439261428,r3020098.trees
0,100001.0,50,345,-2.240261215877288,-0.8023440895691906,-0.08145756112386215,-0.3789043160952076,-0.10116985691579074,2.0288239123345573,-1.095697247363711,0.18517791732077454,r3020099.trees
