#/home/enes/bim/BIM.py trees/r3060050.trees,trees/r3060051.trees,trees/r3060052.trees,trees/r3060053.trees,trees/r3060054.trees,trees/r3060055.trees,trees/r3060056.trees,trees/r3060057.trees,trees/r3060058.trees,trees/r3060059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/802650886.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,bsfs,FulD,FerL,TajD,Colless,btree,path
0,100001.0,50,243,0.34727653607928244,-0.19230426056928698,-2.6155037151253206,1.3951619993990385,-1.0006013078365599,-1.0310738972999156,0.17906101834673266,-1.8156091378438166,r3060050.trees
0,100001.0,50,384,0.6494244131565716,-0.18034775417442067,-1.8759505335022768,0.6804530835351165,-1.1302669059940662,-0.661212915899246,0.2022005772005773,-1.1617586906889543,r3060051.trees
0,100001.0,50,294,0.9270333778913298,-0.2432086278039611,-2.758170611709776,1.4398655030768934,-1.5485191615642573,-0.834670828496995,0.2114556760204082,-1.5428612973205587,r3060052.trees
0,100001.0,50,374,-0.2259215828254486,-0.09929340232415508,-1.9819609900187614,0.7864784829933371,-0.2892169316421782,-0.9293666105215163,0.18132466401194647,-1.1433209046765487,r3060053.trees
0,100001.0,50,380,1.046211884517053,-0.27773240507551217,-3.244016392184196,1.1117197304677802,-1.766701256949582,-0.9732862870315462,0.1843003226931797,-2.049590956625945,r3060054.trees
0,100001.0,50,291,0.94773123318767,-0.2596298677908864,-3.059935907338766,1.5899505774540916,-1.6289246490831166,-0.9314302453946716,0.19337949465500492,-1.7354176044344438,r3060055.trees
0,100001.0,50,337,0.37075403930528567,-0.15384383402619936,-2.2072154627826035,1.6280359937607065,-0.8581592316846288,-0.7398127249042683,0.20752090645175278,-1.6681096893150582,r3060056.trees
0,100001.0,50,328,0.4195766916366486,-0.157247430512983,-2.333907130007361,1.4018997729609137,-0.8999923241576518,-0.7163317853985953,0.20270432116508577,-1.3670589324292237,r3060057.trees
0,100001.0,50,244,-0.014362850360076743,-0.18974154318437014,-2.8318012819509497,0.22774345917636177,-0.7834050469452004,-1.365655433828223,0.1877149736299013,-2.0159901518037415,r3060058.trees
0,100001.0,50,338,0.3200965116035679,-0.29022597507107967,-3.938390823758613,2.488650468392175,-1.4025052914016958,-1.7638981869780443,0.24050852735460368,-2.87207507345449,r3060059.trees
