#/home/enes/bim/BIM.py trees/r8040187.trees,trees/r8040188.trees,trees/r8040189.trees,trees/r8040190.trees,trees/r8040191.trees,trees/r8040192.trees,trees/r8040193.trees,trees/r8040194.trees,trees/r8040195.trees,trees/r8040196.trees,trees/r8040197.trees,trees/r8040198.trees,trees/r8040199.trees,trees/r8040200.trees,trees/r8040201.trees,trees/r8040202.trees,trees/r8040203.trees 250 --stats=all --eta=etas/BC.json --out=outs/309609690.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,bsfs,FulD,TajD,FerL,btree,Colless,path
0,10001.0,250,67,1.047572487777388,0.12527862874328155,3.779425903112791,-1.3365864839977537,1.9847780623338473,-0.21252191330909187,0.7192638635905765,0.02653841171136158,r8040187.trees
0,10001.0,250,89,1.2621735545319586,0.03367276497423269,1.2877738549045348,-1.761425587796573,1.6344959440681404,-0.6608191966247345,0.7713205372568269,0.028689299482148295,r8040188.trees
0,10001.0,250,86,0.9204220287219828,0.16727446402431256,1.6172005218482781,-1.7156462720731365,2.116087480196334,0.026675922243743534,0.03220032399278597,0.034697931510990196,r8040189.trees
0,10001.0,250,96,0.6137476631463739,0.13896520882654656,1.3673611550785203,-1.0944250393384773,1.5914033939423347,0.11998643245159975,0.6716572409915976,0.028030167750338748,r8040190.trees
0,10001.0,250,109,1.0083078727222352,0.16070516850452196,1.9887064108426058,-1.6669549778795278,2.1769860541743964,-0.040514253267538346,-0.011939249963826075,0.0332915238667279,r8040191.trees
0,10001.0,250,90,1.6075396471622245,-0.011465445401086809,0.8608782443148377,-1.7760401745358605,1.728793718997527,-1.035960054125012,0.2521417696767239,0.03116912092815706,r8040192.trees
0,10001.0,250,78,0.8769557582916218,0.12417177045617833,1.5499854416113628,-0.4150394049204692,1.7869802786584612,-0.10399179644781813,0.3020588743306853,0.030342568430403633,r8040193.trees
0,10001.0,250,83,0.4010303209884804,0.05888797016149638,0.10876801237701136,-1.0092480510360406,0.8311910503637687,-0.03892803243771174,-0.22696164891447831,0.03400436970199893,r8040194.trees
0,10001.0,250,96,1.6567991621359501,0.03965751088578607,1.2480279280755455,-0.7128238890726217,2.1129923975008977,-0.8825213230941915,0.6344149499844953,0.028664743865103887,r8040195.trees
0,10001.0,250,66,0.38584069344137695,0.05514476793357143,1.8067358487042822,-0.4947585593334031,0.7882652998697953,-0.04720106448439992,-0.004857193678317724,0.034549227085240025,r8040196.trees
0,10001.0,250,94,1.4553810471643212,0.06451102389946611,1.6369690271635151,-1.8315346116705407,2.0497458044946675,-0.6689600882739407,0.021234539733936193,0.03827168255564955,r8040197.trees
0,10001.0,250,76,1.2124387740799916,0.09864600324273327,2.846534345254519,-1.3001975058694988,2.000932794976449,-0.40293309470584127,0.4044839031170583,0.030732247988369252,r8040198.trees
0,10001.0,250,89,0.8995498855034233,0.07511210175148247,1.188825492115801,-1.3512455721990102,1.4962142122234745,-0.2882094190578686,0.3757213443004361,0.03207868695626177,r8040199.trees
0,10001.0,250,90,0.7480583385873105,0.11909749001584843,2.0393754052424327,-1.776040174535861,1.6115147744580192,-0.03678029174450758,0.5476171106148602,0.030045849597548684,r8040200.trees
0,10001.0,250,94,1.158076163785292,0.15180547396520447,2.0684891119170326,-1.6368588868981766,2.284119740516195,-0.1715550042623131,0.14591200825153697,0.03483806192511984,r8040201.trees
0,10001.0,250,91,1.8689451463799467,0.05800417987942796,2.311332278072104,-1.187969369883815,2.472099302614067,-0.9489095257301234,0.04459720846496748,0.03273651791918406,r8040202.trees
0,10001.0,250,72,0.49577363931910995,0.0924214301778616,1.187011857309085,-0.9531738397344414,1.1517904957516836,0.017303737383798153,0.37972081880374137,0.029159649350088516,r8040203.trees
