#/home/enes/bim/BIM.py trees/ir8110073.trees,trees/ir8110074.trees,trees/ir8110075.trees,trees/ir8110076.trees,trees/ir8110077.trees,trees/ir8110078.trees,trees/ir8110079.trees,trees/ir8110080.trees,trees/ir8110081.trees,trees/ir8110082.trees,trees/ir8110083.trees,trees/ir8110084.trees,trees/ir8110085.trees,trees/ir8110086.trees,trees/ir8110087.trees,trees/ir8110088.trees,trees/ir8110089.trees 250 --stats=all --eta=etas/BC.json --out=outs/537943080.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FayH,ZngE,FerL,TajD,Colless,btree,path
0,10001.0,250,110,-1.0099711647405607,6.749971956972288,0.01953724990928449,2.805598743208692,-1.6640884398292854,3.257615134500511,0.055058945459256374,-1.312330531485246,ir8110073.trees
0,10001.0,250,102,-2.1100825540862274,2.3936614574559734,0.15271210273679023,1.8559588061970493,-0.5965133568756127,3.0710553803692258,0.042933022412229564,-0.6315575182422057,ir8110074.trees
0,10001.0,250,98,-1.1343957571390098,4.299466156853274,0.0657148054255738,2.2608416253845594,-1.1620886222422022,2.9577998368901435,0.035815304227663346,-0.196725400323667,ir8110075.trees
0,10001.0,250,78,-0.8799471540862625,6.4250712246882555,0.03483820860924395,1.8828195144685673,-1.0428644775567364,2.3455566702344943,0.062439723049905714,-1.7883825391339623,ir8110076.trees
0,10001.0,250,97,-1.492447913739342,1.7249023724764552,0.19201363002713237,1.3238329759056946,-0.12804521888907813,2.731804915078361,0.04631428941572742,-0.7574030731846464,ir8110077.trees
0,10001.0,250,93,-1.6214143481027643,4.562876638551505,0.06627813810978003,3.081701425794582,-1.6692590652441455,3.8839700654214737,0.05354598115966169,-1.3550135476817562,ir8110078.trees
0,10001.0,250,75,-0.7945580803687654,4.73814066684245,0.09173186259451546,2.6705104102432853,-1.3309490890351614,3.6016469645401172,0.04789048667789437,-1.3140858340586121,ir8110079.trees
0,10001.0,250,100,-1.5398287485519548,3.425589976297174,0.1278408453688006,1.9725932042938292,-0.7592332874798213,3.03951376161964,0.04494321371507535,-0.6015770003410412,ir8110080.trees
0,10001.0,250,93,-0.4413763354733104,6.429976975545377,0.04391568578206132,2.1661123196497134,-1.1828958877724334,2.7126709688373567,0.04642764606814354,-0.7341928159969696,ir8110081.trees
0,10001.0,250,84,-1.4667212390850626,5.18271021779299,0.010043725242220563,3.1784170843215502,-1.9320294227644292,3.6375819517462613,0.03248477782096127,0.17168810017177272,ir8110082.trees
0,10001.0,250,85,-1.271183863294312,6.5171177648598775,0.021325435982418803,2.934350932789761,-1.740605261670537,3.4350137071455307,0.052973183054799845,-1.2391115661810939,ir8110083.trees
0,10001.0,250,93,-1.228068343892946,1.6975275526921858,0.16768726865506803,1.0919338764127768,-0.07411778842960541,2.313044066182807,0.04532916612687308,-0.6868637436843558,ir8110084.trees
0,10001.0,250,84,-1.0333549355823888,4.609258830076117,0.007399732349664322,3.2271904265303926,-1.9716348292382284,3.67532136911635,0.04514185775359503,-1.0910033759357876,ir8110085.trees
0,10001.0,250,86,-1.5037543848650903,2.7658124086126286,0.017027120353530368,3.1546238695724407,-1.8921211884140259,3.653520551606106,0.04050071252752947,-0.60791220608243,ir8110086.trees
0,10001.0,250,81,-1.1836338167682943,6.451418753290298,0.04085807165858495,2.212395522893315,-1.2249703624572343,2.7531544284646015,0.042856911517035884,-0.633482893118269,ir8110087.trees
0,10001.0,250,81,-2.753672327742132,2.3475422642173016,0.05461526154143997,1.9658598517661532,-1.0235026468146342,2.564425530691085,0.05308330094571836,-1.1065355417184262,ir8110088.trees
0,10001.0,250,98,-2.069779994164669,5.557984660224107,0.05314136773279598,2.537478085961401,-1.3785254218238854,3.185441556363941,0.045779893768622876,-0.718237374898957,ir8110089.trees
