#/home/enes/bim/BIM.py trees/ir3100080.trees,trees/ir3100081.trees,trees/ir3100082.trees,trees/ir3100083.trees,trees/ir3100084.trees,trees/ir3100085.trees,trees/ir3100086.trees,trees/ir3100087.trees,trees/ir3100088.trees,trees/ir3100089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/102297743.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FayH,ZngE,FerL,FulD,Colless,btree,path
0,100001.0,50,426,0.09033688458708136,0.29215892988764225,-0.02623897482056656,0.4959710861598381,-0.3936116703025109,-0.7539571919409098,0.12817190368210776,0.2099200574764617,ir3100080.trees
0,100001.0,50,469,-1.2122986519974224,-0.4211454081412456,-0.06751819628978024,0.06483052784160254,-0.32229580706067296,1.0668141346244309,0.19157623366807042,-1.8377020462694764,ir3100081.trees
0,100001.0,50,509,-0.021897918793403283,0.06478468604500492,-0.023680934403909747,0.24275672634796686,-0.23859605300677575,0.025311057732599337,0.14831722162549227,-0.7080672471981295,ir3100082.trees
0,100001.0,50,428,0.6772697676053803,0.27985271703955444,0.0548835225430321,-0.11695652771065267,0.29832837058442807,-0.45435270156721314,0.11576677915260594,0.548876955221695,ir3100083.trees
0,100001.0,50,436,0.08122909244758417,0.08995657100821434,0.0012702071800049547,0.08355784499060435,-0.042294165317511866,-0.1666978157779762,0.1103526996384139,0.05600138139835403,ir3100084.trees
0,100001.0,50,403,-0.618938709115178,-0.47996809474534063,-0.03185292519262378,-0.2601431274324332,0.014096435264046529,-0.27819587346088515,0.13278447742733457,-0.4044172121920046,ir3100085.trees
0,100001.0,50,442,-0.12577712311885825,-0.32648172898987443,0.0519972489439907,-0.722379963770119,0.6315364701980817,0.89700312511481,0.12422331137179286,-0.21832971871960874,ir3100086.trees
0,100001.0,50,495,-0.14139590739574767,0.03357251034212224,-0.06267914656730796,0.4996155560193887,-0.5499509941646742,-0.6594655648864141,0.14128337902325103,-0.19517328490968355,ir3100087.trees
0,100001.0,50,448,-1.4329040232514338,-0.3475026195555252,-0.06781473346929964,0.14296792521327012,-0.3679257990100188,1.072466063693279,0.1295583807293409,-0.570896814709548,ir3100088.trees
0,100001.0,50,446,-0.4759051976814508,0.021219171773522186,-0.0814295439696735,0.6248743598300734,-0.7002377567021733,-0.13715614356831266,0.13919188365001164,-0.5091371881202204,ir3100089.trees
