#/home/enes/bim/BIM.py trees/r8120238.trees,trees/r8120239.trees,trees/r8120240.trees,trees/r8120241.trees,trees/r8120242.trees,trees/r8120243.trees,trees/r8120244.trees,trees/r8120245.trees,trees/r8120246.trees,trees/r8120247.trees,trees/r8120248.trees,trees/r8120249.trees,trees/ir8120000.trees,trees/ir8120001.trees,trees/ir8120002.trees,trees/ir8120003.trees,trees/ir8120004.trees 250 --stats=all --eta=etas/BC.json --out=outs/343524434.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,bsfs,ZngE,TajD,FayH,btree,Colless,path
0,10001.0,250,82,-1.206280234145629,-2.1525036393985584,3.8702898922367335,3.413031444318644,3.768017897416644,-0.011049575932880328,-0.3677375007075634,0.04187718616401088,ir8120000.trees
0,10001.0,250,97,-1.3035275694393582,-2.4332563148641375,5.394846378814648,3.942445333490464,4.4235054156468046,0.0016688406039628853,-1.6469662856834473,0.05695362093535432,ir8120001.trees
0,10001.0,250,61,-1.4640919793747555,-1.6394116406351122,5.352621338852276,2.809647190079131,3.382403284781967,0.029799669468029172,-0.23847376415269303,0.037148594377510044,ir8120002.trees
0,10001.0,250,71,-1.1782046641698627,-2.3060249666038297,6.5202226005415,3.7728119752486737,4.32228226366364,0.009024072161435725,-0.6204013144781324,0.04283262080580386,ir8120003.trees
0,10001.0,250,92,-2.996632158615613,-2.370818480628494,7.058121420595113,3.956166900253012,4.575047879256349,0.02161370776525041,-0.990253445422788,0.04848425961912165,ir8120004.trees
0,10001.0,250,84,-1.9000875425877362,-2.2391831729419547,6.773470547077999,3.733504169460282,4.32780046035305,0.02030077998432941,-0.4539923931986324,0.040986526752169974,r8120238.trees
0,10001.0,250,84,-2.116770694339073,-2.5201250382656797,4.401122206215305,4.067175764571569,4.567847103101254,-0.0005947367875676656,-0.3552764949706814,0.040912497917939036,r8120239.trees
0,10001.0,250,68,-2.1551565947983926,-2.296073591458413,3.2127070219813953,3.8287141941595952,4.474653180835483,0.021984565409003957,0.10802887175393808,0.036873299650213756,r8120240.trees
0,10001.0,250,79,-1.8257169516728144,-2.3179184944327367,5.260257540467156,3.7120410797715073,4.145922672447997,-0.005400076403686442,0.3579940869751214,0.02781286436066848,r8120241.trees
0,10001.0,250,73,-1.228890628631926,-1.9666955321553574,4.16384398142244,3.281421102727331,3.826222095643529,0.018835935321111327,0.6246118631787958,0.02622934132844743,r8120242.trees
0,10001.0,250,61,-1.1712087483045164,-2.422913646617953,6.094099063579119,3.922009679094547,4.475071811967352,0.0026555338623840395,0.08276882893066727,0.030081616789739602,r8120243.trees
0,10001.0,250,76,-1.061963006848357,-1.953461662061333,6.39697917842908,3.231687735208476,3.7321876831883674,0.013671839411594972,0.5285496968922438,0.028727814483741416,r8120244.trees
0,10001.0,250,81,-0.959342600914889,-2.153537879088737,6.262112874882531,3.5203152846523498,4.009300535539372,0.00740496670705102,0.6067865441350118,0.026373234874983803,r8120245.trees
0,10001.0,250,61,-1.4640919793747555,-1.9163895660684525,4.282386946129581,3.185263546835034,3.7286218460917606,0.01703942780678644,-0.44385233073823716,0.041342790516906334,r8120246.trees
0,10001.0,250,83,-1.6667313073792045,-2.462968163618616,5.3047765324976925,4.018068030456287,4.563182195147806,0.006968151722750322,-0.7631765108275802,0.039010882238631944,r8120247.trees
0,10001.0,250,59,-1.411263445076351,-1.8055194375375754,4.304440882925413,2.9964757748204986,3.507893747681928,0.015401342922557225,-0.6190690978297738,0.038692404024700956,r8120248.trees
0,10001.0,250,73,-1.7238234572289757,-2.2716569271166374,6.743774122527431,3.7469902781293367,4.321830736135048,0.014133155685603275,0.11639459200296533,0.03248183349232707,r8120249.trees
