#/home/enes/bim/BIM.py trees/r3030070.trees,trees/r3030071.trees,trees/r3030072.trees,trees/r3030073.trees,trees/r3030074.trees,trees/r3030075.trees,trees/r3030076.trees,trees/r3030077.trees,trees/r3030078.trees,trees/r3030079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/398589247.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FayH,bsfs,ZngE,FulD,Colless,btree,path
0,100001.0,50,315,-1.3430407293728097,-0.5976982212890934,-0.20183086492821137,-1.9406665079521672,0.868850052887045,0.1401953601551799,0.18984468787515008,-1.3116687925497315,r3030070.trees
0,100001.0,50,305,-1.079885455742328,-1.3139669149608466,-0.22073208649649467,-3.295222934128935,0.2699065055317785,1.8028709280960256,0.1930404974489796,-2.336632401831501,r3030071.trees
0,100001.0,50,401,-2.079648517024054,-0.9255234785613304,-0.3112935898595046,-3.0316811462935047,1.3450563566727,0.06916646116402823,0.189380837080595,-1.9883544407499492,r3030072.trees
0,100001.0,50,387,-0.7574923357288007,-0.8037217879923553,-0.14604702560050128,-1.959936406159397,0.2491591672647168,0.726211385894444,0.20732635159326868,-1.142821045407222,r3030073.trees
0,100001.0,50,343,-1.0525301159297658,-0.5480906691362435,-0.1635082939518242,-1.7630117325015437,0.6397931373510176,0.6366799509379002,0.20625809847748633,-1.4209804111743034,r3030074.trees
0,100001.0,50,307,-1.8248392835298692,-0.4984327468542039,-0.2524051540986583,-2.093272937325473,1.3419591323844937,0.08499842056387956,0.19485915171437712,-0.9834401948398201,r3030075.trees
0,100001.0,50,332,-1.3016310258578923,0.04065967647133896,-0.15205346993425206,-0.7981805156292311,1.1613049548072878,0.677428638462122,0.16339989233103322,-0.8132686871104208,r3030076.trees
0,100001.0,50,429,-1.2476506312311664,-0.5938777236254231,-0.1892746810666745,-1.547296763765753,0.7869441098108026,-0.28832706762587657,0.19684212482807298,-1.5037620023681275,r3030077.trees
0,100001.0,50,325,-1.2833708023425203,-1.2523589737281553,-0.24042156157591696,-3.302875598140626,0.4794627770623438,1.627043495818159,0.27461336096938777,-2.3448063218841253,r3030078.trees
0,100001.0,50,315,-1.4269683194455829,-0.6964900785566415,-0.21874394606917474,-2.43884700301858,0.8915227135125262,0.8909981528825723,0.16593537414965978,-1.6397768270156565,r3030079.trees
