#/home/enes/bim/BIM.py trees/ir8050090.trees,trees/ir8050091.trees,trees/ir8050092.trees,trees/ir8050093.trees,trees/ir8050094.trees,trees/ir8050095.trees,trees/ir8050096.trees,trees/ir8050097.trees,trees/ir8050098.trees,trees/ir8050099.trees,trees/ir8050100.trees,trees/ir8050101.trees,trees/ir8050102.trees,trees/ir8050103.trees,trees/ir8050104.trees,trees/ir8050105.trees 250 --stats=all --eta=etas/BC.json --out=outs/624171295.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,ZngE,FulD,FayH,bsfs,Colless,btree,path
0,10001.0,250,78,2.3166838452019647,-0.7590614451495451,1.6408819388477534,-0.1825855303375721,0.07272005919414556,5.063235414090808,0.05339422204948828,-1.6842091205983478,ir8050090.trees
0,10001.0,250,70,2.265123041724187,-0.3325681113979358,1.2698117463962266,0.1353796579330812,0.12974369627881777,2.424235032412578,0.03791510126527616,-0.2328292394625816,ir8050091.trees
0,10001.0,250,64,2.287023190194561,-0.45598508670561794,1.3755853218983596,0.7026986388146564,0.11435127545298876,2.713177894157692,0.04092175152221791,-0.44436616922978484,ir8050092.trees
0,10001.0,250,87,2.0845869507224797,-0.2911279474854589,1.1634311828559762,-1.3120893211746034,0.12021277843798045,3.733145706407308,0.05069876279310792,-1.3392300398409758,ir8050093.trees
0,10001.0,250,57,2.1380800838696072,-0.23772178037126526,1.129512004562716,-1.6669778810173417,0.13511371644875664,2.1533324617206318,0.043565660491428085,-0.8739870076356164,ir8050094.trees
0,10001.0,250,71,1.938629378967559,-0.09059805051334247,0.9306511377294873,-0.9241748137085982,0.13862771487816422,1.5339704291860707,0.04912275831436345,-0.84236224429877,ir8050095.trees
0,10001.0,250,58,3.1321140217913617,-0.6222771194300917,1.8765338219262546,-1.0766060266679787,0.1577828159738033,3.7913823120942385,0.050123072936908916,-1.3477063283987263,ir8050096.trees
0,10001.0,250,57,2.2863267523469055,-0.47071909140941387,1.3823378961829522,-1.0430187794141093,0.11288823767487026,1.2928900940454837,0.05123396813058686,-1.0856648101327637,ir8050097.trees
0,10001.0,250,78,1.7788247885044206,-1.1039650117996365,1.6806524992237777,-1.3448549032520563,-0.017843960507173715,0.501520920128809,0.04455290143203085,-0.7137373235687406,ir8050098.trees
0,10001.0,250,66,1.2588102377068422,-0.00020547657870378014,0.5555258264338963,1.1376818482658622,0.09886009875957208,2.3978569021501466,0.04956693131974904,-1.1322176577208247,ir8050099.trees
0,10001.0,250,75,2.4500473439498274,-0.773848853384378,1.710458405098347,-1.277026424078354,0.08106446831075761,2.373035740747887,0.0458099679825292,-1.0403967053777774,ir8050100.trees
0,10001.0,250,101,2.576078959605118,-0.49363332894464595,1.5510566429063652,-1.7367803148407344,0.12907570905660087,1.715331201885783,0.0622705877272531,-1.7723417624536473,ir8050101.trees
0,10001.0,250,96,1.3240496434757525,0.1170627309942978,0.4967123571573861,-0.7128238890726216,0.11801538634749605,2.7691751324923146,0.049797037612816855,-0.9438783620200546,ir8050102.trees
0,10001.0,250,77,1.943298828861838,-0.15063339165234096,0.9836039018610029,-0.6168742036221238,0.12981862516877307,1.6023937042717324,0.04149213340818472,-0.3301791297972114,ir8050103.trees
0,10001.0,250,120,1.806673709800448,-0.03144753624777992,0.8369623959653737,-2.1054314114345414,0.13313691031768374,2.009425016743934,0.06066920009788257,-1.642521126831888,ir8050104.trees
0,10001.0,250,97,1.832902190276741,-0.43705347183384424,1.1719900641534327,-0.1700055036394547,0.08004654557264985,4.250992532372441,0.052006412747765254,-1.440766836586014,ir8050105.trees
