#/home/enes/bim/BIM.py trees/r3050050.trees,trees/r3050051.trees,trees/r3050052.trees,trees/r3050053.trees,trees/r3050054.trees,trees/r3050055.trees,trees/r3050056.trees,trees/r3050057.trees,trees/r3050058.trees,trees/r3050059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/739258944.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FerL,FayH,bsfs,ZngE,TajD,btree,Colless,path
0,100001.0,50,483,-0.28701630495069846,-0.24824803883175434,-0.02501288145958181,-0.0871586793974856,0.2499074600466676,0.06231688571741068,-0.19771501366724553,0.1369288281350276,r3050050.trees
0,100001.0,50,386,0.19969474296885778,-0.4094236780582563,-0.046303294945330156,-0.493405740137235,0.37570957937123295,0.03270492996591182,-0.5259600302315685,0.15143220209432107,r3050051.trees
0,100001.0,50,432,1.0624428064945304,-0.5977405130645839,-0.11297070874431339,-1.808389341107809,0.21199371009939558,-0.6039369146775623,-1.1494817743259085,0.18026774812489102,r3050052.trees
0,100001.0,50,426,-0.3019317072001777,-0.1356959609628801,-0.025366984720789423,-0.09746636176419014,0.050229530596563716,-0.13304306454979378,-0.43287785976864407,0.15807872856745045,r3050053.trees
0,100001.0,50,424,-0.2528840774435533,-0.07337202725829768,-0.041949640793986234,-0.757593066722952,-0.18170478379181115,-0.4762919877315174,-0.7208480213740157,0.17465986394557828,r3050054.trees
0,100001.0,50,388,0.37248313045665243,-0.5303508920498758,-0.08698427200340085,-0.8364114908194831,0.28719077425156514,-0.3442257514805405,-0.2916731594368696,0.16426209372637945,r3050055.trees
0,100001.0,50,427,0.17672430614537626,-0.6412913084303956,-0.09713338774571215,-0.8919449324934545,0.4056729601427294,-0.302963910624629,-0.40569109689109023,0.13632424123495548,r3050056.trees
0,100001.0,50,408,0.26558683525993965,-0.5496406359038406,-0.06230342022954405,-0.19636984820294917,0.5029696744477814,0.04102789952240776,0.11744017331253255,0.15548767277611686,r3050057.trees
0,100001.0,50,349,1.1203178477186237,-0.5311229224289863,-0.10038618010926895,-1.4553918357801203,0.19090732422370396,-0.5325642983308093,-1.5873647638588082,0.17283770651117591,r3050058.trees
0,100001.0,50,361,0.6051285499819432,0.009224912307820689,0.004696922856985537,-0.01683609293685616,0.0184737061452787,0.051508196450720266,-0.7395087401438364,0.1484873452486584,r3050059.trees
