#/home/enes/bim/BIM.py trees/r3060060.trees,trees/r3060061.trees,trees/r3060062.trees,trees/r3060063.trees,trees/r3060064.trees,trees/r3060065.trees,trees/r3060066.trees,trees/r3060067.trees,trees/r3060068.trees,trees/r3060069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/840929433.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,TajD,FayH,FerL,FulD,Colless,btree,path
0,100001.0,50,337,-2.0603755425710752,0.8847209194818809,-0.7175657802436087,-0.22052152388430973,-1.4317060400181174,0.48702925069789715,0.22414616531544124,-1.497286046476531,r3060060.trees
0,100001.0,50,346,-2.766556397226588,0.05825069840629267,-1.0781298592579085,-0.15870099137656601,-0.700565989176519,1.8424942777447393,0.22977331176372975,-1.8168523622072243,r3060061.trees
0,100001.0,50,436,-2.811289047266539,0.26413681739130496,-0.9438172315986479,-0.16745822828589732,-0.857558717273005,1.0225442498718553,0.21843866578889617,-2.051989677829348,r3060062.trees
0,100001.0,50,440,-3.502125189584645,1.222237561378702,-0.9649471498591041,-0.29981897277055014,-1.9629110161674366,1.1180518803045085,0.22347035405071133,-2.531454534120954,r3060063.trees
0,100001.0,50,294,-2.2752619738338424,-0.49973763002885374,-1.1024008718899505,-0.08635210647445839,-0.07659164388027466,0.9373845728541711,0.1766581632653061,-1.6278778190946397,r3060064.trees
0,100001.0,50,339,-3.5573500273324523,0.5733940950126176,-1.4300206207164492,-0.2778995121534278,-1.4953129696216088,1.2937140332724217,0.18587741218936568,-2.2812736429261795,r3060065.trees
0,100001.0,50,325,-1.6445433200015376,0.6391287970405167,-0.6394902182638769,-0.17635072259822773,-1.105414526047146,0.5352213173869774,0.19182105466300017,-0.9564363753419115,r3060066.trees
0,100001.0,50,359,-2.17259246972217,-0.42653516825360843,-1.0778718286821325,-0.0928724377735927,-0.1474111415854076,0.9152987460002862,0.20904110147052832,-1.6140022947344874,r3060067.trees
0,100001.0,50,332,-3.3581459763143036,0.7362033312111379,-1.0663504198440488,-0.2492032645630153,-1.4672038403744734,1.568243437113077,0.18900685274109644,-1.7617193325954752,r3060068.trees
0,100001.0,50,365,-2.1225006658342713,0.6279087651910172,-0.666727509048021,-0.178328988214349,-1.1088639698265839,1.0490011692024777,0.2067630385487529,-1.6779095891456581,r3060069.trees
