#/home/enes/bim/BIM.py trees/ir3120000.trees,trees/ir3120001.trees,trees/ir3120002.trees,trees/ir3120003.trees,trees/ir3120004.trees,trees/ir3120005.trees,trees/ir3120006.trees,trees/ir3120007.trees,trees/ir3120008.trees,trees/ir3120009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/184061731.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,bsfs,FulD,FayH,TajD,Colless,btree,path
0,100001.0,50,344,0.279949344086429,-0.38414115628779977,-0.17808067949554823,-0.6646678628328169,-0.05336870578092604,-0.10989999472688482,0.15731292517006798,-0.6376818080261522,ir3120000.trees
0,100001.0,50,424,0.5017936986235545,-0.7253935738373919,-0.9427489268750899,0.09645813611625666,-0.10408162253575322,-0.2596142621292773,0.16971938775510215,-0.6357362188734027,ir3120001.trees
0,100001.0,50,435,0.2201271702569234,0.037252293860673476,0.941943725872976,-0.6022374307792098,0.038566536441100314,0.48925037336596233,0.1197318771258503,0.11047908503350881,ir3120002.trees
0,100001.0,50,354,-0.21573406922926686,0.15448952013587836,-0.0037574789646648357,0.013350163626991119,0.007461598350066365,-0.15590104046557818,0.14145746794292938,-0.12195391917741565,ir3120003.trees
0,100001.0,50,456,0.3748998859008808,-0.4627638861211708,-0.8347872634380125,0.5410249326547252,-0.05893724391458067,-0.05964104325244218,0.15990230678737657,-1.011658704707343,ir3120004.trees
0,100001.0,50,449,-0.15383375628781606,0.017411291044147577,-0.5211167611798453,-0.1252487702698383,-0.016650780215386175,-0.26810571729859073,0.13285314125650252,-0.31246021169271293,ir3120005.trees
0,100001.0,50,453,-0.2467399113666755,0.07220248365522769,-0.34933557231280343,-0.185940469021766,-0.016220337557796224,-0.35488629658332366,0.14803953077293902,-0.25098633809721094,ir3120006.trees
0,100001.0,50,483,0.12227730267516945,-0.19281891816075822,-0.6285669942151355,0.08125663701869315,-0.029116448093671945,-0.09047880632825726,0.12937861711848922,-0.16949101362548294,ir3120007.trees
0,100001.0,50,488,0.4766875792366071,-0.3694373291776578,0.04104028033862643,0.2896835976626881,-0.02308885877374524,0.29528777299945186,0.15679860653938996,-0.8080030508252815,ir3120008.trees
0,100001.0,50,388,0.35469607497038136,-0.6953237971649165,-1.5763073356705082,0.6014088738940687,-0.11699745822052547,-0.49360369236841045,0.16234955520669805,-0.9788821782347813,ir3120009.trees
