#/home/enes/bim/BIM.py trees/ir3110050.trees,trees/ir3110051.trees,trees/ir3110052.trees,trees/ir3110053.trees,trees/ir3110054.trees,trees/ir3110055.trees,trees/ir3110056.trees,trees/ir3110057.trees,trees/ir3110058.trees,trees/ir3110059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/610938360.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,FerL,FulD,FayH,TajD,Colless,btree,path
0,100001.0,50,438,0.8513494953858698,0.6133673287323923,-0.286907546109146,-1.5001163412532088,0.014902967595271854,0.7002721691737835,0.12024290848414837,0.30298969286614885,ir3110050.trees
0,100001.0,50,466,0.09416580927249975,-0.051086655384062464,0.1130269659941002,-0.14546137320468788,0.0198541346742566,0.09286535738569417,0.11530376039304611,-0.24336978782725405,ir3110051.trees
0,100001.0,50,487,-0.35991926073298813,0.17169286062612868,-0.23137096402870375,0.14484734550492528,-0.03156717019847592,-0.060296815778199835,0.17646258503401352,-1.5781531325279838,ir3110052.trees
0,100001.0,50,413,-0.2588869908802909,0.3129779993808347,-0.33848658348682864,-0.13604837576436388,-0.03792491532270097,0.03150800307215367,0.12629742618696962,-0.19123286348405025,ir3110053.trees
0,100001.0,50,400,-1.6535912922797698,0.28052756338123824,-0.5737631356344057,0.41071818729957554,-0.09814224815404604,-0.43079020119421735,0.1410881316812439,-0.856394998453211,ir3110054.trees
0,100001.0,50,514,0.10632127495564328,-0.04014114011790512,0.0761939022728722,-0.06468793445346459,0.012598820490911438,0.05155055238965934,0.13129251700680272,0.07521931461143155,ir3110055.trees
0,100001.0,50,478,-1.7151540355963706,-0.21718370199045667,-0.052833336945017774,1.8220418105679854,-0.04179734748744075,-0.5095353849864883,0.18319676355390635,-1.3450856640810658,ir3110056.trees
0,100001.0,50,454,-0.09339834596346007,0.29993957643108315,-0.3181145426464177,0.06832241923837011,-0.03481616806488314,0.04069272226128032,0.13722282806252267,-0.3320059676478454,ir3110057.trees
0,100001.0,50,523,-0.03695235282106474,-0.2754707427136844,0.22702419700052626,-0.5456027422895341,0.016532757379434267,-0.14756338510352923,0.12425001056323154,-0.3023678287524203,ir3110058.trees
0,100001.0,50,452,1.1073968482145862,0.03759110757668811,0.20720123637091103,-0.01515151752403278,0.05413275314159843,0.42418550000520294,0.11017978620019435,0.538418662572784,ir3110059.trees
