#/home/enes/bim/BIM.py trees/r3050060.trees,trees/r3050061.trees,trees/r3050062.trees,trees/r3050063.trees,trees/r3050064.trees,trees/r3050065.trees,trees/r3050066.trees,trees/r3050067.trees,trees/r3050068.trees,trees/r3050069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/724197933.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,FerL,FulD,ZngE,bsfs,Colless,btree,path
0,100001.0,50,381,-0.10673036423556503,-0.14081317576310942,-0.8162537361459694,-0.06533199068712,0.6427224664574104,-0.6505424384152869,0.14315550781716188,-0.5501189532218869,r3050060.trees
0,100001.0,50,437,-0.13615718804529617,-0.47868613007793237,-0.8674610591728332,0.3007611437672659,0.5131446060453793,-1.3333091397363346,0.20425255529347422,-1.3294132600914212,r3050061.trees
0,100001.0,50,477,-0.08047141765902158,-0.2798870425639392,-0.5152158548304449,1.242353404060855,0.3070144131253144,-1.1427430819195459,0.16230723058454158,-0.8185851488183826,r3050062.trees
0,100001.0,50,358,-0.04860876624221584,-0.4749201091892338,-0.1296394617892656,1.2576541980788574,-0.13124203948534105,-1.0743215355877398,0.16483866273782255,-0.4865288106458408,r3050063.trees
0,100001.0,50,380,-0.06772660415627889,0.3194804032347702,-0.7586047176780171,-0.21265385890628655,0.8296679405955912,-0.04967461433407693,0.14327485380116958,-0.3014809701781453,r3050064.trees
0,100001.0,50,439,-0.015745891265398333,0.23497448774467936,-0.27144997574925017,-0.4917950046616646,0.35939376322200023,0.371235175008158,0.15661203875489574,-0.15750445681219194,r3050065.trees
0,100001.0,50,376,-0.0520905626164057,0.010551609426069869,-0.44494653038040644,-0.14054091377512076,0.3953858443035151,-0.18505115515439363,0.143987341772152,-0.14620718015876932,r3050066.trees
0,100001.0,50,440,-0.09314756751436461,-0.16074053582771147,-0.6917940642689488,0.612983299648728,0.5234276008050642,-0.7688181407105364,0.16677557722596426,-0.23596438425288316,r3050067.trees
0,100001.0,50,449,-0.023742779196013607,-0.21317731545215893,-0.07487268584665979,0.5017539531120655,-0.044536599616208455,-0.4364851564538503,0.13438954529180086,-0.21325567318397998,r3050068.trees
0,100001.0,50,313,-0.023130428250393704,-0.17565278990715905,-0.09093973703681114,-0.07403749174356103,-0.010736810637493389,-0.26924558377640406,0.12210297912268366,0.6609837748306224,r3050069.trees
