#/home/enes/bim/BIM.py trees/r3080070.trees,trees/r3080071.trees,trees/r3080072.trees,trees/r3080073.trees,trees/r3080074.trees,trees/r3080075.trees,trees/r3080076.trees,trees/r3080077.trees,trees/r3080078.trees,trees/r3080079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/671861213.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,ZngE,TajD,bsfs,FerL,FayH,Colless,btree,path
0,100001.0,50,474,0.020264255966471,0.2922128293535862,0.3104659929948417,0.17928830951661204,-0.15016294678522155,0.003896617049019789,0.11591278302365714,0.051858997693548466,r3080070.trees
0,100001.0,50,515,-0.1573381149770918,-0.16223877456816874,-0.04430917633469176,-0.22267654296483472,0.15885470546894992,0.015681859572080716,0.11907433130320197,0.4367593053842641,r3080071.trees
0,100001.0,50,392,0.6750372965531398,0.46207441113249303,-0.07911005098292928,-0.6084794465703436,-0.573783976077833,-0.07360298156086506,0.12951294975821642,-0.4157473690559339,r3080072.trees
0,100001.0,50,513,-0.8965946038559065,0.5970793075669822,0.19593913684368017,0.025602254797500258,-0.5652356557515745,-0.05313280999930201,0.12913777951371933,-0.11148873374567721,r3080073.trees
0,100001.0,50,463,0.5791149921754067,0.3164751992052926,-0.46379028020076446,-1.5356316312200087,-0.634429196128194,-0.10744097601657387,0.15334747760490325,-0.09288550460882186,r3080074.trees
0,100001.0,50,473,-0.2860760257745007,0.17899492963821753,0.35202717391256944,0.4757293925314479,0.0034674582786385,0.024971138247886306,0.10897435897435888,0.7734767256487218,r3080075.trees
0,100001.0,50,433,0.8471252092153994,0.10625655752393083,-0.17516851372260472,-0.7098258062120384,-0.22444056378008154,-0.03881506102591651,0.15661793563579288,-0.5848926617999635,r3080076.trees
0,100001.0,50,409,-0.14138800952326946,-0.4291109729879097,0.03255556051372763,0.6453014666630922,0.5087215519421724,0.06258853400865312,0.11165786111398869,0.4125833179062477,r3080077.trees
0,100001.0,50,413,0.29425888644681775,-0.24859091546364884,-0.3899296604689607,-0.9183671045627894,0.05388360437449585,-0.020843167131859578,0.1417103984450923,-0.5417298058546774,r3080078.trees
0,100001.0,50,449,1.491758253188755,-0.07864845106148724,0.14583730514980134,0.7965357404685606,0.17568045533493842,0.030977671051118167,0.12615343166969756,0.35730707522781846,r3080079.trees
