start,end,N,SS,FerL,ZngE,FulD,FayH,TajD,bsfs,btree,Colless,path,iColless,ibtree
0,2501.0,250,13,0.3898268114303212,-0.31143206598314177,0.9776412577841304,0.07653578712486676,-0.0019380990847264567,-7.123906620505881e-06,0.4817604405497042,0.029213628708381918,8020000,0.03850887420650343,-0.6101713633183149
0,2501.0,250,8,0.9189302279769492,-0.9904571321189892,-0.5065713299685084,0.13774727006435164,-0.6700412339255691,9.120471661981978e-07,-0.07158801071901337,0.03892631457730564,8020001,0.06257287213369607,-1.1374920551869494
0,2501.0,250,20,0.2857391060788553,-0.10096323866321344,-1.803497432055012,0.07785407110243478,0.3077371082184149,0.8106299035689115,0.3519596354009394,0.02919512149982418,8020002,0.07811892732219199,-2.1425026975896317
0,2501.0,250,28,0.12701337683592526,0.05884429293624203,1.4296738313168116,0.053211881141357734,0.3796285266612768,1.16106526180114,0.24854271881021564,0.03521073541477738,8020003,0.04577989376862288,-0.9423315358838648
0,2501.0,250,11,-0.8101154819998919,0.2500726549249055,1.533821183568422,-0.2713271756779613,-0.9912868556735396,-0.8631174432248672,0.2272468974341677,0.03327557541995941,8020004,0.05826531934188366,-1.3870889575868803
0,2501.0,250,14,0.6810746327147005,-0.3186170580465113,-0.3126827056713456,0.18525104345270188,0.5546083037444597,0.8614701973858891,-0.2683982771180003,0.03498222279800204,8020005,0.05535043399404068,-1.2917980249560506
0,2501.0,250,14,0.8333238236544532,-0.9357702074724376,2.8689971750578747,0.0949022163095342,-0.6702575240742632,-0.7842172803895502,-0.2362033672607316,0.0389353111370212,8020006,0.07630522088353413,-2.7045569404941223
0,2501.0,250,10,0.4255593837116046,-0.4734926893735256,-2.2591619954937,0.05489417792941993,-0.34162419121553683,1.331586504129518e-05,0.039462537105116234,0.031809264708604006,8020007,0.043107915533100144,-1.2888492423733708
0,2501.0,250,8,0.4274061518851182,-0.5118308693587893,2.7476664446803643,0.049022597765118005,-0.4429503280127227,-0.530355055422165,-0.2898455242820864,0.03704063566092326,8020008,0.07319600984583496,-2.436054552441527
0,2501.0,250,20,0.2602312586127823,-0.035065641774320935,0.5712694743094278,0.08333999866116862,0.4174786793130607,0.8019057938692438,0.6329104751189475,0.027490607591656956,8020009,0.04917519540527702,-1.0245110448293926
