start,end,N,SS,ZngE,FerL,FayH,FulD,TajD,bsfs,Colless,btree,path,iColless,ibtree
0,10001.0,250,63,1.1627603435740212,-0.8254029829701132,-0.030161950812221002,-0.661226943921519,1.1287586950201522,0.7091209852135067,0.03328521459108323,0.06700295576862053,9020000,0.0558718745951548,-1.3606095579870794
0,10001.0,250,59,-0.04807110092885975,-0.14955882988206728,-0.052145601157124716,-0.8070051971883656,-0.383898233189305,-0.1626926137414471,0.03950074491514448,-0.11665617072624172,9020001,0.06525456665371161,-1.7313437286693485
0,10001.0,250,56,0.2762051533776838,-0.18260172695765772,-0.003286896141717745,1.846033353731497,0.2943860608335094,0.24717857180606426,0.044051204819277115,-0.6154180589118866,9020002,0.05906617673038194,-1.5203147441669589
0,10001.0,250,80,0.4847761818069515,-0.6837231812390001,-0.10821184451400384,-0.4796088298671126,-0.15149917811624394,-0.34653692494512434,0.03714232580686951,0.07759978827701225,9020003,0.054200673662391514,-1.0036948162788657
0,10001.0,250,92,-0.0804432841118477,0.270861518786833,0.061673105534872485,0.9776025461061244,0.3102758686029209,1.264313863266148,0.029939313706438656,0.6688053783132989,9020004,0.04497290236213672,-0.46077569414973707
0,10001.0,250,69,0.3730352814230265,-0.4967761398153341,-0.07596489677790462,-0.34190496782024965,-0.06287743145945991,-0.2577203382040449,0.03634353080524864,0.010103071766184505,9020005,0.06618850769647505,-1.6664455367823443
0,10001.0,250,58,0.0462401519927334,-0.31856979711055644,-0.0844340968860984,-0.1556806833622325,-0.4796392884659958,-1.1468214252852564,0.03033683119575075,0.11019895168034233,9020006,0.04978381267003497,-1.3083833696268918
0,10001.0,250,40,-1.23449863627431,1.0286795338781345,0.07984192053983137,1.9185613146642368,-0.9434681175583997,-0.5323708921996538,0.03647308126515277,-0.1591475108259307,9020007,0.056534895341735614,-1.3060505646247549
0,10001.0,250,63,-0.5673383808605097,0.6600382134182073,0.0889889814286124,0.19133630226902226,-0.07958478625537621,2.640317079311835,0.03002489896644012,0.4734967522122662,9020008,0.05079261326832255,-1.007332570822801
0,10001.0,250,35,-1.3655881993351728,0.7454025655902989,-0.03262537293451573,3.5363074788643662,-1.788536170635573,-1.8349640308918602,0.043151099019734865,-0.4786640902136913,9020009,0.07863712916180854,-2.352138731736851
0,10001.0,250,42,-0.4741354862797627,0.24595272235811286,-0.01479784454233829,-1.6046642147136922,-0.6384910436649999,4.967141530112327e-06,0.029282290452131106,0.5972648233167335,9020010,0.08430496178261432,-2.350910523596254
0,10001.0,250,57,-0.7611859675538313,0.6685619304258682,0.057305435744073575,0.5168789745939705,-0.5068249130500403,-1.3105215734690506e-06,0.03334466899857495,0.13629241942469025,9020011,0.057531200069093576,-1.3645346338427755
0,10001.0,250,50,-0.27241939751417016,-0.3701289926346776,-0.1598778409961899,0.987597537897655,-1.3078010581274877,-1.1955981372397235,0.04497155287817939,-0.3263429860060935,9020012,0.059151930301852576,-1.0927552162878456
0,10001.0,250,79,-0.1968767610957616,0.50829651791481,0.109133802158373,-0.6773786388548791,0.4809432995838934,0.9491139702377959,0.030127679175483292,0.5173129253142332,9020013,0.040058081789523685,-0.21157168050614314
0,10001.0,250,63,0.4520225177894695,-0.3008970268248345,-0.00595869805127863,-0.3770391951913377,0.4753870930480078,0.15145483599314408,0.03843994671822111,-0.11240726664387002,9020014,0.04764218162974479,-1.1787732592811195
0,10001.0,250,42,-0.38081203635162747,-0.07007330325230526,-0.09312586115762687,0.4608151284522729,-1.0103370501387725,-0.7311756293209175,0.034329890431717094,0.20259816201270733,9020015,0.056104602742768316,-1.3668875377320524
0,10001.0,250,55,-0.2823323972812104,0.3714270879086233,0.05750945757887496,-0.004964976994945876,0.03874941974953794,0.7322144477173037,0.03342617782959796,0.1398225392109574,9020016,0.04499636262170269,-0.4328119826545441
