#/home/enes/bim/BIM.py trees/r8050170.trees,trees/r8050171.trees,trees/r8050172.trees,trees/r8050173.trees,trees/r8050174.trees,trees/r8050175.trees,trees/r8050176.trees,trees/r8050177.trees,trees/r8050178.trees,trees/r8050179.trees,trees/r8050180.trees,trees/r8050181.trees,trees/r8050182.trees,trees/r8050183.trees,trees/r8050184.trees,trees/r8050185.trees,trees/r8050186.trees 250 --stats=all --eta=etas/BC.json --out=outs/613355617.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FayH,TajD,ZngE,FulD,FerL,btree,Colless,path
0,10001.0,250,65,4.448556509948174,0.04440679064324679,2.4492990230149867,1.9109492736316305,0.09534013225532253,-1.0302469964049195,0.14329006423066873,0.032754183890989184,r8050170.trees
0,10001.0,250,61,1.842500711915421,0.15007483475132494,2.4980323705434366,1.3620238206534876,-1.4640919793747555,-0.32648073168337105,0.119803012528824,0.03572353931856458,r8050171.trees
0,10001.0,250,100,2.8790133241855607,0.0991737673290475,2.1539938482387666,1.3478970359486104,-1.5398287485519544,-0.4761664202108138,0.4858427814685782,0.030937575185534773,r8050172.trees
0,10001.0,250,79,4.1576257394822775,0.07104676073220247,2.228011373303741,1.5720866866882945,-0.44771097629129175,-0.7220330034567719,0.4669743683551574,0.028818808259150275,r8050173.trees
0,10001.0,250,62,2.482815070592002,0.10008041506689865,1.3402104262291297,0.6215320661507012,-0.33543542270571314,-0.03925825781234012,0.49569654370910493,0.030114004404715636,r8050174.trees
0,10001.0,250,88,1.6397237162031684,0.160052931596714,2.3616436389838453,1.1803113644449716,-0.9172626160136295,-0.15882761003721355,0.061795201062265194,0.034770661593743396,r8050175.trees
0,10001.0,250,88,1.5139198572029904,0.06955032251697944,1.6837908092883949,1.0987195917558392,-1.3318790001717646,-0.4316262981170692,-0.13153380497001418,0.03608072844372884,r8050176.trees
0,10001.0,250,66,1.5693022972332573,0.16953527702868906,2.1653719226981125,0.9585280172911295,-0.49475855933340307,-0.003982334609781979,0.012727000295482672,0.032807641857753596,r8050177.trees
0,10001.0,250,64,5.229477825410608,0.08212835534082716,1.8417082863352816,1.1634734430905367,-0.13739508891809346,-0.43630215719447785,0.742820852032055,0.024915329520848375,r8050178.trees
0,10001.0,250,81,4.641163183010372,0.05754327433535389,2.055455616611534,1.496801724232007,-1.4079250326217,-0.7226690395364596,0.02288068504861357,0.032939746698005534,r8050179.trees
0,10001.0,250,66,4.581556541733992,0.05112894552278832,2.1296286893558194,1.5919549057916138,-0.22268515806685948,-0.8087829727030671,0.09730750485929747,0.03426474716068576,r8050180.trees
0,10001.0,250,85,1.471505474859675,0.15179920177240686,1.9828458887584408,0.8911784610618833,-0.41414106024341574,-0.010945728041263003,0.4123547892910789,0.03154946275816855,r8050181.trees
0,10001.0,250,90,6.2830407409050215,0.05599632662747176,1.4728193346818514,0.989265265423212,-0.5585270891640741,-0.41188144180684455,0.06920872527245683,0.03244095928305251,r8050182.trees
0,10001.0,250,73,2.7168001546231877,0.11859938721948755,1.4968575099693024,0.6525834336804708,-1.2288906286319266,0.012620165456809296,0.13925280231267495,0.0308593243943516,r8050183.trees
0,10001.0,250,79,4.010467123989763,0.08198672876055363,2.681229606309945,1.911956978739398,-0.9070463014184659,-0.893776997567385,-0.2370701571361513,0.03988997464512428,r8050184.trees
0,10001.0,250,55,1.5731160427638777,0.11968648334834397,1.5986146216201,0.7422329595658483,-0.6499569649883468,-0.052124094440691854,-0.5010605775689692,0.03996631688042493,r8050185.trees
0,10001.0,250,82,1.8640934171899015,0.08421079408267498,2.732886090173224,1.946399611458846,-1.2062802341456293,-0.9060675167794819,-0.14929391519906204,0.035724584080338,r8050186.trees
