#/home/enes/bim/BIM.py trees/ir8120122.trees,trees/ir8120123.trees,trees/ir8120124.trees,trees/ir8120125.trees,trees/ir8120126.trees,trees/ir8120127.trees,trees/ir8120128.trees,trees/ir8120129.trees,trees/ir8120130.trees,trees/ir8120131.trees,trees/ir8120132.trees,trees/ir8120133.trees,trees/ir8120134.trees,trees/ir8120135.trees,trees/ir8120136.trees,trees/ir8120137.trees 250 --stats=all --eta=etas/BC.json --out=outs/334107088.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,ZngE,TajD,FayH,FerL,btree,Colless,path
0,10001.0,250,74,-0.7646441268550347,6.033671364615339,3.7567309243592755,4.268622792260104,0.0044185035928001465,-2.3116635998793775,-1.105634733099967,0.0442414820572613,ir8120122.trees
0,10001.0,250,88,-0.7099544239345615,5.539104718917947,3.3432350840950638,3.84657640014882,0.014509700067406062,-2.017547818158219,-0.5637677441031853,0.04200673662391502,ir8120123.trees
0,10001.0,250,75,-2.241963111497531,6.804168709910584,3.650313038034319,4.235536738467444,0.0182676410147939,-2.196765988774042,-0.3956843649984486,0.042557326078507575,ir8120124.trees
0,10001.0,250,62,-2.643193938526086,6.447572232240473,4.19187656243801,4.847641914123017,0.013512362608342422,-2.5524615845889924,-1.6676186468890997,0.05292136287083819,ir8120125.trees
0,10001.0,250,87,-1.7312392148733595,6.984414685656846,3.7577763034481437,4.280413927168785,0.00943338842062334,-2.2924214669397873,0.01928527481834795,0.03585308977846872,ir8120126.trees
0,10001.0,250,70,-2.696505924294613,4.856295521382068,3.9823360982424085,4.556131918605307,0.008211560808420388,-2.4389149341553513,-0.3091746559179172,0.04142375955434642,ir8120127.trees
0,10001.0,250,70,-0.6369527735835624,6.591290549011721,3.2994052958059075,3.773112970338789,0.006539218979214862,-2.021590265063159,0.006920582369532283,0.03620935354320508,ir8120128.trees
0,10001.0,250,75,-2.0007289396427366,3.17099147875175,3.832362255467885,4.335564633148825,0.0018523639156989781,-2.367382084959248,0.7137162144990998,0.02756186034460422,ir8120129.trees
0,10001.0,250,54,-1.9194344519444837,2.607752730148246,3.9681052788448583,4.389320803638511,-0.022929855462869388,-2.540481537381617,-0.6816975636248513,0.041326596709418316,ir8120130.trees
0,10001.0,250,64,-2.0976137869611757,4.382024541569851,3.8237925212222974,4.274385800168778,-0.010111984690082185,-2.405637261419483,-2.2564054091837984,0.06304249255084855,ir8120131.trees
0,10001.0,250,77,-1.322800098544165,5.216351863530826,3.8701130873003713,4.347967821370951,-0.0022461190491372004,-2.4049204127623556,-2.2369225461404656,0.05953923219760763,ir8120132.trees
0,10001.0,250,69,-1.3857115925285906,4.574060765109908,3.97691988573695,4.659982841826307,0.025083492297524018,-2.3767905065897708,-0.3902805709873183,0.04359372975774064,ir8120133.trees
0,10001.0,250,72,-1.203878941471341,6.28366440623828,3.5908559203503656,4.136788135506618,0.012478704864191285,-2.1809553160010897,-0.5792918873596102,0.04296217126570799,ir8120134.trees
0,10001.0,250,69,-1.9076149048827613,6.0969266456831095,4.023230404939134,4.644791053842601,0.014495894658642447,-2.4425079672052976,-0.4950521577001983,0.03912423889104806,ir8120135.trees
0,10001.0,250,79,-0.6773786388548784,6.142362410456637,3.552342990735446,4.148925876903047,0.023000749877331764,-2.118470845811333,-2.359727750498236,0.06649177354579608,ir8120136.trees
0,10001.0,250,87,-1.9408141617227375,6.881732895487432,3.634093279785125,4.252436934264073,0.026563256919814655,-2.154723658953768,0.214149280181402,0.03640367923306128,ir8120137.trees
